Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sandeep Dhull,124,63,51%
Sunil Siddhgavali,71,30,42%
Mohit Chhillar,67,29,43%
Amit Kumar,58,20,34%
Santhapanaselvam,40,12,30%
Deepak Hooda,32,11,34%
Anup Kumar,28,12,43%
Young Chang Ko,27,11,41%
Bajirao Hodage,11,1,9%
Nitin Rawal,10,5,50%
Ajinkya Ashok Pawar,10,3,30%
Selvamani K,7,3,43%
Gangadhari Mallesh,5,1,20%
Lokesh Kaushik,3,2,67%
Ajit Singh,2,0,0%
N. Shiva Ramakrishna,1,1,100%
David Mosambayi,1,0,0%
Anand Patil,1,0,0%
