player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4947,Ashu Malik,23,280,2,,DEL,1,8,Raider,Dabang Delhi K.C.,12.173913043478262
2024,Arjun Deshwal,23,278,3,,JAI,2,8,Raider,Jaipur Pink Panthers,12.08695652173913
318,Pawan Sehrawat,21,217,8,,HYD,3,8,Raider,Telugu Titans,10.333333333333334
143,Maninder Singh,21,198,4,,KOL,4,8,Raider,Bengal Warriors,9.428571428571429
5093,Narender,21,195,29,,CHE,5,8,Raider,Tamil Thalaivas,9.285714285714286
757,Sachin,22,184,6,,PAT,6,8,Raider,Patna Pirates,8.363636363636363
5185,Nitin Kumar,20,169,4,,KOL,7,0,Right Raider,Bengal Warriors,8.45
3032,Guman Singh,18,168,5,,MUM,8,8,Raider,U Mumba,9.333333333333334
4960,Aslam Mustafa Inamdar,23,168,7,,PUN,9,0,All-rounder,Puneri Paltan,7.304347826086956
3054,Vinay,23,165,28,,HAR,10,8,Raider,Haryana Steelers,7.173913043478261
4022,Mohit Goyat,22,151,7,,PUN,11,8,Raider,Puneri Paltan,6.863636363636363
5252,Amirmohammad Zafardanesh,20,148,5,,MUM,12,0,All-Rounder,U Mumba,7.4
5124,Parteek Dahiya,20,141,31,,GUJ,13,8,Raider,Gujarat Giants,7.05
3097,Ajinkya Pawar,21,133,29,,CHE,14,8,Raider,Tamil Thalaivas,6.333333333333333
4925,Mohammadreza Chiyaneh,24,126,7,,PUN,15,0,All-Rounder,Puneri Paltan,5.25
197,Pardeep Narwal,17,122,30,,U.P.,16,8,Raider,U.P. Yoddhas,7.176470588235294
763,Manjeet,22,120,6,,PAT,17,8,Raider,Patna Pirates,5.454545454545454
4108,Shivam Patare,23,120,28,,HAR,18,0,Left Raider,Haryana Steelers,5.217391304347826
3966,Rakesh,21,114,31,,GUJ,19,8,Raider,Gujarat Giants,5.428571428571429
3233,Pankaj Mohite,22,110,7,,PUN,20,8,Raider,Puneri Paltan,5.0
4944,Bharat,18,109,1,,BLR,21,8,Raider,Bengaluru Bulls,6.055555555555555
4193,Sudhakar M ,19,105,6,,PAT,22,8,Raider,Patna Pirates,5.526315789473684
4179,Sushil,16,100,1,,BLR,23,8,Raider,Bengaluru Bulls,6.25
5163,Gagana Gowda,13,92,30,,U.P.,24,0,Right Raider,U.P. Yoddhas,7.076923076923077
3128,Sonu,18,88,31,,GUJ,25,8,Raider,Gujarat Giants,4.888888888888889
3241,Surender Gill,10,87,30,,U.P.,26,8,Raider,U.P. Yoddhas,8.7
5282,Sandeep Kumar ,20,87,6,,PAT,27,8,Raider,Patna Pirates,4.35
3053,V Ajith Kumar,19,82,3,,JAI,28,8,Raider,Jaipur Pink Panthers,4.315789473684211
2026,Siddharth Desai,17,82,28,,HAR,29,8,Raider,Haryana Steelers,4.823529411764706
4949,Krishan,24,78,6,,PAT,30,9,Defender,Patna Pirates,3.25
5144,Yogesh ,23,77,2,,DEL,31,0,Defender - Right Corner,Dabang Delhi K.C.,3.347826086956522
4186,Rahul Sethpal,23,76,28,,HAR,32,0,Defender - Right Corner,Haryana Steelers,3.3043478260869565
106,Shrikant Jadhav,15,75,4,,KOL,33,8,Raider,Bengal Warriors,5.0
4954,Mohit Nandal,24,74,28,,HAR,34,0,Defender - Right Cover,Haryana Steelers,3.0833333333333335
2296,Naveen Kumar,6,72,2,,DEL,35,8,Raider,Dabang Delhi K.C.,12.0
5128,Gaurav Khatri,24,72,7,,PUN,36,0,Defender - Right Corner,Puneri Paltan,3.0
366,Vikash Kandola,19,70,1,,BLR,37,8,Raider,Bengaluru Bulls,3.6842105263157894
3574,Ankush,22,70,3,,JAI,38,0,Defender - Left Corner,Jaipur Pink Panthers,3.1818181818181817
4184,Jaideep Dahiya,23,69,28,,HAR,39,0,Defender - Left Cover,Haryana Steelers,3.0
4965,Sahil Gulia,22,69,29,,CHE,40,0,Defender - Left Corner,Tamil Thalaivas,3.1363636363636362
3103,Shubham Shinde,22,67,4,,KOL,41,0,Defender - Right Corner,Bengal Warriors,3.0454545454545454
3236,Sagar,18,67,29,,CHE,42,0,Defender - Right Corner,Tamil Thalaivas,3.7222222222222223
259,Fazel Atrachali,23,66,31,,GUJ,43,9,Defender,Gujarat Giants,2.869565217391304
3240,Sumit,22,66,30,,U.P.,44,0,Defender - Left Corner,U.P. Yoddhas,3.0
5169,Ankit ,23,66,6,,PAT,45,0,All-Rounder,Patna Pirates,2.869565217391304
660,Bhavani Rajput,20,65,3,,JAI,46,8,Raider,Jaipur Pink Panthers,3.25
5022,Reza Mirbagheri,22,64,3,,JAI,47,9,Defender,Jaipur Pink Panthers,2.909090909090909
3965,Manjeet,20,63,2,,DEL,48,8,Raider,Dabang Delhi K.C.,3.15
4183,Meetu Sharma,22,61,2,,DEL,49,8,Raider,Dabang Delhi K.C.,2.772727272727273
5138,Akshit ,10,61,1,,BLR,50,0,Left Raider,Bengaluru Bulls,6.1
322,Surjeet Singh,21,60,1,,BLR,51,0,Defender - Right Cover,Bengaluru Bulls,2.857142857142857
368,Sunil Kumar,23,59,3,,JAI,52,9,Defender,Jaipur Pink Panthers,2.5652173913043477
4959,Akash Shinde,13,58,7,,PUN,53,8,Raider,Puneri Paltan,4.461538461538462
4192,Abinesh Nadarajan,24,57,7,,PUN,54,0,Defender - Right Cover,Puneri Paltan,2.375
5197,Robin Chaudhary,18,55,8,,HYD,55,0,Right Raider,Telugu Titans,3.0555555555555554
5114,Vaibhav Garje,22,53,4,,KOL,56,0,Defender - Right Cover,Bengal Warriors,2.409090909090909
3000,Sombir,22,52,31,,GUJ,57,9,Defender,Gujarat Giants,2.3636363636363638
3023,Rohit Gulia,16,51,31,,GUJ,58,0,All-Rounder,Gujarat Giants,3.1875
