player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
146,Surender Nada,21,74,28,,HAR,1,9,Defender,Haryana Steelers,3.5238095238095237
322,Surjeet Singh,24,72,4,,KOL,2,9,Defender,Bengal Warriors,3.0
3083,Vishal Bhardwaj,22,68,8,,HYD,3,0,All Rounder,Telugu Titans,3.090909090909091
579,Jaideep,26,66,6,,PAT,4,9,Defender,Patna Pirates,2.5384615384615383
489,Abozar Mighani,24,63,31,,GUJ,5,9,Defender,Gujarat Giants,2.625
161,Girish Maruti Ernak,21,61,7,,PUN,6,9,Defender,Puneri Paltan,2.9047619047619047
3086,Surinder Singh,22,58,5,,MUM,7,9,Defender,U Mumba,2.6363636363636362
212,Amit Hooda,22,55,29,,CHE,8,9,Defender,Tamil Thalaivas,2.5
368,Sunil Kumar,24,55,31,,GUJ,9,9,Defender,Gujarat Giants,2.2916666666666665
259,Fazel Atrachali,24,54,31,,GUJ,10,9,Defender,Gujarat Giants,2.25
769,Mahender Singh,22,52,1,,BLR,11,9,Defender,Bengaluru Bulls,2.3636363636363638
157,Ravinder Pahal,19,49,1,,BLR,12,9,Defender,Bengaluru Bulls,2.5789473684210527
142,Sandeep Narwal,21,49,7,,PUN,13,0,All Rounder,Puneri Paltan,2.3333333333333335
160,Ran Singh,23,49,4,,KOL,14,0,All Rounder,Bengal Warriors,2.130434782608696
3088,Nitesh Kumar,19,46,30,,U.P.,15,9,Defender,U.P. Yoddhas,2.4210526315789473
69,Manjeet Chhillar,15,46,3,,JAI,16,0,All Rounder,Jaipur Pink Panthers,3.066666666666667
357,Parvesh Bhainswal,24,44,31,,GUJ,17,9,Defender,Gujarat Giants,1.8333333333333333
724,Darshan J.,20,39,29,,CHE,18,9,Defender,Tamil Thalaivas,1.95
54,Jeeva Kumar,22,37,30,,U.P.,19,9,Defender,U.P. Yoddhas,1.6818181818181819
123,Vishal Mane,26,36,6,,PAT,20,9,Defender,Patna Pirates,1.3846153846153846
71,Mohit Chhillar,20,35,28,,HAR,21,9,Defender,Haryana Steelers,1.75
3081,Vijay Malik,19,34,6,,PAT,22,0,All Rounder,Patna Pirates,1.7894736842105263
3000,Sombir,17,33,8,,HYD,23,9,Defender,Telugu Titans,1.9411764705882353
107,Shrikant Tewthia,23,31,4,,KOL,24,0,All Rounder,Bengal Warriors,1.3478260869565217
61,Kuldeep Singh,16,30,1,,BLR,25,9,Defender,Bengaluru Bulls,1.875
191,C. Arun,20,30,29,,CHE,26,9,Defender,Tamil Thalaivas,1.5
3082,Monu,19,29,7,,PUN,27,0,All Rounder,Puneri Paltan,1.5263157894736843
347,Sagar Krishna,17,29,30,,U.P.,28,0,All Rounder,U.P. Yoddhas,1.7058823529411764
109,Somvir Shekhar,22,29,3,,JAI,29,9,Defender,Jaipur Pink Panthers,1.3181818181818181
240,Ravi Kumar,23,28,7,,PUN,30,9,Defender,Puneri Paltan,1.2173913043478262
390,Jawahar,18,26,6,,PAT,31,0,All Rounder,Patna Pirates,1.4444444444444444
252,Kuldeep Singh,20,25,5,,MUM,32,0,All Rounder,U Mumba,1.25
207,Sunil,18,24,2,,DEL,33,9,Defender,Dabang Delhi K.C.,1.3333333333333333
42,Dharmaraj Cheralathan,18,24,7,,PUN,34,9,Defender,Puneri Paltan,1.3333333333333333
96,Rohit Rana,21,24,8,,HYD,35,9,Defender,Telugu Titans,1.1428571428571428
734,Vikas,19,24,28,,HAR,36,9,Defender,Haryana Steelers,1.263157894736842
611,Sidharth ,21,24,3,,JAI,37,0,All Rounder,Jaipur Pink Panthers,1.1428571428571428
158,Rakesh Singh Kumar,19,23,28,,HAR,38,9,Defender,Haryana Steelers,1.2105263157894737
773,Satpal,10,22,2,,DEL,39,9,Defender,Dabang Delhi K.C.,2.2
482,Farhad Milaghardan,18,22,8,,HYD,40,9,Defender,Telugu Titans,1.2222222222222223
165,Sachin Shingade,26,21,6,,PAT,41,9,Defender,Patna Pirates,0.8076923076923077
73,Nilesh Shinde,15,19,2,,DEL,42,9,Defender,Dabang Delhi K.C.,1.2666666666666666
3085,D. Pradap,16,19,29,,CHE,43,0,All Rounder,Tamil Thalaivas,1.1875
