season,player-total-points_player_name,player-total-points_match_played,player-total-points_position_name,player-total-points_team_name,player-total-points_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
3,Simon Kibura,2,Raider,PUN,Puneri Paltan,,62,,,,,63,105,,65,,,2,,,,,1,2,,2,,,1,,,,,0.5,1,,1,,,7,,,,,7,7,,7,,,8,,,,,8,8,,8,
3,Jang Kun Lee,15,Raider,KOL,Bengal Warriors,18,5,11,,36,58,1,6,37,6,6,2,79,2,,11,0.73,33,90,9,64,2,0.1333333333333333,5.266666666666667,0.1333333333333333,,0.7333333333333333,0.048666667,2.2,6,0.6,4.266666666666667,0.1333333333333333,4,4,4,,4,4,4,4,4,4,4,8,8,8,,8,8,8,8,8,8,8
3,Seong Ryeol Kim,8,Defender,DEL,Dabang Delhi K.C.,,61,,,76,83,44,89,75,66,,,3,,,2,0.25,2,5,2,2,,,0.375,,,0.25,0.03125,0.25,0.625,0.25,0.25,,,2,,,2,2,2,2,2,2,,,9,,,9,9,9,9,9,9,
3,Tae Deok Eom,7,Defender,PAT,Patna Pirates,,81,,,,,,112,,68,,,1,,,,,,1,,1,,,0.1428571428571428,,,,,,0.1428571428571428,,0.1428571428571428,,,6,,,,,,6,,6,,,9,,,,,,9,,9,
3,Ajay Thakur,14,Raider,PUN,Puneri Paltan,,15,12,,60,81,4,15,57,15,12,,52,2,,4,0.29,23,56,4,41,1,,3.7142857142857144,0.1428571428571428,,0.2857142857142857,0.020714286,1.6428571428571428,4,0.2857142857142857,2.9285714285714284,0.071428571,,7,7,,7,7,7,7,7,7,7,,8,8,,8,8,8,8,8,8,8
3,Amit Singh Chhillar,5,Defender,DEL,Dabang Delhi K.C.,,,,,54,41,,88,48,,,,,,,5,1,,5,5,,,,,,,1,0.2,,1,1,,,,,,,2,2,,2,2,,,,,,,9,9,,9,9,,
3,Anup Kumar,13,Raider,MUM,U Mumba,,7,5,,63,89,43,9,60,7,,,76,3,,3,0.23,3,79,3,63,,,5.846153846153846,0.2307692307692307,,0.2307692307692307,0.017692308,0.2307692307692307,6.076923076923077,0.2307692307692307,4.846153846153846,,,5,5,,5,5,5,5,5,5,,,8,8,,8,8,8,8,8,8,
3,Bhupender Singh,11,All Rounder,MUM,U Mumba,,41,,,87,97,21,69,82,44,,,11,,,1,0.09,10,12,1,8,,,1,,,0.090909091,0.008181818,0.9090909090909092,1.0909090909090908,0.090909091,0.7272727272727273,,,5,,,5,5,5,5,5,5,,,0,,,0,0,0,0,0,0,
3,Deepak Niwas Hooda,12,All Rounder,PUN,Puneri Paltan,,9,,,46,64,5,11,43,8,13,,69,,,7,0.58,21,76,7,62,1,,5.75,,,0.5833333333333334,0.048333333,1.75,6.333333333333333,0.5833333333333334,5.166666666666667,0.083333333,,7,,,7,7,7,7,7,7,7,,0,,,0,0,0,0,0,0,0
3,Dharmaraj Cheralathan,14,Defender,HYD,Telugu Titans,8,51,,10,12,14,59,30,11,57,,3,6,,2,31,2.21,1,37,28,3,,0.2142857142857142,0.4285714285714285,,0.1428571428571428,2.2142857142857144,0.1578571428571428,0.071428571,2.642857142857143,2,0.2142857142857142,,8,8,,8,8,8,8,8,8,8,,9,9,,9,9,9,9,9,9,9,
3,Gangadhari Mallesh,10,Raider,JAI,Jaipur Pink Panthers,27,82,,,38,50,60,75,41,69,,1,1,,,9,0.9,1,10,8,1,,0.1,0.1,,,0.9,0.09,0.1,1,0.8,0.1,,3,3,,,3,3,3,3,3,3,,8,8,,,8,8,8,8,8,8,
3,Gurvinder Singh,5,Raider,PAT,Patna Pirates,,59,,,77,73,61,87,76,63,,,4,,,2,0.4,1,6,2,2,,,0.8,,,0.4,0.08,0.2,1.2,0.4,0.4,,,6,,,6,6,6,6,6,6,,,8,,,8,8,8,8,8,8,
3,Jasmer Singh Gulia,16,All Rounder,PUN,Puneri Paltan,2,,,5,5,10,,22,5,,,5,,,4,46,2.88,,46,41,,,0.3125,,,0.25,2.875,0.18,,2.875,2.5625,,,7,,,7,7,7,,7,7,,,0,,,0,0,0,,0,0,,
3,Jasvir Singh,4,Raider,JAI,Jaipur Pink Panthers,,28,10,,,,15,46,,33,14,,25,2,,,,12,25,,15,1,,6.25,0.5,,,,3,6.25,,3.75,0.25,,3,3,,,,3,3,,3,3,,8,8,,,,8,8,,8,8
3,Jeeva Kumar,16,Defender,MUM,U Mumba,28,,,,11,18,,41,9,,,1,,,,31,1.94,,31,30,,,0.0625,,,,1.9375,0.12125,,1.9375,1.875,,,5,,,,5,5,,5,5,,,9,,,,9,9,,9,9,,
3,Kashiling Adake,11,Raider,DEL,Dabang Delhi K.C.,,8,6,,65,82,22,10,62,9,15,,75,3,,3,0.27,9,78,3,55,1,,6.818181818181818,0.2727272727272727,,0.2727272727272727,0.024545455,0.8181818181818182,7.090909090909091,0.2727272727272727,5,0.090909091,,2,2,,2,2,2,2,2,2,2,,8,8,,8,8,8,8,8,8,8
3,Kuldeep Singh,1,Defender,DEL,Dabang Delhi K.C.,,,,,66,6,,97,63,,,,,,,3,3,,3,3,,,,,,,3,3,,3,3,,,,,,,2,2,,2,2,,,,,,,9,9,,9,9,,
3,Mahesh Goud,13,Raider,KOL,Bengal Warriors,,23,,,88,98,16,33,83,19,,,33,,,1,0.08,12,34,1,30,,,2.5384615384615383,,,0.076923077,0.006153846,0.9230769230769232,2.6153846153846154,0.076923077,2.3076923076923075,,,4,,,4,4,4,4,4,4,,,8,,,8,8,8,8,8,8,
3,Mahipal Narwal,4,All Rounder,PAT,Patna Pirates,,58,,,42,16,62,67,39,58,,,5,,,8,2,1,13,8,3,,,1.25,,,2,0.5,0.25,3.25,2,0.75,,,6,,,6,6,6,6,6,6,,,0,,,0,0,0,0,0,0,
3,Manjeet Chhillar,15,All Rounder,PUN,Puneri Paltan,3,16,7,3,1,1,31,4,1,16,,5,45,2,5,61,4.07,6,106,56,37,,0.3333333333333333,3,0.1333333333333333,0.3333333333333333,4.066666666666666,0.2713333333333333,0.4,7.066666666666666,3.7333333333333334,2.466666666666667,,7,7,7,7,7,7,7,7,7,7,,0,0,0,0,0,0,0,0,0,0,
3,Manoj Kumar,11,Defender,HYD,Telugu Titans,6,,,11,26,25,,57,28,,,4,,,1,17,1.55,,17,13,,,0.3636363636363636,,,0.090909091,1.5454545454545454,0.1409090909090909,,1.5454545454545454,1.181818181818182,,,8,,,8,8,8,,8,8,,,9,,,9,9,9,,9,9,,
3,Mohit Chhillar,13,Defender,MUM,U Mumba,21,,,1,4,4,,23,4,,,2,,,6,46,3.54,,46,44,,,0.1538461538461538,,,0.4615384615384615,3.5384615384615383,0.2723076923076923,,3.5384615384615383,3.3846153846153846,,,5,,,5,5,5,,5,5,,,9,,,9,9,9,,9,9,,
3,Navneet Gautam,7,Defender,JAI,Jaipur Pink Panthers,,80,,,64,72,,92,61,,,,1,,,3,0.43,,4,3,,,,0.1428571428571428,,,0.4285714285714285,0.061428571,,0.5714285714285714,0.4285714285714285,,,,3,,,3,3,,3,3,,,,9,,,9,9,,9,9,,
3,Nilesh Shinde,16,Defender,KOL,Bengal Warriors,7,63,,12,7,15,,31,10,64,,4,2,,1,34,2.13,,36,30,2,,0.25,0.125,,0.0625,2.125,0.133125,,2.25,1.875,0.125,,4,4,,4,4,4,,4,4,4,,9,9,,9,9,9,,9,9,9,
3,Nitin More,10,Defender,KOL,Bengal Warriors,,,,,52,66,,90,47,,,,,,,5,0.5,,5,5,,,,,,,0.5,0.05,,0.5,0.5,,,,,,,4,4,,4,4,,,,,,,9,9,,9,9,,
3,Pravin Niwale,2,Raider,DEL,Dabang Delhi K.C.,,79,,,,,,113,,70,,,1,,,,,,1,,1,,,0.5,,,,,,0.5,,0.5,,,2,,,,,,2,,2,,,8,,,,,,8,,8,
3,Rahul Chaudhari,13,Raider,HYD,Telugu Titans,20,4,28,,33,49,23,5,36,4,4,2,87,1,,12,0.92,9,99,10,77,4,0.1538461538461538,6.6923076923076925,0.076923077,,0.9230769230769232,0.070769231,0.6923076923076923,7.615384615384615,0.7692307692307693,5.923076923076923,0.3076923076923077,8,8,8,,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8
3,Rajaguru Subramanian,7,Defender,DEL,Dabang Delhi K.C.,,,,,47,52,,86,46,,,,,,,6,0.86,,6,6,,,,,,,0.8571428571428571,0.1228571428571428,,0.8571428571428571,0.8571428571428571,,,,,,,2,2,,2,2,,,,,,,9,9,,9,9,,
3,Rajesh Mondal,9,Raider,PAT,Patna Pirates,,27,8,,90,95,10,44,80,28,,,27,2,,1,0.11,16,28,1,18,,,3,0.2222222222222222,,0.1111111111111111,0.012222222,1.7777777777777777,3.111111111111111,0.1111111111111111,2,,,6,6,,6,6,6,6,6,6,,,8,8,,8,8,8,8,8,8,
3,Rajesh Narwal,14,All Rounder,JAI,Jaipur Pink Panthers,10,12,9,13,18,26,11,8,20,13,17,3,59,2,1,21,1.5,14,80,18,47,1,0.2142857142857142,4.214285714285714,0.1428571428571428,0.071428571,1.5,0.1071428571428571,1,5.714285714285714,1.2857142857142858,3.357142857142857,0.071428571,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
3,Raju Lal Choudhary,1,Defender,JAI,Jaipur Pink Panthers,,,,,91,39,,114,81,,,,,,,1,1,,1,1,,,,,,,1,1,,1,1,,,,,,,3,3,,3,3,,,,,,,9,9,,9,9,,
3,Rakesh Kumar,15,All Rounder,MUM,U Mumba,17,22,,14,21,38,30,19,22,20,,2,33,,1,18,1.2,6,51,16,29,,0.1333333333333333,2.2,,0.066666667,1.2,0.08,0.4,3.4,1.0666666666666669,1.9333333333333331,,5,5,,5,5,5,5,5,5,5,,0,0,,0,0,0,0,0,0,0,
3,Rishank Devadiga,16,Raider,MUM,U Mumba,29,2,2,,39,65,2,2,42,1,5,1,106,4,,9,0.56,27,115,8,86,2,0.0625,6.625,0.25,,0.5625,0.035,1.6875,7.1875,0.5,5.375,0.125,5,5,5,,5,5,5,5,5,5,5,8,8,8,,8,8,8,8,8,8,8
3,Rohit Rana,12,Defender,JAI,Jaipur Pink Panthers,9,84,,15,25,31,,54,26,,,3,1,,1,17,1.42,,18,14,,,0.25,0.083333333,,0.083333333,1.4166666666666667,0.1183333333333333,,1.5,1.1666666666666667,,,3,3,,3,3,3,,3,3,,,9,9,,9,9,9,,9,9,,
3,Shabeer Bappu,10,Raider,MUM,U Mumba,,39,,,,,38,68,,37,,,13,,,,,4,13,,11,,,1.3,,,,,0.4,1.3,,1.1,,,5,,,,,5,5,,5,,,8,,,,,8,8,,8,
3,Shrikant Jadhav,5,Raider,KOL,Bengal Warriors,,42,,,,,45,76,,38,,,10,,,,,2,10,,9,,,2,,,,,0.4,2,,1.8,,,4,,,,,4,4,,4,,,8,,,,,8,8,,8,
3,Shrikant Tewthia,13,All Rounder,BLR,Bengaluru Bulls,30,32,25,16,31,40,,36,29,30,,1,20,1,1,13,1,,33,12,16,,0.076923077,1.5384615384615383,0.076923077,0.076923077,1,0.076923077,,2.5384615384615383,0.9230769230769232,1.2307692307692308,,1,1,1,1,1,1,,1,1,1,,0,0,0,0,0,0,,0,0,0,
