,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,
Defensive Skill,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha
Thigh Hold,55,67,45,32,43,74,45,40,58,47,51,62
Block,43,34,39,39,37,39,40,55,53,34,26,33
Ankle Hold,28,58,36,25,49,45,31,49,31,27,67,36
Push,31,18,23,38,27,26,20,29,33,13,23,19
Dive,18,35,31,15,19,14,29,17,18,26,22,20
Chain_def,13,10,25,7,12,37,20,25,13,6,17,9
Body Hold,13,3,22,20,18,16,10,23,24,9,8,14
Self-out,3,1,2,,1,2,,1,2,3,2,
Follow,1,,,0,1,1,0,0,,0,,1
In Turn,,,7,,,,,14,,,,
Out Turn,,,,,,,,12,,,,
Dubki,,,,,,10,,7,,,,
Create Gap,,,1,,,,,6,,,,
Raider self out(lobby tim..),,,,,,,,,2,1,,
