Bengal Warriors,,,,Bengaluru Bull,,,,Dabang Delhi ,,,,Gujarat Fortunegiant,,,,Harayana Steelers,,,,Jaipur Pink Panther,,,,Patna Pirates,,,,Puneri Paltan ,,,,Tamil Thailaiva,,,,Telugu Titan,,,,U Mumba ,,,,UP Yoddha ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids
Release,104,,,Release,86,,,Release,99,,,Release,118,,,Release,75,,,Release,97,,,Release,97,,,Release,48,,,Release,49,,,Release,64,,,Release,109,,,Release,96
Struggle,25,,,Out Turn,35,,,Out Turn,29,,,Out Turn,35,,,Struggle,25,,,Struggle,17,,,Out Turn,30,,,Out Turn,26,,,Out Turn,19,,,Out Turn,22,,,Struggle,36,,,Struggle,25
Out Turn,14,,,Struggle,27,,,Struggle,18,,,Struggle,27,,,Out Turn,24,,,Out Turn,17,,,Struggle,21,,,Struggle,21,,,Struggle,17,,,Struggle,14,,,Out Turn,19,,,Out Turn,14
Jump,9,,,Jump,19,,,Jump,14,,,Jump,12,,,Jump,8,,,Jump,3,,,Dubki,10,,,Jump,13,,,Jump,17,,,Jump,5,,,Jump,8,,,Jump,7
In Turn,6,,,Dubki,9,,,In Turn,10,,,Dubki,5,,,In Turn,7,,,In Turn,2,,,Jump,6,,,In Turn,5,,,In Turn,9,,,In Turn,5,,,In Turn,6,,,In Turn,7
Create Gap,4,,,In Turn,7,,,Dubki,5,,,Create Gap,4,,,Create Gap,6,,,Dubki,1,,,In Turn,6,,,Dubki,2,,,Create Gap,9,,,Dubki,3,,,Dubki,4,,,Create Gap,3
Dubki,0,,,,,,,Create Gap,2,,,In Turn,2,,,Dubki,1,,,Create Gap,1,,,Create Gap,1,,,Create Gap,1,,,Dubki,3,,,Create Gap,3,,,Create Gap,1,,,Dubki,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids
Running Hand Touch,57,,,Running Hand Touch,97,,,Running Hand Touch,69,,,Running Hand Touch,75,,,Running Hand Touch,58,,,Running Hand Touch,73,,,Running Hand Touch,95,,,Running Hand Touch,34,,,Running Hand Touch,91,,,Running Hand Touch,37,,,Hand Touch,34,,,Running Hand Touch,59
Hand Touch,29,,,Hand Touch,62,,,Hand Touch,36,,,Hand Touch,45,,,Hand Touch,41,,,Hand Touch,35,,,Hand Touch,43,,,Hand Touch,27,,,Hand Touch,56,,,Hand Touch,32,,,Running Hand Touch,33,,,Hand Touch,33
Leg Thrust,24,,,Reverse Kick,15,,,Defender self out,19,,,Defender self out,19,,,Leg Thrust,27,,,Toe Touch,18,,,Leg Thrust,30,,,Toe Touch,19,,,Leg Thrust,14,,,Reverse Kick,12,,,Reverse Kick,16,,,Leg Thrust,22
Toe Touch,23,,,Toe Touch,12,,,Reverse Kick,21,,,Toe Touch,19,,,Toe Touch,23,,,Leg Thrust,11,,,Defender self out,13,,,Defender self out,15,,,Toe Touch,10,,,Defender self out,9,,,Leg Thrust,24,,,Toe Touch,12
Defender self out,16,,,Leg Thrust,11,,,Toe Touch,23,,,Leg Thrust,11,,,Defender self out,13,,,Side Kick,8,,,Toe Touch,13,,,Reverse Kick,6,,,Reverse Kick,7,,,Toe Touch,9,,,Toe Touch,19,,,Defender self out,11
Reverse Kick,9,,,Defender self out,10,,,Leg Thrust,15,,,Reverse Kick,7,,,Reverse Kick,9,,,Defender self out,7,,,Side Kick,3,,,Leg Thrust,12,,,Defender self out,6,,,Side Kick,7,,,Side Kick,17,,,Reverse Kick,6
Side Kick,6,,,Side Kick,2,,,Side Kick,7,,,Side Kick,0,,,Side Kick,2,,,Reverse Kick,9,,,Reverse Kick,4,,,Side Kick,5,,,Side Kick,3,,,Running Kick,6,,,Running Kick,16,,,Side Kick,6
Running Kick,1,,,Running Kick,1,,,Running Kick,3,,,Running Kick,2,,,Running Kick,0,,,,,,,Running Kick,3,,,Running Kick,4,,,,,,,Leg Thrust,4,,,Defender self out,8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids
Dive,44,,,Dive,44,,,Dive,43,,,Dive,61,,,Dive,46,,,Block,57,,,Dive,49,,,Dive,52,,,Block,41,,,Block,49,,,Thigh Hold,39,,,Block,54
Ankle Hold,37,,,Thigh Hold,38,,,Block,41,,,Ankle Hold,39,,,Block,45,,,Dive,41,,,Thigh Hold,42,,,Block,52,,,Ankle Hold,37,,,Dive,39,,,Ankle Hold,35,,,Dive,51
Thigh Hold,33,,,Block,37,,,Thigh Hold,28,,,Thigh Hold,38,,,Thigh Hold,39,,,Thigh Hold,34,,,Block,39,,,Thigh Hold,32,,,Push,28,,,Ankle Hold,34,,,Dive,33,,,Ankle Hold,48
Block,33,,,Ankle Hold,30,,,Push,27,,,Block,30,,,Ankle Hold,33,,,Ankle Hold,29,,,Ankle Hold,38,,,Ankle Hold,31,,,Dive,28,,,Thigh Hold,32,,,Push,28,,,Thigh Hold,32
Push,20,,,Push,22,,,Ankle Hold,26,,,Push,28,,,Push,30,,,Push,24,,,Body Hold,20,,,Body Hold,21,,,Thigh Hold,24,,,Self-out,24,,,Block,23,,,Push,27
Self-out,11,,,Body Hold,15,,,Self-out,24,,,Self-out,26,,,Body Hold,19,,,Body Hold,15,,,Push,15,,,Push,18,,,Body Hold,24,,,Push,23,,,Self-out,13,,,Body Hold,18
Body Hold,8,,,Self-out,11,,,Body Hold,24,,,Body Hold,17,,,Self-out,10,,,Self-out,12,,,Self-out,8,,,Self-out,11,,,Self-out,16,,,Body Hold,19,,,Body Hold,10,,,Self-out,10
Follow,1,,,Follow,2,,,Follow,1,,,Chain_def,3,,,Chain_def,2,,,,,,,Follow,1,,,Chain_def,2,,,Follow,2,,,Follow,2,,,Follow,2,,,Chain_def,2
,,,,,,,,,,,,Follow,1,,,,,,,,,,,,,,,Follow,1,,,Chain_def,1,,,,,,,,,,,Follow,1
