season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-super-raid_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-super-raid_value,team-dod-raid-points_value,team-super-tackles_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-super-raid_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match
2,1,Bengaluru Bulls,16,4,2,4,3,1,8,2,2,5,4,2,1,4,3,15.69,31.69,9,10,81,6,251,202,457,165,507,13,10.31,158,0.981,1.981,0.563,0.625,5.063,0.375,15.688,12.625,28.563,10.313,31.688,0.813,0.644,9.875
2,2,Dabang Delhi K.C.,14,5,5,2,2,6,5,7,7,4,7,6,8,7,6,15.5,28.29,12,14,60,14,217,161,464,136,396,4,9.71,122,1.107,2.021,0.857,1,4.286,1,15.5,11.5,33.143,9.714,28.286,0.286,0.694,8.714
2,3,Jaipur Pink Panthers,14,2,3,6,7,8,2,4,5,8,5,5,2,5,5,16.57,31.57,6,5,47,18,232,188,399,142,442,12,10.14,124,1.184,2.255,0.429,0.357,3.357,1.286,16.571,13.429,28.5,10.143,31.571,0.857,0.724,8.857
2,4,Bengal Warriors,14,8,8,5,4,4,1,8,8,6,6,8,6,6,7,13.14,26.21,8,9,62,20,184,136,430,137,367,6,9.79,116,0.939,1.872,0.571,0.643,4.429,1.429,13.143,9.714,30.714,9.786,26.214,0.429,0.699,8.286
2,5,U Mumba,16,6,4,8,6,2,3,3,3,7,1,3,4,1,1,14.81,30.56,5,7,79,16,237,189,426,196,489,11,12.25,180,0.926,1.91,0.313,0.438,4.938,1,14.813,11.813,26.625,12.25,30.563,0.688,0.766,11.25
2,6,Patna Pirates,16,7,7,3,8,3,6,5,4,2,3,4,7,3,4,14.25,27.81,10,4,63,12,228,189,488,166,445,5,10.38,153,0.891,1.738,0.625,0.25,3.938,0.75,14.25,11.813,30.5,10.375,27.813,0.313,0.649,9.563
2,7,Puneri Paltan,14,3,6,1,5,7,7,6,6,3,8,7,5,8,8,15.93,27.93,14,8,56,10,223,173,465,115,391,7,8.21,104,1.138,1.995,1,0.571,4,0.714,15.929,12.357,33.214,8.214,27.929,0.5,0.586,7.429
2,8,Telugu Titans,16,1,1,7,1,5,4,1,1,1,2,1,3,2,2,21.5,36.56,6,16,61,14,344,269,493,174,585,12,10.88,158,1.344,2.285,0.375,1,3.813,0.875,21.5,16.813,30.813,10.875,36.563,0.75,0.68,9.875
3,1,Bengaluru Bulls,14,7,8,5,3,3,6,7,7,3,8,8,4,8,8,14.93,25.93,8,9,68,7,209,162,465,101,363,5,7.21,94,1.066,1.852,0.571,0.643,4.857,0.5,14.929,11.571,33.214,7.214,25.929,0.357,0.515,6.714
3,2,Dabang Delhi K.C.,14,3,6,2,6,7,5,6,6,1,7,6,6,7,7,16.64,27.43,12,5,53,13,233,177,526,111,384,4,7.93,98,1.189,1.959,0.857,0.357,3.786,0.929,16.643,12.643,37.571,7.929,27.429,0.286,0.566,7
3,3,Jaipur Pink Panthers,14,8,7,6,4,6,1,8,8,7,5,7,8,5,6,13.79,26,7,8,58,16,193,151,427,117,364,3,8.36,100,0.985,1.857,0.5,0.571,4.143,1.143,13.786,10.786,30.5,8.357,26,0.214,0.597,7.143
3,4,Bengal Warriors,16,6,5,1,7,4,4,5,2,4,4,4,7,4,4,15.63,28.75,14,4,68,13,250,218,450,150,460,4,9.38,137,0.977,1.797,0.875,0.25,4.25,0.813,15.625,13.625,28.125,9.375,28.75,0.25,0.586,8.563
3,5,U Mumba,16,4,3,7,5,5,8,3,3,8,3,3,3,3,3,15.81,31.38,5,7,59,6,253,210,398,169,502,13,10.56,163,0.988,1.961,0.313,0.438,3.688,0.375,15.813,13.125,24.875,10.563,31.375,0.813,0.66,10.188
3,6,Patna Pirates,16,1,1,8,1,2,7,1,1,2,2,1,1,2,1,20.25,37.13,2,16,71,7,324,244,468,182,594,17,11.38,175,1.266,2.321,0.125,1,4.438,0.438,20.25,15.25,29.25,11.375,37.125,1.063,0.711,10.938
3,7,Puneri Paltan,16,5,2,3,2,1,3,4,5,6,1,2,2,1,2,15.69,31.88,8,9,86,13,251,206,433,187,510,13,11.69,174,0.981,1.993,0.5,0.563,5.375,0.813,15.688,12.875,27.063,11.688,31.875,0.813,0.731,10.875
3,8,Telugu Titans,14,2,4,4,8,8,2,2,4,5,6,5,5,6,5,18.14,30.5,8,3,45,15,254,209,437,117,427,5,8.36,101,1.296,2.179,0.571,0.214,3.214,1.071,18.143,14.929,31.214,8.357,30.5,0.357,0.597,7.214
4,1,Bengaluru Bulls,14,8,8,3,8,6,4,8,8,7,7,8,8,6,8,14.36,25.71,8,4,61,15,201,158,415,124,360,4,8.86,109,1.026,1.836,0.571,0.286,4.357,1.071,14.357,11.286,29.643,8.857,25.714,0.286,0.633,7.786
4,2,Dabang Delhi K.C.,14,6,4,2,1,1,2,6,7,8,4,5,7,3,6,16.14,29.93,10,11,86,18,226,166,412,136,419,5,9.71,116,1.153,2.138,0.714,0.786,6.143,1.286,16.143,11.857,29.429,9.714,29.929,0.357,0.694,8.286
4,3,Jaipur Pink Panthers,16,2,5,8,5,2,3,2,4,4,5,4,3,8,4,16.88,29.69,4,6,78,16,270,208,451,136,475,8,8.5,119,1.055,1.856,0.25,0.375,4.875,1,16.875,13,28.188,8.5,29.688,0.5,0.531,7.438
4,4,Bengal Warriors,14,7,7,5,6,7,6,7,6,5,6,7,4,5,5,14.43,27,7,4,61,8,202,171,438,125,378,7,8.93,117,1.031,1.929,0.5,0.286,4.357,0.571,14.429,12.214,31.286,8.929,27,0.5,0.638,8.357
4,5,U Mumba,14,5,6,1,7,8,5,5,5,6,8,6,6,7,7,16.21,28.57,11,4,42,11,227,189,418,121,400,6,8.64,110,1.158,2.041,0.786,0.286,3,0.786,16.214,13.5,29.857,8.643,28.571,0.429,0.617,7.857
4,6,Patna Pirates,16,4,3,6,4,5,1,4,3,2,1,3,5,1,2,16.5,30.75,6,7,72,26,264,209,466,172,492,7,10.75,145,1.031,1.922,0.375,0.438,4.5,1.625,16.5,13.063,29.125,10.75,30.75,0.438,0.672,9.063
4,7,Puneri Paltan,16,1,1,7,2,3,7,1,1,1,3,1,2,4,3,18.13,32.19,5,10,76,6,290,238,491,147,515,10,9.19,140,1.133,2.012,0.313,0.625,4.75,0.375,18.125,14.875,30.688,9.188,32.188,0.625,0.574,8.75
4,8,Telugu Titans,16,3,2,4,3,4,8,3,2,3,2,2,1,2,1,16.69,31.63,8,7,76,5,267,210,454,162,506,12,10.13,157,1.043,1.977,0.5,0.438,4.75,0.313,16.688,13.125,28.375,10.125,31.625,0.75,0.633,9.813
1,1,Bengaluru Bulls,16,8,6,7,7,5,6,5,6,5,2,4,4,2,2,18.19,31.13,30,7,39,10,291,230,479,163,498,40,10.19,153,1.137,1.946,1.875,0.438,2.438,0.625,18.188,14.375,29.938,10.188,31.125,2.5,0.637,9.563
1,2,Dabang Delhi K.C.,14,4,4,3,8,8,7,6,5,7,5,6,5,4,5,20.36,32.57,46,5,31,10,285,247,471,134,456,36,9.57,124,1.454,2.326,3.286,0.357,2.214,0.714,20.357,17.643,33.643,9.571,32.571,2.571,0.684,8.857
1,3,Jaipur Pink Panthers,16,3,1,6,5,1,4,2,3,8,1,1,1,1,1,21.5,36.19,30,9,50,12,344,281,458,170,579,58,10.63,158,1.344,2.262,1.875,0.563,3.125,0.75,21.5,17.563,28.625,10.625,36.188,3.625,0.664,9.875
1,4,Bengal Warriors,14,5,7,2,4,6,2,7,7,2,6,7,8,6,6,20.21,30.71,50,11,32,16,283,220,515,122,430,22,8.71,106,1.444,2.194,3.571,0.786,2.286,1.143,20.214,15.714,36.786,8.714,30.714,1.571,0.622,7.571
1,5,U Mumba,16,2,3,4,1,4,5,1,1,3,3,2,3,3,3,21.69,34.38,38,12,39,12,347,282,499,157,550,42,9.81,145,1.356,2.149,2.375,0.75,2.438,0.75,21.688,17.625,31.188,9.813,34.375,2.625,0.613,9.063
1,6,Patna Pirates,16,6,5,5,2,3,1,4,4,4,4,3,6,5,4,19.75,31.5,34,12,42,18,316,257,487,142,504,36,8.88,124,1.234,1.969,2.125,0.75,2.625,1.125,19.75,16.063,30.438,8.875,31.5,2.25,0.555,7.75
1,7,Puneri Paltan,14,7,8,1,3,2,3,8,8,1,7,8,7,7,8,19.21,28.93,52,11,48,14,269,206,536,107,405,24,7.64,93,1.372,2.066,3.714,0.786,3.429,1,19.214,14.714,38.286,7.643,28.929,1.714,0.546,6.643
1,8,Telugu Titans,14,1,2,8,6,7,8,3,2,6,8,5,2,8,7,24,35.5,28,8,32,8,336,281,474,104,497,50,7.43,96,1.714,2.536,2,0.571,2.286,0.571,24,20.071,33.857,7.429,35.5,3.571,0.531,6.857
