match_played,value,team_id,team_name,rank,points_per_match
24,547,1,Bengaluru Bulls,1,22.791666666666668
22,496,6,Patna Pirates,2,22.545454545454547
24,483,2,Dabang Delhi K.C.,3,20.125
25,480,31,Gujarat Giants,4,19.2
23,459,5,U Mumba,5,19.956521739130434
25,449,30,U.P. Yoddha,6,17.96
22,447,28,Haryana Steelers,7,20.318181818181817
23,436,4,Bengal Warriors,8,18.956521739130434
22,419,29,Tamil Thalaivas,9,19.045454545454547
22,415,3,Jaipur Pink Panthers,10,18.863636363636363
22,353,8,Telugu Titans,11,16.045454545454547
22,346,7,Puneri Paltan,12,15.727272727272727
