match_played,value,team_id,team_name,rank,points_per_match
24,22.21,1,Bengaluru Bulls,1,0.9254166666666667
24,22.17,2,Dabang Delhi K.C.,2,0.9237500000000001
24,21.38,4,Bengal Warriors,3,0.8908333333333333
23,21.3,28,Haryana Steelers,4,0.9260869565217391
22,20.32,6,Patna Pirates,5,0.9236363636363637
22,19.82,8,Telugu Titans,6,0.9009090909090909
22,18.59,7,Puneri Paltan,7,0.845
24,18.25,5,U Mumba,8,0.7604166666666666
23,17.74,30,U.P. Yoddha,9,0.7713043478260869
22,17.5,3,Jaipur Pink Panthers,10,0.7954545454545454
22,17.18,29,Tamil Thalaivas,11,0.7809090909090909
22,16.91,31,Gujarat Giants,12,0.7686363636363637
