PlayerName,MatchesPlayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,AverageRaidPoints,AverageTacklePoints,DODRaidPoints,SuperRaids,SuperTackles,Super10s,High5s
Maninder Singh,170,1,Raider,1699,1279,1690,458,486,1690,7,233,75,36,85,34
Pawan Sehrawat,143,2,Raider,1442,1111,1428,379,404,1428,4,209,47,32,72,29
Deepak Hooda,126,3,All-Rounder,1254,921,1189,374,391,1189,3.46,202,34,31,63,27
Rahul Chaudhari,157,4,Raider,1119,859,1045,346,362,1045,3.25,178,25,30,62,25
Naveen Kumar,154,5,Raider,1106,843,1020,330,360,1020,3.22,175,25,28,53,24
Sachin ,91,6,Raider,1020,835,1005,323,350,1005,3.19,163,25,27,42,23
Arjun Deshwal,128,7,Raider,1006,785,952,320,339,952,2.96,142,24,25,36,23
Vikash Kandola,91,8,Raider,952,754,947,314,336,947,2.94,138,23,25,35,21
Ajay Thakur,120,9,Raider,822,643,800,305,328,800,2.93,136,23,24,34,21
Rohit Kumar,120,10,Raider,816,638,794,288,324,794,2.88,129,23,24,30,21
Shrikant Jadhav,101,11,Raider,730,,,,,,,,,,,
Manjeet ,135,12,Raider,717,,,,,,,,,,,
Siddharth Desai,108,13,Raider,703,,,,,,,,,,,
Rishank Devadiga,80,14,Raider,702,,,,,,,,,,,
Sandeep Narwal,122,15,All Rounder,672,,,,,,,,,,,
Monu Goyat,156,16,Raider,645,,,,,,,,,,,
Manjeet Chhillar,97,17,All Rounder,625,,,,,,,,,,,
Kashiling Adake,132,18,Raider,616,,,,,,,,,,,
Anup Kumar,92,19,Raider,612,,,,,,,,,,,
Chandran Ranjit,91,20,Raider,596,,,,,,,,,,,
Nitin Tomar,104,21,Raider,562,,,,,,,,,,,
Bharat ,91,22,Raider,529,,,,,,,,,,,
Prashanth Kumar Rai,64,23,Raider,520,,,,,,,,,,,
Surender Gill,123,24,Raider,510,,,,,,,,,,,
Rohit Gulia,65,25,All-Rounder,510,,,,,,,,,,,
Aslam Mustafa Inamdar,110,26,All-rounder,509,,,,,,,,,,,
Ashu Malik,63,27,Raider,507,,,,,,,,,,,
Jang Kun Lee,68,28,Raider,497,,,,,,,,,,,
Fazel Atrachali,106,29,Defender - Left Corner,496,,,,,,,,,,,
Vijay Malik,169,30,All-Rounder,494,,,,,,,,,,,
Sukesh Hegde,110,31,Raider,490,,,,,,,,,,,
Ajinkya Pawar,116,32,Raider,487,,,,,,,,,,,
Mohit Goyat,92,33,Raider,484,,,,,,,,,,,
V Ajith Kumar,60,34,Raider,475,,,,,,,,,,,
Abhishek Singh,79,35,Raider,465,,,,,,,,,,,
K. Prapanjan,78,36,Raider,457,,,,,,,,,,,
Narender ,115,37,Raider,456,,,,,,,,,,,
Surjeet Singh,44,38,Defender - Right Cover,444,,,,,,,,,,,
Jasvir Singh,148,39,Raider,423,,,,,,,,,,,
Guman Singh,77,40,Raider,412,,,,,,,,,,,
Ran Singh,58,41,All- Rounder,407,,,,,,,,,,,
Meraj Sheykh,156,42,All Rounder,405,,,,,,,,,,,
Rajesh Narwal,99,43,All Rounder,404,,,,,,,,,,,
Rakesh ,96,44,Raider,398,,,,,,,,,,,
Vinay ,60,45,Raider,387,,,,,,,,,,,
Girish Maruti Ernak,76,46,Defender - Left Corner,379,,,,,,,,,,,
Deepak Narwal,147,47,Raider,372,,,,,,,,,,,
Nitesh Kumar,93,48,Defender - Right Corner,366,,,,,,,,,,,
Ravinder Pahal,129,49,Defender - Right Corner,354,,,,,,,,,,,
Sunil Kumar,124,50,Defender - Left Cover,353,,,,,,,,,,,
