,Unnamed: 0,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,0,"Pro Kabaddi League Season 4, 2016",W,4,06/25/2016 8:00:00 ,Puneri Paltan beat Telugu Titans (28-24),06/25/2016 8:00:00 ,Completed,4.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",182,League,Match 1,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,28,True,Telugu Titans,24,False,Puneri Paltan,Manjeet Chhillar,69.0,6.0,,Sonu Narwal,190.0,5.0,Raider,Joginder Singh Narwal,194.0,3.0,,Ajay Thakur,26.0,3.0,,Ravinder Pahal,157.0,3.0,,Sandeep Narwal,142.0,6.0,,Vinod Kumar,215.0,5.0,,Rahul Chaudhari,81.0,4.0,,S Mahalingam,391.0,2.0,All Rounder,Jasmer Singh Gulia,51.0,1.0,,,False,False
1,1,"Pro Kabaddi League Season 4, 2016",W,4,06/25/2016 9:00:00 ,U Mumba beat Jaipur Pink Panthers (36-34),06/25/2016 9:00:00 ,Completed,2.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",183,League,Match 2,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,U Mumba,36,True,Jaipur Pink Panthers,34,False,U Mumba,Rakesh Kumar,88.0,12.0,Raider,Rishank Devadiga,94.0,5.0,,Sunil,207.0,2.0,,Surjeet Singh,322.0,2.0,,Anup Kumar,29.0,2.0,,Shabeer Bappu,105.0,9.0,,Ran Singh,160.0,4.0,,Ajay Kumar,389.0,3.0,,Amit Hooda,212.0,3.0,,Tushar Patil,242.0,2.0,,,False,False
2,2,"Pro Kabaddi League Season 4, 2016",W,4,06/26/2016 8:00:00 ,Bengaluru Bulls beat Bengal Warriors (24-23),06/26/2016 8:00:00 ,Completed,1.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",184,League,Match 3,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Bengaluru Bulls,24,True,Bengal Warriors,23,False,Bengaluru Bulls,Rohit Kumar,326.0,7.0,,Surender Nada,146.0,5.0,Defender,Mohit Chhillar,71.0,3.0,,Deepak Kumar Dahiya,174.0,2.0,,Pawan Kumar Kadian,156.0,1.0,,Jang Kun Lee,12.0,5.0,,Monu Goyat,388.0,5.0,,Girish Maruti Ernak,161.0,3.0,,Nilesh Shinde,73.0,3.0,Defender,Nitin Madane,75.0,2.0,Raider,,False,False
3,3,"Pro Kabaddi League Season 4, 2016",W,4,06/26/2016 9:00:00 ,Puneri Paltan beat U Mumba (41-19),06/26/2016 9:00:00 ,Completed,22.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",185,League,Match 4,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,41,True,U Mumba,19,False,Puneri Paltan,Ajay Thakur,26.0,12.0,,Manjeet Chhillar,69.0,7.0,,Joginder Singh Narwal,194.0,4.0,,Deepak Niwas Hooda,41.0,3.0,,Somvir Shekhar,109.0,2.0,Defender,Anup Kumar,29.0,9.0,,Rakesh Kumar,88.0,2.0,Raider,Rishank Devadiga,94.0,2.0,,Vikash Kumar,380.0,2.0,Raider,Sunil,207.0,1.0,,,False,False
4,4,"Pro Kabaddi League Season 4, 2016",W,4,06/27/2016 8:00:00 ,Bengal Warriors beat Dabang Delhi K.C. (31-23),06/27/2016 8:00:00 ,Completed,8.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",186,League,Match 5,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Bengal Warriors,31,True,Dabang Delhi,23,False,Bengal Warriors,Ravi Dalal,92.0,6.0,Raider,Nilesh Shinde,73.0,4.0,Defender,Nitin Madane,75.0,3.0,Raider,Girish Maruti Ernak,161.0,3.0,,Monu Goyat,388.0,3.0,,Meraj Sheykh,251.0,9.0,,Anil Kumar,386.0,3.0,,Selvamani K,264.0,2.0,,Kashiling Adake,58.0,2.0,,Deepak Narwal,211.0,1.0,,,False,False
5,5,"Pro Kabaddi League Season 4, 2016",W,4,06/27/2016 9:00:00 ,Patna Pirates beat Puneri Paltan (30-24),06/27/2016 9:00:00 ,Completed,6.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",187,League,Match 6,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,24,False,Patna Pirates,30,True,Patna Pirates,Nitin Tomar,320.0,7.0,,Deepak Niwas Hooda,41.0,6.0,,Manjeet Chhillar,69.0,3.0,,Ravinder Pahal,157.0,3.0,,Sonu Narwal,190.0,2.0,Raider,Surjeet Singh,119.0,7.0,,Pardeep Narwal,197.0,7.0,,Dharmaraj Cheralathan,42.0,5.0,,Rajesh Mondal,85.0,3.0,,Fazel Atrachali,259.0,2.0,,,False,False
6,6,"Pro Kabaddi League Season 4, 2016",Tied,4,06/28/2016 8:00:00 ,Match Tied,06/28/2016 8:00:00 ,Completed,0.0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",188,League,Match 7,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,27,False,Dabang Delhi,27,False,Unknown,Deepak Niwas Hooda,41.0,7.0,,Manjeet Chhillar,69.0,7.0,,Sonu Narwal,190.0,3.0,Raider,Joginder Singh Narwal,194.0,3.0,,Nitin Tomar,320.0,2.0,,Kashiling Adake,58.0,5.0,,Sachin Shingade,165.0,5.0,,Deepak Narwal,211.0,5.0,,Meraj Sheykh,251.0,4.0,,Selvamani K,264.0,4.0,,,False,False
7,7,"Pro Kabaddi League Season 4, 2016",W,4,06/29/2016 8:00:00 ,Jaipur Pink Panthers beat Telugu Titans (28-24),06/29/2016 8:00:00 ,Completed,4.0,3,kabaddi,Sawai Mansingh Stadium,189,League,Match 8,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Jaipur Pink Panthers,28,True,Telugu Titans,24,False,Jaipur Pink Panthers,Rajesh Narwal,86.0,8.0,,Jasvir Singh,52.0,3.0,,Ran Singh,160.0,3.0,,Amit Hooda,212.0,3.0,,Mahipal Narwal,67.0,2.0,Defender,Sandeep Narwal,142.0,6.0,,Nilesh Salunke,293.0,4.0,,Vinoth Kumar,172.0,4.0,,Vinod Kumar,215.0,3.0,,S Mahalingam,391.0,2.0,All Rounder,,False,False
8,8,"Pro Kabaddi League Season 4, 2016",W,4,06/29/2016 9:00:00 ,Patna Pirates beat U Mumba (36-34),06/29/2016 9:00:00 ,Completed,2.0,3,kabaddi,Sawai Mansingh Stadium,190,League,Match 9,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,U Mumba,34,False,Patna Pirates,36,True,Patna Pirates,Rishank Devadiga,94.0,11.0,,Anup Kumar,29.0,6.0,,Rakesh Kumar,88.0,3.0,Raider,Sunil,207.0,3.0,,Surjeet Singh,322.0,3.0,,Pardeep Narwal,197.0,18.0,,Kuldeep Singh,252.0,5.0,,Bajirao Hodage,164.0,4.0,,Fazel Atrachali,259.0,2.0,,Surjeet Singh,119.0,1.0,,,False,False
9,9,"Pro Kabaddi League Season 4, 2016",Tied,4,06/30/2016 8:00:00 ,Match Tied,06/30/2016 8:00:00 ,Completed,0.0,3,kabaddi,Sawai Mansingh Stadium,191,League,Match 10,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Jaipur Pink Panthers,28,False,Bengaluru Bulls,28,False,Unknown,Jasvir Singh,52.0,9.0,,Rajesh Narwal,86.0,6.0,,Mahipal Narwal,67.0,3.0,Defender,Shabeer Bappu,105.0,2.0,,Ran Singh,160.0,2.0,,Rohit Kumar,326.0,6.0,,Vinod Kumar,387.0,5.0,,Mohit Chhillar,71.0,4.0,,Pawan Kumar Kadian,156.0,2.0,,Manoj Kumar,70.0,2.0,Defender,,False,False
