season,player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
3,,Simon Kibura,,,,,Simon Kibura,Simon Kibura,,Simon Kibura,,,2,,,,,2,2,,2,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,PUN,,,,,PUN,PUN,,PUN,,,Puneri Paltan,,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,62,,,,,63,105,,65,,,2,,,,,1,2,,2,,,1,,,,,0.5,1,,1,,,7,,,,,7,7,,7,,,8,,,,,8,8,,8,
3,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,15,15,15,,15,15,15,15,15,15,15,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,18,5,11,,36,58,1,6,37,6,6,2,79,2,,11,0.73,33,90,9,64,2,0.1333333333333333,5.266666666666667,0.1333333333333333,,0.7333333333333333,0.048666667,2.2,6,0.6,4.266666666666667,0.1333333333333333,4,4,4,,4,4,4,4,4,4,4,8,8,8,,8,8,8,8,8,8,8
3,,Seong Ryeol Kim,,,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,,,8,,,8,8,8,8,8,8,,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,61,,,76,83,44,89,75,66,,,3,,,2,0.25,2,5,2,2,,,0.375,,,0.25,0.03125,0.25,0.625,0.25,0.25,,,2,,,2,2,2,2,2,2,,,9,,,9,9,9,9,9,9,
3,,Tae Deok Eom,,,,,,Tae Deok Eom,,Tae Deok Eom,,,7,,,,,,7,,7,,,Defender,,,,,,Defender,,Defender,,,,,,,,,,,,,,PAT,,,,,,PAT,,PAT,,,Patna Pirates,,,,,,Patna Pirates,,Patna Pirates,,,81,,,,,,112,,68,,,1,,,,,,1,,1,,,0.1428571428571428,,,,,,0.1428571428571428,,0.1428571428571428,,,6,,,,,,6,,6,,,9,,,,,,9,,9,
3,,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,14,14,,14,14,14,14,14,14,14,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,15,12,,60,81,4,15,57,15,12,,52,2,,4,0.29,23,56,4,41,1,,3.7142857142857144,0.1428571428571428,,0.2857142857142857,0.020714286,1.6428571428571428,4,0.2857142857142857,2.9285714285714284,0.071428571,,7,7,,7,7,7,7,7,7,7,,8,8,,8,8,8,8,8,8,8
3,,,,,Amit Singh Chhillar,Amit Singh Chhillar,,Amit Singh Chhillar,Amit Singh Chhillar,,,,,,,5,5,,5,5,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,54,41,,88,48,,,,,,,5,1,,5,5,,,,,,,1,0.2,,1,1,,,,,,,2,2,,2,2,,,,,,,9,9,,9,9,,
3,,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,,13,13,,13,13,13,13,13,13,,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,7,5,,63,89,43,9,60,7,,,76,3,,3,0.23,3,79,3,63,,,5.846153846153846,0.2307692307692307,,0.2307692307692307,0.017692308,0.2307692307692307,6.076923076923077,0.2307692307692307,4.846153846153846,,,5,5,,5,5,5,5,5,5,,,8,8,,8,8,8,8,8,8,
3,,Bhupender Singh,,,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,,,11,,,11,11,11,11,11,11,,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,MUM,,,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,41,,,87,97,21,69,82,44,,,11,,,1,0.09,10,12,1,8,,,1,,,0.090909091,0.008181818,0.9090909090909092,1.0909090909090908,0.090909091,0.7272727272727273,,,5,,,5,5,5,5,5,5,,,0,,,0,0,0,0,0,0,
3,,Deepak Niwas Hooda,,,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,,12,,,12,12,12,12,12,12,12,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,9,,,46,64,5,11,43,8,13,,69,,,7,0.58,21,76,7,62,1,,5.75,,,0.5833333333333334,0.048333333,1.75,6.333333333333333,0.5833333333333334,5.166666666666667,0.083333333,,7,,,7,7,7,7,7,7,7,,0,,,0,0,0,0,0,0,0
3,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,14,14,,14,14,14,14,14,14,14,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,8,51,,10,12,14,59,30,11,57,,3,6,,2,31,2.21,1,37,28,3,,0.2142857142857142,0.4285714285714285,,0.1428571428571428,2.2142857142857144,0.1578571428571428,0.071428571,2.642857142857143,2,0.2142857142857142,,8,8,,8,8,8,8,8,8,8,,9,9,,9,9,9,9,9,9,9,
