player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
81,Rahul Chaudhari,16,150,8,,HYD,1,8,Raider,Telugu Titans,9.375
197,Pardeep Narwal,16,133,6,,PAT,2,8,Raider,Patna Pirates,8.3125
41,Deepak Niwas Hooda,16,130,7,,PUN,3,0,All Rounder,Puneri Paltan,8.125
326,Rohit Kumar,14,100,1,,BLR,4,8,Raider,Bengaluru Bulls,7.142857142857143
58,Kashiling Adake,13,89,2,,DEL,5,8,Raider,Dabang Delhi K.C.,6.846153846153846
52,Jasvir Singh,14,88,3,,JAI,6,8,Raider,Jaipur Pink Panthers,6.285714285714286
86,Rajesh Narwal,16,85,3,,JAI,7,0,All Rounder,Jaipur Pink Panthers,5.3125
29,Anup Kumar,14,82,5,,MUM,8,8,Raider,U Mumba,5.857142857142857
251,Meraj Sheykh,14,75,2,,DEL,9,0,All Rounder,Dabang Delhi K.C.,5.357142857142857
88,Rakesh Kumar,14,70,5,,MUM,10,0,All Rounder,U Mumba,5.0
94,Rishank Devadiga,14,70,5,,MUM,11,8,Raider,U Mumba,5.0
69,Manjeet Chhillar,12,68,7,,PUN,12,0,All Rounder,Puneri Paltan,5.666666666666667
142,Sandeep Narwal,16,66,8,,HYD,13,0,All Rounder,Telugu Titans,4.125
12,Jang Kun Lee,11,65,4,,KOL,14,8,Raider,Bengal Warriors,5.909090909090909
26,Ajay Thakur,16,64,7,,PUN,15,8,Raider,Puneri Paltan,4.0
388,Monu Goyat,13,63,4,,KOL,16,8,Raider,Bengal Warriors,4.846153846153846
293,Nilesh Salunke,15,62,8,,HYD,17,8,Raider,Telugu Titans,4.133333333333334
389,Ajay Kumar,15,61,3,,JAI,18,8,Raider,Jaipur Pink Panthers,4.066666666666666
85,Rajesh Mondal,15,59,6,,PAT,19,8,Raider,Patna Pirates,3.933333333333333
75,Nitin Madane,13,53,4,,KOL,20,8,Raider,Bengal Warriors,4.076923076923077
212,Amit Hooda,16,53,3,,JAI,21,9,Defender,Jaipur Pink Panthers,3.3125
259,Fazel Atrachali,16,52,6,,PAT,22,9,Defender,Patna Pirates,3.25
71,Mohit Chhillar,14,50,1,,BLR,23,9,Defender,Bengaluru Bulls,3.5714285714285716
264,Selvamani K,13,45,2,,DEL,24,8,Raider,Dabang Delhi K.C.,3.4615384615384617
165,Sachin Shingade,14,44,2,,DEL,25,9,Defender,Dabang Delhi K.C.,3.142857142857143
252,Kuldeep Singh,15,42,6,,PAT,26,0,All Rounder,Patna Pirates,2.8
42,Dharmaraj Cheralathan,14,41,6,,PAT,27,9,Defender,Patna Pirates,2.9285714285714284
