player-avg-tackle-points_player_name,player-successful-raids_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,player-avg-tackle-points_team,player-successful-raids_team,player-total-points_team,super-10s_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-super-tackles_team,player-dod-raid-points_team,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,player-avg-tackle-points_rank,player-successful-raids_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-super-tackles_rank,player-dod-raid-points_rank,player-avg-tackle-points_value,player-successful-raids_value,player-total-points_value,super-10s_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-super-tackles_value,player-dod-raid-points_value,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id
,,Dong Ju Hong,,Dong Ju Hong,,,,,,,,,3,,3.0,,,,,,,,,All Rounder,,All Rounder,,,,,,,,,,,,,,,,,,,,MUM,,MUM,,,,,,,,,U Mumba,,U Mumba,,,,,,,,,172,,119.0,,,,,,,,,1,,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,5,,5.0,,,,,,,,,0,,0.0,,,,,,
,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,,,,,,Jang Kun Lee,,21.0,21,,21.0,,,,,,21.0,,Raider,Raider,,Raider,,,,,,Raider,,,,,,,,,,,,,KOL,KOL,,KOL,,,,,,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,,,,Bengal Warriors,,16.0,21,,21.0,,,,,,44.0,,80.0,89,,89.0,,,,,,8.0,,3.8095238095238098,4.238095238095238,,4.238095238095238,,,,,,0.3809523809523809,,4.0,4,,4.0,,,,,,4.0,,8.0,8,,8.0,,,,,,8.0
Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,,Ajay Thakur,22.0,22.0,22,22.0,22.0,22.0,,22.0,22.0,,22.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,CHE,,CHE,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,106.0,3.0,3,3.0,3.0,17.0,,77.0,74.0,,11.0,0.41,182.0,222,12.0,213.0,3.0,,9.0,9.0,,30.0,0.0186363636363636,8.272727272727273,10.090909090909092,0.5454545454545454,9.681818181818182,0.1363636363636363,,0.4090909090909091,0.4090909090909091,,1.3636363636363635,29.0,29.0,29,29.0,29.0,29.0,,29.0,29.0,,29.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0
Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,21.0,21.0,21,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,61.0,14.0,11,22.0,14.0,25.0,,40.0,45.0,16.0,54.0,1.1,84.0,135,2.0,112.0,2.0,,23.0,19.0,4.0,5.0,0.0523809523809523,4.0,6.428571428571429,0.0952380952380952,5.333333333333333,0.0952380952380952,,1.0952380952380951,0.9047619047619048,0.1904761904761904,0.238095238095238,5.0,5.0,5,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
,Bhupender Singh,Bhupender Singh,,Bhupender Singh,Bhupender Singh,,,,,Bhupender Singh,,17.0,17,,17.0,17.0,,,,,17.0,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,All Rounder,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,,,,,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,,Bengal Warriors,,51.0,86,,48.0,27.0,,,,,49.0,,16.0,28,,28.0,2.0,,,,,7.0,,0.9411764705882352,1.6470588235294117,,1.6470588235294117,0.1176470588235294,,,,,0.4117647058823529,,4.0,4,,4.0,4.0,,,,,4.0,,0.0,0,,0.0,0.0,,,,,0.0
,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,,,,Chandran Ranjit,,11.0,11,11.0,11.0,11.0,,,,,11.0,,Raider,Raider,Raider,Raider,Raider,,,,,Raider,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,,,,,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,,,,Gujarat Giants,,35.0,51,33.0,35.0,11.0,,,,,34.0,,43.0,51,1.0,51.0,3.0,,,,,13.0,,3.909090909090909,4.636363636363637,0.0909090909090909,4.636363636363637,0.2727272727272727,,,,,1.181818181818182,,31.0,31,31.0,31.0,31.0,,,,,31.0,,8.0,8,8.0,8.0,8.0,,,,,8.0
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,24.0,24.0,24,24.0,24.0,24.0,,24.0,24.0,24.0,24.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,94.0,9.0,7,7.0,7.0,3.0,,60.0,60.0,81.0,1.0,0.58,127.0,186,7.0,172.0,8.0,,14.0,13.0,1.0,47.0,0.0241666666666666,5.291666666666667,7.75,0.2916666666666667,7.166666666666667,0.3333333333333333,,0.5833333333333334,0.5416666666666666,0.0416666666666666,1.9583333333333333,7.0,7.0,7,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dharmaraj Cheralathan,,Dharmaraj Cheralathan,,,,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,18.0,,18,,,,,18.0,18.0,18.0,,Defender,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,PUN,,,,,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,42.0,,90,,,,,36.0,34.0,68.0,,1.39,,25,,,,,25.0,24.0,1.0,,0.0772222222222222,,1.3888888888888888,,,,,1.3888888888888888,1.3333333333333333,0.0555555555555555,,7.0,,7,,,,,7.0,7.0,7.0,,9.0,,9,,,,,9.0,9.0,9.0,
GURVINDER SINGH,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,9.0,9.0,9,,9.0,9.0,,9.0,9.0,,9.0,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,BLR,BLR,BLR,,BLR,BLR,,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,78.0,62.0,93,,56.0,42.0,,89.0,82.0,,55.0,0.78,10.0,24,,17.0,1.0,,7.0,7.0,,5.0,0.0866666666666666,1.1111111111111112,2.6666666666666665,,1.8888888888888888,0.1111111111111111,,0.7777777777777778,0.7777777777777778,,0.5555555555555556,1.0,1.0,1,,1.0,1.0,,1.0,1.0,,1.0,8.0,8.0,8,,8.0,8.0,,8.0,8.0,,8.0
Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,15.0,15.0,15,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,115.0,28.0,37,23.0,31.0,15.0,,99.0,110.0,43.0,31.0,0.33,49.0,66,2.0,61.0,3.0,,5.0,3.0,2.0,14.0,0.022,3.2666666666666666,4.4,0.1333333333333333,4.066666666666666,0.2,,0.3333333333333333,0.2,0.1333333333333333,0.9333333333333332,3.0,3.0,3,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
