player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
54,Jeeva Kumar,22,7,30,,U.P.,1,9,Defender,U.P. Yoddhas,0.3181818181818182
3000,Sombir,17,6,8,,HYD,2,9,Defender,Telugu Titans,0.35294117647058826
252,Kuldeep Singh,20,6,5,,MUM,3,0,All Rounder,U Mumba,0.3
146,Surender Nada,21,6,28,,HAR,4,9,Defender,Haryana Steelers,0.2857142857142857
212,Amit Hooda,22,6,29,,CHE,5,9,Defender,Tamil Thalaivas,0.2727272727272727
728,Manish,23,5,6,,PAT,6,9,Defender,Patna Pirates,0.21739130434782608
579,Jaideep,26,5,6,,PAT,7,9,Defender,Patna Pirates,0.19230769230769232
107,Shrikant Tewthia,23,5,4,,KOL,8,0,All Rounder,Bengal Warriors,0.21739130434782608
769,Mahender Singh,22,5,1,,BLR,9,9,Defender,Bengaluru Bulls,0.22727272727272727
191,C. Arun,20,5,29,,CHE,10,9,Defender,Tamil Thalaivas,0.25
764,Vinod Kumar,21,5,6,,PAT,11,8,Raider,Patna Pirates,0.23809523809523808
357,Parvesh Bhainswal,24,4,31,,GUJ,12,9,Defender,Gujarat Giants,0.16666666666666666
71,Mohit Chhillar,20,4,28,,HAR,13,9,Defender,Haryana Steelers,0.2
3084,Rinku Narwal,13,4,7,,PUN,14,9,Defender,Puneri Paltan,0.3076923076923077
322,Surjeet Singh,24,4,4,,KOL,15,9,Defender,Bengal Warriors,0.16666666666666666
29,Anup Kumar,21,4,5,,MUM,16,8,Raider,U Mumba,0.19047619047619047
66,Mahesh Goud,21,3,30,,U.P.,17,8,Raider,U.P. Yoddhas,0.14285714285714285
3083,Vishal Bhardwaj,22,3,8,,HYD,18,0,All Rounder,Telugu Titans,0.13636363636363635
161,Girish Maruti Ernak,21,3,7,,PUN,19,9,Defender,Puneri Paltan,0.14285714285714285
141,Sunil Jaipal,13,3,1,,BLR,20,8,Raider,Bengaluru Bulls,0.23076923076923078
3081,Vijay Malik,19,3,6,,PAT,21,0,All Rounder,Patna Pirates,0.15789473684210525
324,Darshan Kadian,16,3,5,,MUM,22,8,Raider,U Mumba,0.1875
390,Jawahar,18,3,6,,PAT,23,0,All Rounder,Patna Pirates,0.16666666666666666
347,Sagar Krishna,17,3,30,,U.P.,24,0,All Rounder,U.P. Yoddhas,0.17647058823529413
611,Sidharth ,21,3,3,,JAI,25,0,All Rounder,Jaipur Pink Panthers,0.14285714285714285
142,Sandeep Narwal,21,3,7,,PUN,26,0,All Rounder,Puneri Paltan,0.14285714285714285
3159,Vishal,5,3,2,,DEL,27,0,All Rounder,Dabang Delhi K.C.,0.6
259,Fazel Atrachali,24,3,31,,GUJ,28,9,Defender,Gujarat Giants,0.125
61,Kuldeep Singh,16,3,1,,BLR,29,9,Defender,Bengaluru Bulls,0.1875
160,Ran Singh,23,3,4,,KOL,30,0,All Rounder,Bengal Warriors,0.13043478260869565
249,Hadi Oshtorak,16,3,5,,MUM,31,0,All Rounder,U Mumba,0.1875
123,Vishal Mane,26,3,6,,PAT,32,9,Defender,Patna Pirates,0.11538461538461539
157,Ravinder Pahal,19,3,1,,BLR,33,9,Defender,Bengaluru Bulls,0.15789473684210525
489,Abozar Mighani,24,2,31,,GUJ,34,9,Defender,Gujarat Giants,0.08333333333333333
240,Ravi Kumar,23,2,7,,PUN,35,9,Defender,Puneri Paltan,0.08695652173913043
734,Vikas,19,2,28,,HAR,36,9,Defender,Haryana Steelers,0.10526315789473684
365,Akshay Jadhav,10,2,7,,PUN,37,8,Raider,Puneri Paltan,0.2
293,Nilesh Salunke,21,2,8,,HYD,38,8,Raider,Telugu Titans,0.09523809523809523
368,Sunil Kumar,24,2,31,,GUJ,39,9,Defender,Gujarat Giants,0.08333333333333333
162,D. SURESH KUMAR,5,2,5,,MUM,40,9,Defender,U Mumba,0.4
53,Jeeva Gopal,6,2,28,,HAR,41,9,Defender,Haryana Steelers,0.3333333333333333
768,Vijay Kumar,8,2,29,,CHE,42,9,Defender,Tamil Thalaivas,0.25
52,Jasvir Singh,15,2,3,,JAI,43,8,Raider,Jaipur Pink Panthers,0.13333333333333333
124,Wazir Singh,21,2,28,,HAR,44,8,Raider,Haryana Steelers,0.09523809523809523
536,Ziaur Rahman,16,2,7,,PUN,45,9,Defender,Puneri Paltan,0.125
773,Satpal,10,2,2,,DEL,46,9,Defender,Dabang Delhi K.C.,0.2
710,N. Renjith,11,2,5,,MUM,47,9,Defender,U Mumba,0.18181818181818182
667,Elangeshwaran R,5,2,8,,HYD,48,0,All Rounder,Telugu Titans,0.4
106,Shrikant Jadhav,19,2,5,,MUM,49,8,Raider,U Mumba,0.10526315789473684
86,Rajesh Narwal,16,1,30,,U.P.,50,0,All Rounder,U.P. Yoddhas,0.0625
762,Vikas Kumar,14,1,8,,HYD,51,8,Raider,Telugu Titans,0.07142857142857142
275,Deepak Kumar,6,1,28,,HAR,52,0,All Rounder,Haryana Steelers,0.16666666666666666
567,Mohsen Maghsoudlou,16,1,8,,HYD,53,8,Raider,Telugu Titans,0.0625
69,Manjeet Chhillar,15,1,3,,JAI,54,0,All Rounder,Jaipur Pink Panthers,0.06666666666666667
109,Somvir Shekhar,22,1,3,,JAI,55,9,Defender,Jaipur Pink Panthers,0.045454545454545456
736,Yatharth ,6,1,2,,DEL,56,0,All Rounder,Dabang Delhi K.C.,0.16666666666666666
101,Santosh B.S. ,9,1,30,,U.P.,57,9,Defender,U.P. Yoddhas,0.1111111111111111
207,Sunil,18,1,2,,DEL,58,9,Defender,Dabang Delhi K.C.,0.05555555555555555
613,Sunil Siddhgavali,12,1,3,,JAI,59,8,Raider,Jaipur Pink Panthers,0.08333333333333333
158,Rakesh Singh Kumar,19,1,28,,HAR,60,9,Defender,Haryana Steelers,0.05263157894736842
58,Kashiling Adake,20,1,5,,MUM,61,8,Raider,U Mumba,0.05
155,Prashanth Kumar Rai,16,1,28,,HAR,62,8,Raider,Haryana Steelers,0.0625
388,Monu Goyat,26,1,6,,PAT,63,8,Raider,Patna Pirates,0.038461538461538464
637,Neeraj Kumar,17,1,28,,HAR,64,9,Defender,Haryana Steelers,0.058823529411764705
165,Sachin Shingade,26,1,6,,PAT,65,9,Defender,Patna Pirates,0.038461538461538464
3082,Monu,19,1,7,,PUN,66,0,All Rounder,Puneri Paltan,0.05263157894736842
105,Shabeer Bappu,12,1,5,,MUM,67,8,Raider,U Mumba,0.08333333333333333
42,Dharmaraj Cheralathan,18,1,7,,PUN,68,9,Defender,Puneri Paltan,0.05555555555555555
732,Kuldeep Singh,5,1,28,,HAR,69,0,All Rounder,Haryana Steelers,0.2
202,Ashish Sangwan,20,1,1,,BLR,70,9,Defender,Bengaluru Bulls,0.05
94,Rishank Devadiga,21,1,30,,U.P.,71,8,Raider,U.P. Yoddhas,0.047619047619047616
3085,D. Pradap,16,1,29,,CHE,72,0,All Rounder,Tamil Thalaivas,0.0625
185,Vijin Thangadurai,12,1,29,,CHE,73,9,Defender,Tamil Thalaivas,0.08333333333333333
268,Vineet Sharma,18,1,29,,CHE,74,8,Raider,Tamil Thalaivas,0.05555555555555555
88,Rakesh Kumar,10,1,8,,HYD,75,0,All Rounder,Telugu Titans,0.1
792,Tushar Bhoir,8,1,2,,DEL,76,9,Defender,Dabang Delhi K.C.,0.125
694,Deepak Yadav,4,1,5,,MUM,77,9,Defender,U Mumba,0.25
73,Nilesh Shinde,15,1,2,,DEL,78,9,Defender,Dabang Delhi K.C.,0.06666666666666667
757,Sachin,24,1,31,,GUJ,79,8,Raider,Gujarat Giants,0.041666666666666664
3087,Subash E,2,1,5,,MUM,80,0,All Rounder,U Mumba,0.5
41,Deepak Hooda,24,1,7,,PUN,81,0,All Rounder,Puneri Paltan,0.041666666666666664
3088,Nitesh Kumar,19,1,30,,U.P.,82,9,Defender,U.P. Yoddhas,0.05263157894736842
3065,Nitin Rawal,21,1,3,,JAI,83,0,All Rounder,Jaipur Pink Panthers,0.047619047619047616
320,Nitin Tomar,20,1,30,,U.P.,84,8,Raider,U.P. Yoddhas,0.05
300,Abolfazel Maghsodlo,19,1,2,,DEL,85,8,Raider,Dabang Delhi K.C.,0.05263157894736842
326,Rohit Kumar,22,1,1,,BLR,86,8,Raider,Bengaluru Bulls,0.045454545454545456
724,Darshan J.,20,1,29,,CHE,87,9,Defender,Tamil Thalaivas,0.05
