player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
41,Deepak Hooda,24,47,7,,PUN,1,0,All Rounder,Puneri Paltan,1.9583333333333333
388,Monu Goyat,26,45,6,,PAT,2,8,Raider,Patna Pirates,1.7307692307692308
85,Rajesh Mondal,24,40,7,,PUN,3,8,Raider,Puneri Paltan,1.6666666666666667
389,Ajay Kumar,22,39,1,,BLR,4,8,Raider,Bengaluru Bulls,1.7727272727272727
174,Deepak Kumar Dahiya,16,38,28,,HAR,5,8,Raider,Haryana Steelers,2.375
757,Sachin,24,37,31,,GUJ,6,8,Raider,Gujarat Giants,1.5416666666666667
219,K. Prapanjan,22,36,29,,CHE,7,8,Raider,Tamil Thalaivas,1.6363636363636365
326,Rohit Kumar,22,36,1,,BLR,8,8,Raider,Bengaluru Bulls,1.6363636363636365
94,Rishank Devadiga,21,32,30,,U.P.,9,8,Raider,U.P. Yoddhas,1.5238095238095237
251,Meraj Sheykh,20,31,2,,DEL,10,0,All Rounder,Dabang Delhi K.C.,1.55
26,Ajay Thakur,22,30,29,,CHE,11,8,Raider,Tamil Thalaivas,1.3636363636363635
81,Rahul Chaudhari,22,29,8,,HYD,12,8,Raider,Telugu Titans,1.3181818181818181
197,Pardeep Narwal,26,29,6,,PAT,13,8,Raider,Patna Pirates,1.1153846153846154
156,Pawan Kadian,21,27,3,,JAI,14,8,Raider,Jaipur Pink Panthers,1.2857142857142858
58,Kashiling Adake,20,27,5,,MUM,15,8,Raider,U Mumba,1.35
124,Wazir Singh,21,27,28,,HAR,16,8,Raider,Haryana Steelers,1.2857142857142858
300,Abolfazel Maghsodlo,19,26,2,,DEL,17,8,Raider,Dabang Delhi K.C.,1.368421052631579
211,Deepak Narwal,16,25,4,,KOL,18,8,Raider,Bengal Warriors,1.5625
320,Nitin Tomar,20,23,30,,U.P.,19,8,Raider,U.P. Yoddhas,1.15
143,Maninder Singh,21,22,4,,KOL,20,8,Raider,Bengal Warriors,1.0476190476190477
293,Nilesh Salunke,21,22,8,,HYD,21,8,Raider,Telugu Titans,1.0476190476190477
106,Shrikant Jadhav,19,22,5,,MUM,22,8,Raider,U Mumba,1.1578947368421053
567,Mohsen Maghsoudlou,16,21,8,,HYD,23,8,Raider,Telugu Titans,1.3125
3065,Nitin Rawal,21,21,3,,JAI,24,0,All Rounder,Jaipur Pink Panthers,1.0
234,Surender Singh,18,19,30,,U.P.,25,8,Raider,U.P. Yoddhas,1.0555555555555556
387,Vinod Kumar,19,18,4,,KOL,26,8,Raider,Bengal Warriors,0.9473684210526315
111,Sukesh Hegde,18,17,31,,GUJ,27,8,Raider,Gujarat Giants,0.9444444444444444
718,R. Sriram,11,16,2,,DEL,28,8,Raider,Dabang Delhi K.C.,1.4545454545454546
366,Vikash Kandola,9,16,28,,HAR,29,8,Raider,Haryana Steelers,1.7777777777777777
163,Mahendra Rajput,17,15,31,,GUJ,30,8,Raider,Gujarat Giants,0.8823529411764706
