high-5s_player_name,player-tackle-points_player_name,super-10s_player_name,player-avg-tackle-points_player_name,player-successful-tackles_player_name,player-total-points_player_name,player-super-raids_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-raids_player_name,high-5s_match_played,player-tackle-points_match_played,super-10s_match_played,player-avg-tackle-points_match_played,player-successful-tackles_match_played,player-total-points_match_played,player-super-raids_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-raids_match_played,high-5s_position_name,player-tackle-points_position_name,super-10s_position_name,player-avg-tackle-points_position_name,player-successful-tackles_position_name,player-total-points_position_name,player-super-raids_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-raids_position_name,high-5s_team,player-tackle-points_team,super-10s_team,player-avg-tackle-points_team,player-successful-tackles_team,player-total-points_team,player-super-raids_team,player-super-tackles_team,player-dod-raid-points_team,player-raid-points_team,player-successful-raids_team,high-5s_team_name,player-tackle-points_team_name,super-10s_team_name,player-avg-tackle-points_team_name,player-successful-tackles_team_name,player-total-points_team_name,player-super-raids_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-raids_team_name,high-5s_team_full_name,player-tackle-points_team_full_name,super-10s_team_full_name,player-avg-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-total-points_team_full_name,player-super-raids_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-raids_team_full_name,high-5s_rank,player-tackle-points_rank,super-10s_rank,player-avg-tackle-points_rank,player-successful-tackles_rank,player-total-points_rank,player-super-raids_rank,player-super-tackles_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-raids_rank,high-5s_value,player-tackle-points_value,super-10s_value,player-avg-tackle-points_value,player-successful-tackles_value,player-total-points_value,player-super-raids_value,player-super-tackles_value,player-dod-raid-points_value,player-raid-points_value,player-successful-raids_value,high-5s_points_per_match,player-tackle-points_points_per_match,super-10s_points_per_match,player-avg-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-total-points_points_per_match,player-super-raids_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-raids_points_per_match,high-5s_team_id,player-tackle-points_team_id,super-10s_team_id,player-avg-tackle-points_team_id,player-successful-tackles_team_id,player-total-points_team_id,player-super-raids_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-raids_team_id,high-5s_position_id,player-tackle-points_position_id,super-10s_position_id,player-avg-tackle-points_position_id,player-successful-tackles_position_id,player-total-points_position_id,player-super-raids_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-raids_position_id
,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,Jang Lee,,18.0,18.0,18.0,18.0,18,18.0,18.0,18.0,18.0,18.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,123.0,20.0,142.0,130.0,29,24.0,61.0,35.0,24.0,23.0,,3.0,2.0,0.17,2.0,82,2.0,1.0,7.0,79.0,61.0,,0.1666666666666666,0.1111111111111111,0.0094444444444444,0.1111111111111111,4.555555555555555,0.1111111111111111,0.0555555555555555,0.3888888888888889,4.388888888888889,3.388888888888889,,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0
,Taedeok Eom,,Taedeok Eom,Taedeok Eom,Taedeok Eom,,,,,,,11.0,,11.0,11.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,,,,,,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,,,,,,149.0,,150.0,135.0,185,,,,,,,1.0,,0.09,1.0,1,,,,,,,0.0909090909090909,,0.0081818181818181,0.0909090909090909,0.0909090909090909,,,,,,,6.0,,6.0,6.0,6,,,,,,,0.0,,0.0,0.0,0,,,,,
,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,Ajay Thakur,,22.0,22.0,22.0,22.0,22,22.0,,22.0,22.0,22.0,,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,150.0,9.0,154.0,136.0,6,17.0,,5.0,5.0,3.0,,1.0,7.0,0.05,1.0,204,3.0,,33.0,203.0,177.0,,0.0454545454545454,0.3181818181818182,0.0022727272727272,0.0454545454545454,9.272727272727272,0.1363636363636363,,1.5,9.227272727272728,8.045454545454545,,29.0,29.0,29.0,29.0,29,29.0,,29.0,29.0,29.0,,8.0,8.0,8.0,8.0,8,8.0,,8.0,8.0,8.0
,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,,13.0,,13.0,13.0,13,13.0,,13.0,13.0,13.0,,Raider,,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,71.0,,73.0,58.0,56,23.0,,82.0,39.0,38.0,,12.0,,0.92,12.0,50,2.0,,1.0,38.0,30.0,,0.9230769230769232,,0.0707692307692307,0.9230769230769232,3.8461538461538463,0.1538461538461538,,0.0769230769230769,2.923076923076923,2.3076923076923075,,3.0,,3.0,3.0,3,3.0,,3.0,3.0,3.0,,8.0,,8.0,8.0,8,8.0,,8.0,8.0,8.0
,Bhupender Singh,,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,,4.0,,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,122.0,,83.0,129.0,119,38.0,62.0,36.0,69.0,75.0,,3.0,,0.75,2.0,13,1.0,1.0,6.0,10.0,6.0,,0.75,,0.1875,0.5,3.25,0.25,0.25,1.5,2.5,1.5,,4.0,,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,,0.0,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,24.0,24.0,24.0,24.0,24,24.0,24.0,24.0,24.0,24.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,99.0,17.0,134.0,112.0,13,25.0,63.0,21.0,13.0,13.0,,5.0,3.0,0.21,4.0,158,2.0,1.0,16.0,153.0,127.0,,0.2083333333333333,0.125,0.0087499999999999,0.1666666666666666,6.583333333333333,0.0833333333333333,0.0416666666666666,0.6666666666666666,6.375,5.291666666666667,,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,22.0,22.0,22.0,22.0,22.0,22,22.0,22.0,22.0,22.0,22.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,28.0,70.0,5.0,100.0,67.0,4,10.0,64.0,14.0,6.0,5.0,1.0,12.0,10.0,0.55,11.0,208,4.0,1.0,23.0,196.0,162.0,0.0454545454545454,0.5454545454545454,0.4545454545454545,0.025,0.5,9.454545454545457,0.1818181818181818,0.0454545454545454,1.0454545454545454,8.909090909090908,7.363636363636363,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Dharmaraj Cheralathan,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,,,,22.0,22.0,,22.0,22.0,22,,22.0,,,,Defender,Defender,,Defender,Defender,Defender,,Defender,,,,,,,,,,,,,,,MUM,MUM,,MUM,MUM,MUM,,MUM,,,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,,U Mumba,,,,29.0,25.0,,32.0,24.0,72,,26.0,,,,1.0,40.0,,1.82,37.0,40,,3.0,,,,0.0454545454545454,1.818181818181818,,0.0827272727272727,1.681818181818182,1.818181818181818,,0.1363636363636363,,,,5.0,5.0,,5.0,5.0,5,,5.0,,,,9.0,9.0,,9.0,9.0,9,,9.0,,,
,Gangadhari Mallesh,,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,Gangadhari Mallesh,,6.0,,6.0,6.0,6,,6.0,6.0,6.0,6.0,,All Rounder,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,130.0,,115.0,137.0,158,,60.0,81.0,109.0,110.0,,2.0,,0.33,1.0,4,,1.0,1.0,2.0,1.0,,0.3333333333333333,,0.055,0.1666666666666666,0.6666666666666666,,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,,3.0,,3.0,3.0,3,,3.0,3.0,3.0,3.0,,0.0,,0.0,0.0,0,,0.0,0.0,0.0,0.0
,Jasmer Gulia,,Jasmer Gulia,Jasmer Gulia,Jasmer Gulia,,,,,,,6.0,,6.0,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,,,,,,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,,,,,105.0,,93.0,110.0,159,,,,,,,4.0,,0.67,4.0,4,,,,,,,0.6666666666666666,,0.1116666666666666,0.6666666666666666,0.6666666666666666,,,,,,,1.0,,1.0,1.0,1,,,,,,,0.0,,0.0,0.0,0,,,,,
