player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
357,Parvesh Bhainswal,23,10,31,,GUJ,1,0,Defender - Left Cover,Gujarat Giants,0.43478260869565216
769,Mahender Singh,20,8,1,,BLR,2,0,Defender - Left Cover,Bengaluru Bulls,0.4
3236,Sagar,22,8,29,,CHE,3,0,Defender - Right Corner,Tamil Thalaivas,0.36363636363636365
3239,Ashu Singh,23,7,30,,U.P.,4,0,Defender - Right Cover,U.P. Yoddhas,0.30434782608695654
3964,Rinku,22,7,5,,MUM,5,0,Defender - Right Corner,U Mumba,0.3181818181818182
3228,Saurabh Nandal,24,6,1,,BLR,6,0,Defender - Left Corner,Bengaluru Bulls,0.25
3000,Sombir,19,6,7,,PUN,7,9,Defender,Puneri Paltan,0.3157894736842105
4192,Abinesh Nadarajan,22,6,7,,PUN,8,0,Defender - Right Cover,Puneri Paltan,0.2727272727272727
3343,Sajin C,23,5,6,,PAT,9,0,All-Rounder,Patna Pirates,0.21739130434782608
4184,Jaideep,22,5,28,,HAR,10,0,Defender - Left Cover,Haryana Steelers,0.22727272727272727
4186,Rahul Sethpal,18,5,5,,MUM,11,0,Defender - Right Corner,U Mumba,0.2777777777777778
3088,Nitesh Kumar,24,4,30,,U.P.,12,9,Defender,U.P. Yoddhas,0.16666666666666666
318,Pawan Sehrawat,24,4,1,,BLR,13,8,Raider,Bengaluru Bulls,0.16666666666666666
322,Surjeet Singh,20,4,29,,CHE,14,0,Defender - Right Cover,Tamil Thalaivas,0.2
146,Surender Nada,21,4,28,,HAR,15,0,Defender - Left Corner,Haryana Steelers,0.19047619047619047
4228,Shubham Kumar,21,4,30,,U.P.,16,0,Defender - Left Cover,U.P. Yoddhas,0.19047619047619047
4925,Mohammadreza Chiyaneh,24,3,6,,PAT,17,0,All-Rounder,Patna Pirates,0.125
4954,Mohit,22,3,28,,HAR,18,0,Defender - Right Cover,Haryana Steelers,0.13636363636363635
4966,Muhammed Shihas,8,3,8,,HYD,19,0,Defender - Left Corner,Telugu Titans,0.375
106,Shrikant Jadhav,23,3,30,,U.P.,20,8,Raider,U.P. Yoddhas,0.13043478260869565
240,Ravi Kumar,22,3,28,,HAR,21,0,Defender - Right Cover,Haryana Steelers,0.13636363636363635
259,Fazel Atrachali,22,3,5,,MUM,22,9,Defender,U Mumba,0.13636363636363635
368,Sunil Kumar,23,3,31,,GUJ,23,9,Defender,Gujarat Giants,0.13043478260869565
489,Abozar Mighani,22,3,4,,KOL,24,9,Defender,Bengal Warriors,0.13636363636363635
2023,Ruturaj Koravi,10,3,8,,HYD,25,9,Defender,Telugu Titans,0.3
