,player_id,player_name,total_points_match_played,total_points_value,total_points_team_id,total_points_team,team_name,total_points_rank,total_points_position_id,total_points_position_name,team_full_name,total_points_points_per_match,successful_raids_match_played,successful_raids_value,successful_raids_team_id,successful_raids_team,successful_raids_rank,successful_raids_position_id,successful_raids_position_name,successful_raids_points_per_match,raid_points_match_played,raid_points_value,raid_points_team_id,raid_points_team,raid_points_rank,raid_points_position_id,raid_points_position_name,raid_points_points_per_match,successful_tackles_match_played,successful_tackles_value,successful_tackles_team_id,successful_tackles_team,successful_tackles_rank,successful_tackles_position_id,successful_tackles_position_name,successful_tackles_points_per_match,tackle_points_match_played,tackle_points_value,tackle_points_team_id,tackle_points_team,tackle_points_rank,tackle_points_position_id,tackle_points_position_name,tackle_points_points_per_match,avg_tackle_points_match_played,avg_tackle_points_value,avg_tackle_points_team_id,avg_tackle_points_team,avg_tackle_points_rank,avg_tackle_points_position_id,avg_tackle_points_position_name,avg_tackle_points_points_per_match,dod_raid_points_match_played,dod_raid_points_value,dod_raid_points_team_id,dod_raid_points_team,dod_raid_points_rank,dod_raid_points_position_id,dod_raid_points_position_name,dod_raid_points_points_per_match,super_raids_match_played,super_raids_value,super_raids_team_id,super_raids_team,super_raids_rank,super_raids_position_id,super_raids_position_name,super_raids_points_per_match,super_tackles_match_played,super_tackles_value,super_tackles_team_id,super_tackles_team,super_tackles_rank,super_tackles_position_id,super_tackles_position_name,super_tackles_points_per_match,super_10s_match_played,super_10s_value,super_10s_team_id,super_10s_team,super_10s_rank,super_10s_position_id,super_10s_position_name,super_10s_points_per_match,super_5s_match_played,super_5s_value,super_5s_team_id,super_5s_team,super_5s_rank,super_5s_position_id,super_5s_position_name,super_5s_points_per_match
0,36,Chandran Ranjit,17,99,31,,GUJ,26,8,Raider,Gujarat Giants,5.823529411764706,17.0,73.0,31.0,,25.0,8.0,Raider,4.294117647058823,17.0,95.0,31.0,,25.0,8.0,Raider,5.588235294117647,17.0,4.0,31.0,,110.0,8.0,Raider,0.2352941176470588,17.0,4.0,31.0,,117.0,8.0,Raider,0.2352941176470588,17.0,0.24,31.0,,148.0,8.0,Raider,0.0141176470588235,17.0,7.0,31.0,,35.0,8.0,Raider,0.4117647058823529,17.0,5.0,31.0,,11.0,8.0,Raider,0.2941176470588235,,,,,,,,,17.0,2.0,31.0,,25.0,8.0,Raider,0.1176470588235294,,,,,,,,
1,41,Deepak Hooda,17,56,4,,KOL,48,0,All-Rounder,Bengal Warriors,3.2941176470588234,17.0,37.0,4.0,,35.0,0.0,All-Rounder,2.176470588235294,17.0,47.0,4.0,,36.0,0.0,All-Rounder,2.764705882352941,17.0,9.0,4.0,,75.0,0.0,All-Rounder,0.5294117647058824,17.0,9.0,4.0,,78.0,0.0,All-Rounder,0.5294117647058824,17.0,0.53,4.0,,110.0,0.0,All-Rounder,0.0311764705882352,17.0,14.0,4.0,,24.0,0.0,All-Rounder,0.8235294117647058,17.0,2.0,4.0,,27.0,0.0,All-Rounder,0.1176470588235294,,,,,,,,,,,,,,,,,,,,,,,,
2,81,Rahul Chaudhari,21,73,3,,JAI,32,8,Raider,Jaipur Pink Panthers,3.4761904761904763,21.0,56.0,3.0,,27.0,8.0,Raider,2.6666666666666665,21.0,71.0,3.0,,29.0,8.0,Raider,3.380952380952381,21.0,2.0,3.0,,143.0,8.0,Raider,0.0952380952380952,21.0,2.0,3.0,,145.0,8.0,Raider,0.0952380952380952,21.0,0.1,3.0,,169.0,8.0,Raider,0.0047619047619047,21.0,7.0,3.0,,34.0,8.0,Raider,0.3333333333333333,21.0,1.0,3.0,,53.0,8.0,Raider,0.0476190476190476,,,,,,,,,21.0,2.0,3.0,,26.0,8.0,Raider,0.0952380952380952,,,,,,,,
3,106,Shrikant Jadhav,21,129,4,,KOL,22,8,Raider,Bengal Warriors,6.142857142857143,21.0,95.0,4.0,,22.0,8.0,Raider,4.523809523809524,21.0,123.0,4.0,,21.0,8.0,Raider,5.857142857142857,21.0,6.0,4.0,,92.0,8.0,Raider,0.2857142857142857,21.0,6.0,4.0,,97.0,8.0,Raider,0.2857142857142857,21.0,0.29,4.0,,136.0,8.0,Raider,0.0138095238095238,21.0,17.0,4.0,,18.0,8.0,Raider,0.8095238095238095,21.0,6.0,4.0,,6.0,8.0,Raider,0.2857142857142857,,,,,,,,,21.0,2.0,4.0,,27.0,8.0,Raider,0.0952380952380952,,,,,,,,
4,123,Vishal Mane,1,1,5,,MUM,205,9,Defender,U Mumba,1.0,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,154.0,9.0,Defender,1.0,1.0,1.0,5.0,,164.0,9.0,Defender,1.0,1.0,1.0,5.0,,83.0,9.0,Defender,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,142,Sandeep Narwal,7,22,30,,U.P.,102,0,All Rounder,U.P. Yoddhas,3.142857142857143,7.0,8.0,30.0,,64.0,0.0,All Rounder,1.1428571428571428,7.0,10.0,30.0,,70.0,0.0,All Rounder,1.4285714285714286,7.0,11.0,30.0,,69.0,0.0,All Rounder,1.5714285714285714,7.0,12.0,30.0,,69.0,0.0,All Rounder,1.7142857142857142,7.0,1.71,30.0,,42.0,0.0,All Rounder,0.2442857142857142,,,,,,,,,,,,,,,,,7.0,1.0,30.0,,76.0,0.0,All Rounder,0.1428571428571428,,,,,,,,,7.0,1.0,30.0,,33.0,0.0,All Rounder,0.1428571428571428
6,143,Maninder Singh,21,240,4,,KOL,5,8,Raider,Bengal Warriors,11.428571428571429,21.0,180.0,4.0,,5.0,8.0,Raider,8.571428571428571,21.0,238.0,4.0,,5.0,8.0,Raider,11.333333333333334,21.0,2.0,4.0,,144.0,8.0,Raider,0.0952380952380952,21.0,2.0,4.0,,146.0,8.0,Raider,0.0952380952380952,21.0,0.1,4.0,,170.0,8.0,Raider,0.0047619047619047,21.0,19.0,4.0,,16.0,8.0,Raider,0.9047619047619048,21.0,11.0,4.0,,1.0,8.0,Raider,0.5238095238095238,,,,,,,,,21.0,14.0,4.0,,5.0,8.0,Raider,0.6666666666666666,,,,,,,,
7,146,Surender Nada,10,11,4,,KOL,127,0,Defender - Left Corner,Bengal Warriors,1.1,,,,,,,,,,,,,,,,,10.0,11.0,4.0,,70.0,0.0,Defender - Left Corner,1.1,10.0,11.0,4.0,,70.0,0.0,Defender - Left Corner,1.1,10.0,1.1,4.0,,73.0,0.0,Defender - Left Corner,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,155,Prashanth Kumar Rai,3,2,31,,GUJ,189,8,Raider,Gujarat Giants,0.6666666666666666,3.0,2.0,31.0,,92.0,8.0,Raider,0.6666666666666666,3.0,2.0,31.0,,104.0,8.0,Raider,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,157,Ravinder Pahal,4,1,8,,HYD,204,0,Defender - Right Corner,Telugu Titans,0.25,,,,,,,,,,,,,,,,,4.0,1.0,8.0,,153.0,0.0,Defender - Right Corner,0.25,4.0,1.0,8.0,,163.0,0.0,Defender - Right Corner,0.25,4.0,0.25,8.0,,145.0,0.0,Defender - Right Corner,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
