match_played,value,team_id,team_name,rank,points_per_match
24,349,7,Puneri Paltan,1,14.541666666666666
25,329,28,Haryana Steelers,2,13.16
22,295,29,Tamil Thalaivas,3,13.409090909090908
24,266,6,Patna Pirates,4,11.083333333333334
23,260,3,Jaipur Pink Panthers,5,11.304347826086957
23,249,31,Gujarat Giants,6,10.826086956521738
22,246,1,Bengaluru Bulls,7,11.181818181818182
23,239,2,Dabang Delhi K.C.,8,10.391304347826088
22,232,8,Telugu Titans,9,10.545454545454545
22,227,5,U Mumba,10,10.318181818181818
22,224,30,U.P. Yoddhas,11,10.181818181818182
22,204,4,Bengal Warriors,12,9.272727272727273
