match_played,value,team_id,team_name,rank,points_per_match
22,979,8,Telugu Titans,1,44.5
25,915,28,Haryana Steelers,2,36.6
22,875,5,U Mumba,3,39.77272727272727
22,863,4,Bengal Warriors,4,39.22727272727273
22,859,30,U.P. Yoddhas,5,39.04545454545455
24,838,6,Patna Pirates,6,34.916666666666664
22,801,1,Bengaluru Bulls,7,36.40909090909091
22,800,29,Tamil Thalaivas,8,36.36363636363637
23,778,2,Dabang Delhi K.C.,9,33.82608695652174
23,770,31,Gujarat Giants,10,33.47826086956522
23,706,3,Jaipur Pink Panthers,11,30.695652173913043
24,678,7,Puneri Paltan,12,28.25
