match_played,value,team_id,team_name,rank,points_per_match
24,19,1,Bengaluru Bulls,1,0.7916666666666666
23,15,4,Bengal Warriors,2,0.6521739130434783
23,14,5,U Mumba,3,0.6086956521739131
22,13,3,Jaipur Pink Panthers,4,0.5909090909090909
22,12,28,Haryana Steelers,5,0.5454545454545454
22,11,6,Patna Pirates,6,0.5
25,10,30,U.P. Yoddha,7,0.4
25,10,31,Gujarat Giants,8,0.4
22,9,8,Telugu Titans,9,0.4090909090909091
24,9,2,Dabang Delhi K.C.,10,0.375
22,7,29,Tamil Thalaivas,11,0.3181818181818182
22,6,7,Puneri Paltan,12,0.2727272727272727
