team_id,team-raid-points_team_name,team-avg-points-scored_team_name,team-all-outs-inflicted_team_name,team-super-raid_team_name,team-all-outs-conceded_team_name,team-successful-tackle-percent_team_name,team-successful-tackles_team_name,team-successful-raids_team_name,team-successful-tackles-per-match_team_name,team-dod-raid-points_team_name,team-total-points_team_name,team-super-tackles_team_name,team-successful-raid-percent_team_name,team-tackle-points_team_name,team-total-points-conceded_team_name,team-average-raid-points_team_name,team-raid_team_name,team-average-tackle-points_team_name,team-raid-points_match_played,team-avg-points-scored_match_played,team-all-outs-inflicted_match_played,team-super-raid_match_played,team-all-outs-conceded_match_played,team-successful-tackle-percent_match_played,team-successful-tackles_match_played,team-successful-raids_match_played,team-successful-tackles-per-match_match_played,team-dod-raid-points_match_played,team-total-points_match_played,team-super-tackles_match_played,team-successful-raid-percent_match_played,team-tackle-points_match_played,team-total-points-conceded_match_played,team-average-raid-points_match_played,team-raid_match_played,team-average-tackle-points_match_played,team-raid-points_rank,team-avg-points-scored_rank,team-all-outs-inflicted_rank,team-super-raid_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-successful-tackles_rank,team-successful-raids_rank,team-successful-tackles-per-match_rank,team-dod-raid-points_rank,team-total-points_rank,team-super-tackles_rank,team-successful-raid-percent_rank,team-tackle-points_rank,team-total-points-conceded_rank,team-average-raid-points_rank,team-raid_rank,team-average-tackle-points_rank,team-raid-points_value,team-avg-points-scored_value,team-all-outs-inflicted_value,team-super-raid_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-successful-tackles_value,team-successful-raids_value,team-successful-tackles-per-match_value,team-dod-raid-points_value,team-total-points_value,team-super-tackles_value,team-successful-raid-percent_value,team-tackle-points_value,team-total-points-conceded_value,team-average-raid-points_value,team-raid_value,team-average-tackle-points_value,team-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-inflicted_points_per_match,team-super-raid_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-successful-tackles_points_per_match,team-successful-raids_points_per_match,team-successful-tackles-per-match_points_per_match,team-dod-raid-points_points_per_match,team-total-points_points_per_match,team-super-tackles_points_per_match,team-successful-raid-percent_points_per_match,team-tackle-points_points_per_match,team-total-points-conceded_points_per_match,team-average-raid-points_points_per_match,team-raid_points_per_match,team-average-tackle-points_points_per_match
1,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,3,2,2,3,5,4,1,4,9,2,7,3,3,2,3,2,5,550,39.42,45,20,36,38.88,236,440,9.83,60,946,18,42.8,254,895,22.92,1028,10.58,22.916666666666668,1.6425,1.875,0.8333333333333334,1.5,1.62,9.833333333333334,18.333333333333332,0.4095833333333333,2.5,39.416666666666664,0.75,1.7833333333333332,10.583333333333334,37.291666666666664,0.955,42.833333333333336,0.4408333333333333
2,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3,2,6,5,2,10,5,2,6,10,3,5,2,6,1,2,6,4,542,39.61,34,13,41,33.84,223,434,9.7,59,911,22,44.56,245,926,23.57,974,10.65,23.565217391304348,1.7221739130434783,1.4782608695652173,0.5652173913043478,1.7826086956521738,1.4713043478260872,9.695652173913045,18.869565217391305,0.4217391304347825,2.5652173913043477,39.608695652173914,0.9565217391304348,1.937391304347826,10.652173913043478,40.26086956521739,1.0247826086956522,42.34782608695652,0.4630434782608695
3,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,1,1,8,12,1,1,3,1,6,1,9,4,1,10,6,3,1,519,39.83,48,11,18,46.36,274,432,11.42,70,956,16,42.44,290,758,21.63,1018,12.08,21.625,1.6595833333333332,2.0,0.4583333333333333,0.75,1.9316666666666664,11.416666666666666,18.0,0.4758333333333333,2.9166666666666665,39.833333333333336,0.6666666666666666,1.768333333333333,12.083333333333334,31.583333333333332,0.90125,42.416666666666664,0.5033333333333333
4,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,7,6,7,1,6,7,8,8,8,8,8,11,5,9,6,4,11,10,489,36.55,30,22,32,37.36,204,378,9.27,60,804,10,40.91,214,816,22.23,924,9.73,22.227272727272727,1.6613636363636362,1.3636363636363635,1.0,1.4545454545454546,1.6981818181818182,9.272727272727272,17.181818181818183,0.4213636363636363,2.727272727272727,36.54545454545455,0.4545454545454545,1.8595454545454544,9.727272727272728,37.09090909090909,1.0104545454545455,42.0,0.4422727272727273
5,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,11,11,7,10,2,6,12,5,4,11,2,11,5,12,11,12,3,384,32.5,23,12,27,42.94,216,294,9.82,75,715,30,31.89,246,743,17.45,922,11.18,17.454545454545453,1.4772727272727273,1.0454545454545454,0.5454545454545454,1.2272727272727273,1.9518181818181817,9.818181818181818,13.363636363636363,0.4463636363636363,3.409090909090909,32.5,1.3636363636363635,1.4495454545454545,11.181818181818182,33.77272727272727,0.7931818181818181,41.90909090909091,0.5081818181818182
6,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,10,9,11,4,9,10,10,9,1,10,6,10,10,9,10,7,9,418,32.86,28,9,34,36.5,196,343,8.91,107,723,18,35.99,214,781,19.0,953,9.73,19.0,1.4936363636363637,1.2727272727272727,0.4090909090909091,1.5454545454545454,1.6590909090909092,8.909090909090908,15.590909090909092,0.405,4.863636363636363,32.86363636363637,0.8181818181818182,1.635909090909091,9.727272727272728,35.5,0.8636363636363636,43.31818181818182,0.4422727272727273
7,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,7,3,10,11,3,3,5,3,3,4,10,6,4,8,7,4,6,507,36.33,38,11,26,40.61,238,411,9.92,80,872,14,40.85,252,808,21.13,1006,10.5,21.125,1.51375,1.5833333333333333,0.4583333333333333,1.0833333333333333,1.6920833333333334,9.916666666666666,17.125,0.4133333333333333,3.3333333333333335,36.333333333333336,0.5833333333333334,1.7020833333333334,10.5,33.666666666666664,0.8804166666666666,41.916666666666664,0.4375
8,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,1,12,12,11,12,11,12,1,12,11,3,12,8,11,376,28.77,11,6,48,30.0,165,297,7.5,57,633,37,31.63,202,878,17.09,939,9.18,17.09090909090909,1.3077272727272726,0.5,0.2727272727272727,2.1818181818181817,1.3636363636363635,7.5,13.5,0.3409090909090909,2.590909090909091,28.772727272727273,1.681818181818182,1.4377272727272727,9.181818181818182,39.90909090909091,0.7768181818181819,42.68181818181818,0.4172727272727272
28,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,9,9,10,6,9,4,7,9,7,12,9,8,8,8,11,8,10,7,458,35.0,25,13,29,39.06,207,359,9.41,50,770,17,38.69,224,754,20.82,928,10.18,20.818181818181817,1.5909090909090908,1.1363636363636365,0.5909090909090909,1.318181818181818,1.7754545454545456,9.409090909090908,16.318181818181817,0.4277272727272727,2.272727272727273,35.0,0.7727272727272727,1.7586363636363636,10.181818181818182,34.27272727272727,0.9463636363636364,42.18181818181818,0.4627272727272727
29,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,8,8,8,9,5,6,2,7,2,2,6,3,9,2,4,9,1,2,487,35.54,30,11,33,37.44,243,382,10.13,98,853,28,36.7,271,850,20.29,1041,11.29,20.291666666666668,1.4808333333333332,1.25,0.4583333333333333,1.375,1.5599999999999998,10.125,15.916666666666666,0.4220833333333333,4.083333333333333,35.541666666666664,1.1666666666666667,1.5291666666666668,11.291666666666666,35.416666666666664,0.8454166666666666,43.375,0.4704166666666666
