match_played,value,team_id,team_name,rank,points_per_match
22,107,6,Patna Pirates,1,4.863636363636363
24,98,29,Tamil Thalaivas,2,4.083333333333333
24,80,7,Puneri Paltan,3,3.3333333333333335
22,75,5,U Mumba,4,3.409090909090909
23,70,30,U.P. Yoddhas,5,3.0434782608695654
24,70,3,Jaipur Pink Panthers,6,2.9166666666666665
22,63,31,Gujarat Giants,7,2.8636363636363638
22,60,4,Bengal Warriors,8,2.727272727272727
24,60,1,Bengaluru Bulls,9,2.5
23,59,2,Dabang Delhi K.C.,10,2.5652173913043477
22,57,8,Telugu Titans,11,2.590909090909091
22,50,28,Haryana Steelers,12,2.272727272727273
