match_played,value,team_id,team_name,rank,points_per_match
23,18,31,Gujarat Giants,1,0.782608695652174
22,16,1,Bengaluru Bulls,2,0.7272727272727273
25,16,28,Haryana Steelers,3,0.64
23,13,2,Dabang Delhi K.C.,4,0.5652173913043478
23,13,3,Jaipur Pink Panthers,5,0.5652173913043478
22,12,4,Bengal Warriors,6,0.5454545454545454
22,12,8,Telugu Titans,7,0.5454545454545454
22,10,30,U.P. Yoddhas,8,0.45454545454545453
22,10,5,U Mumba,9,0.45454545454545453
24,10,6,Patna Pirates,10,0.4166666666666667
24,10,7,Puneri Paltan,11,0.4166666666666667
22,8,29,Tamil Thalaivas,12,0.36363636363636365
