match_played,value,team_id,team_name,rank,points_per_match
23,274,5,U Mumba,1,11.91304347826087
25,258,31,Gujarat Giants,2,10.32
25,240,30,U.P. Yoddha,3,9.6
24,219,1,Bengaluru Bulls,4,9.125
22,202,3,Jaipur Pink Panthers,5,9.181818181818182
22,202,8,Telugu Titans,6,9.181818181818182
24,198,2,Dabang Delhi K.C.,7,8.25
22,189,7,Puneri Paltan,8,8.590909090909092
23,186,4,Bengal Warriors,9,8.08695652173913
22,186,6,Patna Pirates,10,8.454545454545455
22,180,28,Haryana Steelers,11,8.181818181818182
22,173,29,Tamil Thalaivas,12,7.863636363636363
