match_played,value,team_id,team_name,rank,points_per_match
24,38,6,Patna Pirates,1,1.5833333333333333
24,35,30,U.P. Yoddhas,2,1.4583333333333333
24,34,1,Bengaluru Bulls,3,1.4166666666666667
23,33,7,Puneri Paltan,4,1.434782608695652
22,27,4,Bengal Warriors,5,1.2272727272727273
22,26,28,Haryana Steelers,6,1.1818181818181819
22,26,3,Jaipur Pink Panthers,7,1.1818181818181819
22,25,29,Tamil Thalaivas,8,1.1363636363636365
22,25,5,U Mumba,9,1.1363636363636365
24,25,2,Dabang Delhi K.C.,10,1.0416666666666667
23,23,31,Gujarat Giants,11,1.0
22,21,8,Telugu Titans,12,0.9545454545454546
