,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-22 19:30+05:30,U Mumba won by 16 Pts,2021-12-22 19:30+05:30,Match Completed,16,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2700,League,Match 1,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Bengaluru Bulls,30,false,U Mumba,46,true,U Mumba,Pawan Kumar,318,12,Raider,Chandran Ranjit,36,13,Raider,Mahender Singh,769,0,Defender - Left Cover,Saurabh Nandal,3228,0,Defender - Right Corner,Aman ,4972,0,Defender - Left Corner,Fazel Atrachali,259,2,Defender,Ashish Kumar,202,3,All-Rounder,Mohsen Maghsoudlou,567,2,All-Rounder,Abhishek Singh,2028,19,Raider,V Ajith Kumar,3053,6,Raider,,False,False
1,"Pro Kabaddi League Season 8, 2021",T,20,2021-12-22 20:30+05:30,Match Tied,2021-12-22 20:30+05:30,Match Completed,,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2701,League,Match 2,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Telugu Titans,40,false,Tamil Thalaivas,40,false,Tie,Surinder Singh,3086,1,Defender,Ruturaj Koravi,2023,3,Defender,Ankit Beniwal,2322,1,Raider,Adarsh T,3095,2,Defender - Left Corner,Rakesh Gowda,3046,3,Raider,K.Prapanjan ,219,6,Raider,Surjeet Singh,322,4,Defender - Right Cover,Ajinkya Ashok Pawar,3097,0,Raider,Sagar ,3236,2,Defender - Right Corner,Mohit ,4964,4,Defender - Left Cover,,False,False
2,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-22 21:30+05:30,Bengal Warriors won by 5 Pts,2021-12-22 21:30+05:30,Match Completed,5,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2702,League,Match 3,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Bengal Warriors,38,true,U.P. Yoddhas,33,false,Bengal Warriors,Abozar Mighani,489,0,Defender - Right Corner,Rinku Narwal,3084,1,Defender - Left Corner,Parveen Satpal,3100,1,Defender - Left Corner,Mohammad Nabibakhsh,3176,11,All-Rounder,,,,,Pardeep Narwal,197,8,Raider,Nitesh Kumar,3088,3,Defender,Sumit ,3240,1,Defender - Left Corner,Ashu Singh,3239,3,Defender - Right Cover,Surender Gill,3241,5,Raider,,False,False
3,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-23 19:30+05:30,Gujarat Giants won by 7 Pts,2021-12-23 19:30+05:30,Match Completed,7,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2703,League,Match 4,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Gujarat Giants,34,true,Jaipur Pink Panthers,27,false,Gujarat Giants,Girish Maruti Ernak,161,7,Defender - Left Corner,Sunil Kumar,368,0,Defender,Rakesh Narwal,204,7,Raider,Ravinder Pahal,157,1,Defender - Right Corner,Parvesh Bhainswal,357,4,Defender - Left Cover,Deepak Hooda,41,4,All-Rounder,Sandeep Dhull,290,3,Defender - Left Corner,Amit Hooda,212,2,Defender - Right Corner,Vishal ,3159,1,Defender - Left Cover,Amit ,3001,1,Defender,,False,False
4,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-23 20:30+05:30,Dabang Delhi K.C. won by 11 Pts,2021-12-23 20:30+05:30,Match Completed,11,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2704,League,Match 5,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Dabang Delhi K.C.,41,true,Puneri Paltan,30,false,Dabang Delhi K.C.,Sandeep Narwal,142,3,All Rounder,Jeeva Kumar,54,1,Defender,Manjeet Chhillar,69,1,All Rounder,Joginder Narwal,194,2,Defender - Left Corner,Vijay Malik,3081,9,All-Rounder,Nitin Tomar,320,7,Raider,Sombir ,3000,2,Defender,Sanket Sawant,3234,0,Defender - Left Cover,Pankaj Mohite,3233,4,Raider,,,,,,False,False
5,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-23 21:30+05:30,Patna Pirates won by 3 Pts,2021-12-23 21:30+05:30,Match Completed,3,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2705,League,Match 6,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Haryana Steelers,39,false,Patna Pirates,42,true,Patna Pirates,Rohit Gulia,3023,10,All-Rounder,,,,,,,,,,,,,,,,,Monu Goyat,388,15,Raider,Sachin ,757,7,Raider,Neeraj Kumar,3107,0,Defender - Right Cover,Sunil ,3106,3,Defender - Right Corner,Guman Singh,3032,0,Raider,,False,False
6,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-24 19:30+05:30,Dabang Delhi K.C. won by 9 Pts,2021-12-24 19:30+05:30,Match Completed,9,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2706,League,Match 7,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,U Mumba,22,false,Dabang Delhi K.C.,31,true,Dabang Delhi K.C.,Fazel Atrachali,259,0,Defender,Ashish Kumar,202,2,All-Rounder,Mohsen Maghsoudlou,567,3,All-Rounder,V Ajith Kumar,3053,7,Raider,Harendra Kumar,3138,0,Defender - Left Cover,Sandeep Narwal,142,1,All Rounder,Jeeva Kumar,54,2,Defender,Joginder Narwal,194,4,Defender - Left Corner,Vijay Malik,3081,2,All-Rounder,Naveen Kumar,2296,17,Raider,,False,False
7,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-24 20:30+05:30,Bengaluru Bulls won by 8 Pts,2021-12-24 20:30+05:30,Match Completed,8,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2707,League,Match 8,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Tamil Thalaivas,30,false,Bengaluru Bulls,38,true,Bengaluru Bulls,Mohit ,4964,2,Defender - Left Cover,Sahil Singh,4965,1,Defender - Left Corner,,,,,,,,,,,,,Pawan Kumar,318,9,Raider,Chandran Ranjit,36,7,Raider,Mahender Singh,769,1,Defender - Left Cover,Saurabh Nandal,3228,5,Defender - Right Corner,Mayur Kadam,4848,3,Defender - Right Cover,,False,False
8,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-24 21:30+05:30,Bengal Warriors won by 3 Pts,2021-12-24 21:30+05:30,Match Completed,3,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2708,League,Match 9,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Bengal Warriors,31,true,Gujarat Giants,28,false,Bengal Warriors,Vijin Thangadurai,185,1,Defender - Right Cover,Abozar Mighani,489,0,Defender - Right Corner,Darshan J.,724,1,Defender,Mohammad Nabibakhsh,3176,4,All-Rounder,Akash Pikalmunde,4675,4,Raider,Sunil Kumar,368,0,Defender,Rakesh Narwal,204,12,Raider,Ravinder Pahal,157,3,Defender - Right Corner,Parvesh Bhainswal,357,2,Defender - Left Cover,Rakesh ,3966,4,Raider,,False,False
9,"Pro Kabaddi League Season 8, 2021",W,20,2021-12-25 19:30+05:30,U.P. Yoddhas won by 1 Pts,2021-12-25 19:30+05:30,Match Completed,1,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2709,League,Match 10,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Patna Pirates,35,false,U.P. Yoddhas,36,true,U.P. Yoddhas,Prashanth Rai,155,8,Raider,Monu Goyat,388,5,Raider,Sachin ,757,10,Raider,Neeraj Kumar,3107,1,Defender - Right Cover,Sunil ,3106,0,Defender - Right Corner,Sumit ,3240,6,Defender - Left Corner,Ashu Singh,3239,3,Defender - Right Cover,Rohit Tomar,4222,2,Raider,,,,,,,,,,False,False
