season,team_name,player-id-pkdc,player-id-pkdc-sanitised,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful
PKL-06,Haryana Steelers,644,644,Anand Tomar,5,200%,10.00%,100.00%,
PKL-06,Haryana Steelers,644,644,Anand Tomar,6,300%,15%,,33.30%
PKL-06,Haryana Steelers,644,644,Anand Tomar,7,1500%,75.00%,20.00%,40.00%
PKL-06,Haryana Steelers,2318,2318,Arun Kumar,7,500%,100.00%,20.00%,20.00%
PKL-06,Haryana Steelers,2315,2315,Bhuvneshwar Gaur,6,100%,14%,,
PKL-06,Haryana Steelers,2315,2315,Bhuvneshwar Gaur,7,600%,86%,,50.00%
PKL-06,Haryana Steelers,732,732,Kuldeep Singh,6,100%,50.00%,100.00%,
PKL-06,Haryana Steelers,732,732,Kuldeep Singh,7,100%,50.00%,100.00%,
PKL-06,Haryana Steelers,3045,3045,Mayur Shivtarkar,3,100%,3.00%,100.00%,
PKL-06,Haryana Steelers,3045,3045,Mayur Shivtarkar,4,400%,11.00%,75.00%,
PKL-06,Haryana Steelers,3045,3045,Mayur Shivtarkar,5,600%,17.00%,83.30%,
PKL-06,Haryana Steelers,3045,3045,Mayur Shivtarkar,6,400%,11.00%,75.00%,
PKL-06,Haryana Steelers,3045,3045,Mayur Shivtarkar,7,2100%,58.00%,71.40%,4.80%
PKL-06,Haryana Steelers,388,388,Monu Goyat,2,1000%,3%,,70.00%
PKL-06,Haryana Steelers,388,388,Monu Goyat,3,1600%,5.00%,31.30%,37.50%
PKL-06,Haryana Steelers,388,388,Monu Goyat,4,4100%,14.00%,46.30%,19.50%
PKL-06,Haryana Steelers,388,388,Monu Goyat,5,4000%,13.00%,52.50%,27.50%
PKL-06,Haryana Steelers,388,388,Monu Goyat,6,7800%,26.00%,24.40%,56.40%
PKL-06,Haryana Steelers,388,388,Monu Goyat,7,11600%,39.00%,25.00%,47.40%
PKL-06,Haryana Steelers,2357,2357,Naveen ,3,800%,4.00%,50.00%,12.50%
PKL-06,Haryana Steelers,2357,2357,Naveen ,4,2600%,13.00%,34.60%,19.20%
PKL-06,Haryana Steelers,2357,2357,Naveen ,5,3700%,19.00%,43.20%,29.70%
PKL-06,Haryana Steelers,2357,2357,Naveen ,6,4700%,24.00%,34.00%,44.70%
PKL-06,Haryana Steelers,2357,2357,Naveen ,7,7500%,39.00%,38.70%,49.30%
PKL-06,Haryana Steelers,3100,3100,Parveen ,5,100%,14.00%,100.00%,
PKL-06,Haryana Steelers,3100,3100,Parveen ,7,600%,86.00%,66.70%,16.70%
PKL-06,Haryana Steelers,608,608,Prateek ,3,100%,13.00%,100.00%,
PKL-06,Haryana Steelers,608,608,Prateek ,6,300%,38.00%,33.30%,33.30%
PKL-06,Haryana Steelers,608,608,Prateek ,7,400%,50.00%,50.00%,
PKL-06,Haryana Steelers,165,165,Sachin Shingade,6,100%,50.00%,100.00%,
PKL-06,Haryana Steelers,165,165,Sachin Shingade,7,100%,50.00%,100.00%,
PKL-06,Haryana Steelers,3106,3106,Sunil ,6,100%,33.00%,100.00%,
PKL-06,Haryana Steelers,3106,3106,Sunil ,7,200%,67.00%,100.00%,
PKL-06,Haryana Steelers,366,366,Vikash Khandola,1,200%,1%,,100.00%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,2,1300%,4%,,61.50%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,3,2700%,8.00%,70.40%,29.60%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,4,4600%,13.00%,34.80%,30.40%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,5,8200%,24.00%,52.40%,23.20%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,6,7000%,20.00%,25.70%,47.10%
PKL-06,Haryana Steelers,366,366,Vikash Khandola,7,10700%,31.00%,29.00%,53.30%
PKL-06,Haryana Steelers,124,124,Wazir Singh,4,200%,20.00%,100.00%,
PKL-06,Haryana Steelers,124,124,Wazir Singh,5,100%,10%,,
PKL-06,Haryana Steelers,124,124,Wazir Singh,6,200%,20%,,50.00%
PKL-06,Haryana Steelers,124,124,Wazir Singh,7,500%,50.00%,60.00%,20.00%
PKL-06,U Mumba,2028,2028,Abhishek Singh,1,300%,3%,,100.00%
PKL-06,U Mumba,2028,2028,Abhishek Singh,2,400%,3.00%,25.00%,75.00%
PKL-06,U Mumba,2028,2028,Abhishek Singh,3,2500%,21.00%,64.00%,24.00%
PKL-06,U Mumba,2028,2028,Abhishek Singh,4,2800%,24.00%,42.90%,35.70%
PKL-06,U Mumba,2028,2028,Abhishek Singh,5,2200%,19.00%,59.10%,13.60%
PKL-06,U Mumba,2028,2028,Abhishek Singh,6,900%,8.00%,22.20%,66.70%
PKL-06,U Mumba,2028,2028,Abhishek Singh,7,2600%,22.00%,53.80%,26.90%
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,2,200%,3%,,
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,3,700%,9.00%,71.40%,14.30%
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,4,1100%,14.00%,63.60%,18.20%
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,5,1800%,23.00%,66.70%,16.70%
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,6,1900%,25.00%,31.60%,31.60%
PKL-06,U Mumba,300,300,Abolfazel Maghsodlo,7,2000%,26.00%,45.00%,35.00%
PKL-06,U Mumba,#N/A,-1,Anil,5,100%,50.00%,100.00%,
PKL-06,U Mumba,#N/A,-1,Anil,7,100%,50.00%,100.00%,
PKL-06,U Mumba,2024,2024,Arjun Deshwal,2,100%,9%,,100.00%
PKL-06,U Mumba,2024,2024,Arjun Deshwal,4,300%,27.00%,66.70%,33.30%
PKL-06,U Mumba,2024,2024,Arjun Deshwal,5,300%,27.00%,33.30%,
PKL-06,U Mumba,2024,2024,Arjun Deshwal,6,100%,9%,,100.00%
PKL-06,U Mumba,2024,2024,Arjun Deshwal,7,300%,27.00%,66.70%,
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,1,200%,1%,,100.00%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,2,400%,3%,,75.00%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,3,1700%,12.00%,52.90%,29.40%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,4,1800%,13.00%,38.90%,27.80%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,5,3900%,28.00%,53.80%,17.90%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,6,2800%,20.00%,60.70%,35.70%
PKL-06,U Mumba,#N/A,-1,Darshan Kadian,7,3300%,23.00%,54.50%,24.20%
PKL-06,U Mumba,42,42,Dharmaraj Cheralathan,2,100%,5%,,
PKL-06,U Mumba,42,42,Dharmaraj Cheralathan,4,100%,5.00%,100.00%,
PKL-06,U Mumba,42,42,Dharmaraj Cheralathan,5,600%,27.00%,100.00%,
PKL-06,U Mumba,42,42,Dharmaraj Cheralathan,6,200%,9.00%,100.00%,
PKL-06,U Mumba,42,42,Dharmaraj Cheralathan,7,1200%,55.00%,100.00%,
PKL-06,U Mumba,259,259,Fazel Atrachali,3,100%,7.00%,100.00%,
PKL-06,U Mumba,259,259,Fazel Atrachali,4,200%,14.00%,100.00%,
PKL-06,U Mumba,259,259,Fazel Atrachali,5,300%,21.00%,100.00%,
PKL-06,U Mumba,259,259,Fazel Atrachali,6,100%,7.00%,100.00%,
PKL-06,U Mumba,259,259,Fazel Atrachali,7,700%,50.00%,100.00%,
PKL-06,U Mumba,2313,2313,Gaurav Kumar,4,300%,30.00%,33.30%,66.70%
PKL-06,U Mumba,2313,2313,Gaurav Kumar,5,500%,50.00%,20.00%,
PKL-06,U Mumba,2313,2313,Gaurav Kumar,6,100%,10.00%,100.00%,
PKL-06,U Mumba,2313,2313,Gaurav Kumar,7,100%,10%,,
PKL-06,U Mumba,#N/A,-1,R. Sriram,3,100%,25%,,
PKL-06,U Mumba,#N/A,-1,R. Sriram,4,100%,25%,,
PKL-06,U Mumba,#N/A,-1,R. Sriram,5,200%,50%,,
PKL-06,U Mumba,261,261,Rohit Baliyan,2,100%,1%,,100.00%
PKL-06,U Mumba,261,261,Rohit Baliyan,3,1000%,5.00%,50.00%,20.00%
PKL-06,U Mumba,261,261,Rohit Baliyan,4,2100%,11.00%,66.70%,19.00%
PKL-06,U Mumba,261,261,Rohit Baliyan,5,3400%,18.00%,67.60%,17.60%
PKL-06,U Mumba,261,261,Rohit Baliyan,6,6000%,32.00%,23.30%,58.30%
PKL-06,U Mumba,261,261,Rohit Baliyan,7,6200%,33.00%,30.60%,54.80%
PKL-06,U Mumba,2026,2026,Siddharth Desai,1,900%,3%,,100.00%
PKL-06,U Mumba,2026,2026,Siddharth Desai,2,2000%,6.00%,10.00%,65.00%
PKL-06,U Mumba,2026,2026,Siddharth Desai,3,3100%,10.00%,22.60%,51.60%
