Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abozar Mighani,3,9,35%,100.00%,,
,4,5,19%,100.00%,,
,5,6,23%,100.00%,,
,6,4,15%,100.00%,,
,7,2,8%,100.00%,,
Anil Kumar,5,1,11%,100.00%,,
,6,5,56%,100.00%,,
,7,3,33%,33.30%,,66.70%
Ankit Beniwal,6,2,67%,50.00%,,50.00%
,7,1,33%,,,100.00%
Anuj Kumar,6,3,60%,100.00%,,
,7,2,40%,50.00%,50.00%,
Armaan,2,1,4%,,100.00%,
,4,1,4%,100.00%,,
,5,4,17%,50.00%,25.00%,25.00%
,6,6,26%,,50.00%,50.00%
,7,11,48%,18.20%,45.50%,36.40%
C Manoj Kumar,4,2,10%,,,100.00%
,5,8,38%,25.00%,37.50%,37.50%
,6,5,24%,20.00%,40.00%,40.00%
,7,6,29%,33.30%,33.30%,33.30%
Farhad Milaghardan,2,2,3%,,50.00%,50.00%
,3,3,5%,33.30%,33.30%,33.30%
,4,5,8%,40.00%,20.00%,40.00%
,5,12,20%,75.00%,16.70%,8.30%
,6,10,16%,50.00%,50.00%,
,7,29,48%,55.20%,24.10%,20.70%
Kamal Singh,4,2,6%,100.00%,,
,5,12,34%,75.00%,16.70%,8.30%
,6,6,17%,83.30%,,16.70%
,7,15,43%,26.70%,33.30%,40.00%
Krushna Madane,5,2,67%,100.00%,,
,6,1,33%,,100.00%,
Mohsen Maghsoudlou,2,2,2%,50.00%,,50.00%
,3,5,5%,60.00%,20.00%,20.00%
,4,21,19%,47.60%,14.30%,38.10%
,5,23,21%,65.20%,13.00%,21.70%
,6,23,21%,52.20%,34.80%,13.00%
,7,37,33%,51.40%,29.70%,18.90%
Nilesh Salunke,1,1,0%,,100.00%,
,2,4,2%,25.00%,25.00%,50.00%
,3,10,5%,60.00%,,40.00%
,4,27,13%,59.30%,11.10%,29.60%
,5,41,20%,56.10%,17.10%,26.80%
,6,50,25%,36.00%,44.00%,20.00%
,7,68,34%,33.80%,39.70%,26.50%
Rahul Chaudhari,1,5,1%,,100.00%,
,2,18,5%,5.60%,77.80%,16.70%
,3,25,7%,24.00%,48.00%,28.00%
,4,43,12%,44.20%,20.90%,34.90%
,5,57,16%,42.10%,22.80%,35.10%
,6,83,24%,43.40%,48.20%,8.40%
,7,119,34%,31.90%,38.70%,29.40%
Rajnish,4,3,12%,66.70%,33.30%,
,5,6,23%,50.00%,,50.00%
,6,4,15%,25.00%,25.00%,50.00%
,7,13,50%,30.80%,46.20%,23.10%
Rakshith,4,4,10%,,25.00%,75.00%
,5,5,13%,40.00%,20.00%,40.00%
,6,11,28%,27.30%,27.30%,45.50%
,7,19,49%,31.60%,36.80%,31.60%
Vishal Bhardwaj,3,4,10%,100.00%,,
,4,2,5%,100.00%,,
,5,20,50%,100.00%,,
,6,5,13%,100.00%,,
,7,9,23%,100.00%,,
