Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay,7,4,100%,75.00%,25.00%,
Amit Sheoran,7,1,100%,,,100.00%
Ankit,5,1,7%,100.00%,,
,6,5,36%,80.00%,20.00%,
,7,8,57%,75.00%,,25.00%
Ashish Kumar,5,4,33%,75.00%,,25.00%
,6,1,8%,100.00%,,
,7,7,58%,71.40%,,28.60%
Banty,3,1,1%,100.00%,,
,4,8,11%,50.00%,25.00%,25.00%
,5,16,23%,31.30%,25.00%,43.80%
,6,11,16%,72.70%,18.20%,9.10%
,7,34,49%,41.20%,26.50%,32.40%
Mahender Singh,3,1,11%,100.00%,,
,4,2,22%,100.00%,,
,5,2,22%,100.00%,,
,7,4,44%,100.00%,,
Mohit Sehrawat,3,2,4%,50.00%,,50.00%
,4,3,7%,33.30%,,66.70%
,5,6,13%,66.70%,,33.30%
,6,14,30%,78.60%,7.10%,14.30%
,7,21,46%,61.90%,14.30%,23.80%
Pawan Sehrawat,1,3,1%,,100.00%,
,2,29,6%,,82.80%,17.20%
,3,38,8%,21.10%,60.50%,18.40%
,4,57,12%,17.50%,38.60%,43.90%
,5,86,19%,29.10%,43.00%,27.90%
,6,103,22%,13.60%,63.10%,23.30%
,7,145,31%,15.20%,64.10%,20.70%
Rohit Kumar,2,11,4%,9.10%,72.70%,18.20%
,3,22,9%,59.10%,13.60%,27.30%
,4,24,10%,58.30%,16.70%,25.00%
,5,49,20%,61.20%,12.20%,26.50%
,6,55,22%,25.50%,36.40%,38.20%
,7,87,35%,32.20%,39.10%,28.70%
Saurabh Nandal,7,1,100%,,100.00%,
Sumit Singh,3,3,2%,33.30%,66.70%,
,4,16,11%,56.30%,25.00%,18.80%
,5,21,15%,47.60%,19.00%,33.30%
,6,34,24%,41.20%,35.30%,23.50%
,7,68,48%,30.90%,35.30%,33.80%
Vijay Kumar,4,1,25%,100.00%,,
,5,1,25%,100.00%,,
,6,1,25%,100.00%,,
,7,1,25%,100.00%,,
