Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Amit Kumar,5,1,13%,100.00%,,
,6,1,13%,100.00%,,
,7,6,75%,16.70%,50.00%,33.30%
Ashish,4,4,25%,25.00%,,75.00%
,5,4,25%,50.00%,25.00%,25.00%
,6,1,6%,,,100.00%
,7,7,44%,28.60%,28.60%,42.90%
Hadi Oshtorak,2,1,2%,,100.00%,
,3,7,17%,100.00%,,
,4,6,14%,100.00%,,
,5,11,26%,90.90%,9.10%,
,6,3,7%,100.00%,,
,7,14,33%,64.30%,21.40%,14.30%
Jang Kun Lee,2,2,1%,,100.00%,
,3,9,7%,66.70%,,33.30%
,4,18,13%,50.00%,38.90%,11.10%
,5,33,24%,60.60%,27.30%,12.10%
,6,25,18%,20.00%,64.00%,16.00%
,7,51,37%,47.10%,29.40%,23.50%
Jawahar Dagar,6,1,100%,100.00%,,
Mohammad Esmaeil Maghsoudlou Mahalli,3,10,8%,70.00%,10.00%,20.00%
,4,16,12%,68.80%,12.50%,18.80%
,5,23,18%,65.20%,13.00%,21.70%
,6,19,15%,47.40%,31.60%,21.10%
,7,61,47%,42.60%,31.10%,26.20%
Monu,3,5,8%,40.00%,,60.00%
,4,5,8%,80.00%,20.00%,
,5,16,24%,75.00%,12.50%,12.50%
,6,7,11%,71.40%,14.30%,14.30%
,7,33,50%,63.60%,15.20%,21.20%
Naveen,7,3,100%,33.30%,,66.70%
Neeraj Kumar,5,1,25%,100.00%,,
,6,1,25%,100.00%,,
,7,2,50%,50.00%,,50.00%
Pardeep Narwal,1,9,2%,,100.00%,
,2,34,8%,2.90%,79.40%,17.60%
,3,64,14%,20.30%,56.30%,23.40%
,4,59,13%,27.10%,44.10%,28.80%
,5,86,19%,40.70%,33.70%,25.60%
,6,60,13%,21.70%,63.30%,15.00%
,7,141,31%,16.30%,55.30%,28.40%
Purna Singh,3,1,7%,100.00%,,
,5,3,20%,66.70%,,33.30%
,6,6,40%,50.00%,33.30%,16.70%
,7,5,33%,20.00%,40.00%,40.00%
Vikas Jaglan,3,1,2%,100.00%,,
,4,1,2%,100.00%,,
,5,13,22%,84.60%,7.70%,7.70%
,6,4,7%,75.00%,25.00%,
,7,39,67%,59.00%,12.80%,28.20%
