Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Aman Hooda,6,2,33%,50.00%,,50.00%
,7,4,67%,100.00%,,
Ankit,2,1,4%,,100.00%,
,3,5,22%,100.00%,,
,4,5,22%,80.00%,,20.00%
,5,4,17%,50.00%,,50.00%
,6,2,9%,50.00%,50.00%,
,7,6,26%,16.70%,50.00%,33.30%
Ankush,5,3,100%,66.70%,,33.30%
Ashu Singh,5,3,14%,100.00%,,
,6,4,18%,100.00%,,
,7,15,68%,80.00%,13.30%,6.70%
Mohammad Taghi,3,1,6%,100.00%,,
,4,3,17%,33.30%,66.70%,
,5,6,33%,33.30%,16.70%,50.00%
,7,8,44%,25.00%,25.00%,50.00%
Nitesh Kumar,7,1,100%,,,100.00%
Pardeep Narwal,1,3,1%,,100.00%,
,2,21,6%,4.80%,81.00%,14.30%
,3,28,8%,21.40%,46.40%,32.10%
,4,39,11%,41.00%,33.30%,25.60%
,5,54,15%,44.40%,24.10%,31.50%
,6,78,22%,25.60%,44.90%,29.50%
,7,126,36%,28.60%,39.70%,31.70%
Rohit Tomar,3,3,8%,,66.70%,33.30%
,4,6,17%,50.00%,33.30%,16.70%
,5,10,28%,40.00%,30.00%,30.00%
,6,7,19%,28.60%,71.40%,
,7,10,28%,40.00%,40.00%,20.00%
Sahil,5,1,13%,,,100.00%
,6,1,13%,,100.00%,
,7,6,75%,,33.30%,66.70%
Shrikant Jadhav,1,1,1%,,100.00%,
,2,1,1%,,100.00%,
,3,6,3%,50.00%,33.30%,16.70%
,4,18,9%,38.90%,33.30%,27.80%
,5,54,28%,59.30%,18.50%,22.20%
,6,40,21%,30.00%,47.50%,22.50%
,7,70,37%,24.30%,48.60%,27.10%
Shubham Kumar,7,1,100%,,,100.00%
Sumit,7,2,100%,50.00%,,50.00%
Surender Gill,1,1,0%,,100.00%,
,2,18,5%,11.10%,61.10%,27.80%
,3,18,5%,50.00%,33.30%,16.70%
,4,29,8%,51.70%,17.20%,31.00%
,5,67,19%,59.70%,20.90%,19.40%
,6,80,23%,31.30%,55.00%,13.80%
,7,142,40%,37.30%,43.70%,19.00%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
