Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Ghanghas,6,1,100%,,,100.00%
Ashish,2,1,1%,,100.00%,
,3,3,3%,33.30%,33.30%,33.30%
,4,10,10%,40.00%,30.00%,30.00%
,5,11,11%,63.60%,18.20%,18.20%
,6,27,26%,29.60%,66.70%,3.70%
,7,50,49%,34.00%,36.00%,30.00%
Jaideep,5,3,21%,100.00%,,
,6,2,14%,100.00%,,
,7,9,64%,66.70%,,33.30%
Meetu,2,2,1%,,100.00%,
,3,8,4%,25.00%,50.00%,25.00%
,4,23,12%,39.10%,34.80%,26.10%
,5,53,28%,64.20%,17.00%,18.90%
,6,35,18%,31.40%,48.60%,20.00%
,7,71,37%,33.80%,38.00%,28.20%
Mohammad Esmaeil,6,3,50%,66.70%,,33.30%
,7,3,50%,33.30%,33.30%,33.30%
Rajesh Narwal,6,2,50%,50.00%,,50.00%
,7,2,50%,,,100.00%
Ravi Kumar,7,1,100%,,,100.00%
Rohit Gulia,3,4,4%,50.00%,,50.00%
,4,9,8%,88.90%,,11.10%
,5,7,6%,42.90%,14.30%,42.90%
,6,40,35%,20.00%,50.00%,30.00%
,7,53,47%,18.90%,41.50%,39.60%
Surender Nada,2,1,8%,100.00%,,
,3,1,8%,100.00%,,
,4,2,17%,50.00%,50.00%,
,5,1,8%,100.00%,,
,6,1,8%,100.00%,,
,7,6,50%,50.00%,16.70%,33.30%
Vijay Kumar,7,1,100%,,100.00%,
Vikash Kandola,1,4,1%,,100.00%,
,2,23,6%,8.70%,82.60%,8.70%
,3,41,12%,34.10%,46.30%,19.50%
,4,53,15%,37.70%,34.00%,28.30%
,5,71,20%,39.40%,35.20%,25.40%
,6,70,20%,38.60%,37.10%,24.30%
,7,94,26%,36.20%,38.30%,25.50%
Vinay,3,2,2%,50.00%,,50.00%
,4,10,10%,30.00%,40.00%,30.00%
,5,11,11%,63.60%,27.30%,9.10%
,6,31,32%,29.00%,54.80%,16.10%
,7,42,44%,28.60%,57.10%,14.30%
