season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-08,Puneri Paltan,Abinesh Nadarajan,5,3,33%,100.00%,,
PKL-08,Puneri Paltan,,6,2,22%,,100.00%,
PKL-08,Puneri Paltan,,7,4,44%,75.00%,,25.00%
PKL-08,Puneri Paltan,Akash Shinde,5,2,18%,,50.00%,50.00%
PKL-08,Puneri Paltan,,6,5,45%,20.00%,80.00%,
PKL-08,Puneri Paltan,,7,4,36%,,100.00%,
PKL-08,Puneri Paltan,Asalam Inamdar,1,1,0%,,100.00%,
PKL-08,Puneri Paltan,,2,8,2%,,87.50%,12.50%
PKL-08,Puneri Paltan,,3,29,8%,48.30%,34.50%,17.20%
PKL-08,Puneri Paltan,,4,43,12%,55.80%,16.30%,27.90%
PKL-08,Puneri Paltan,,5,76,21%,64.50%,22.40%,13.20%
PKL-08,Puneri Paltan,,6,77,22%,37.70%,44.20%,18.20%
PKL-08,Puneri Paltan,,7,121,34%,31.40%,52.90%,15.70%
PKL-08,Puneri Paltan,Baldev Singh,7,1,100%,,,100.00%
PKL-08,Puneri Paltan,Karamvir,7,1,100%,,,100.00%
PKL-08,Puneri Paltan,Mohit Goyat,0,1,0%,,100.00%,
PKL-08,Puneri Paltan,,1,3,1%,,100.00%,
PKL-08,Puneri Paltan,,2,30,10%,6.70%,83.30%,10.00%
PKL-08,Puneri Paltan,,3,38,12%,42.10%,42.10%,15.80%
PKL-08,Puneri Paltan,,4,46,15%,30.40%,41.30%,28.30%
PKL-08,Puneri Paltan,,5,73,24%,46.60%,31.50%,21.90%
PKL-08,Puneri Paltan,,6,39,13%,43.60%,53.80%,2.60%
PKL-08,Puneri Paltan,,7,75,25%,40.00%,41.30%,18.70%
PKL-08,Puneri Paltan,Nitin Tomar,1,2,2%,,100.00%,
PKL-08,Puneri Paltan,,2,1,1%,,100.00%,
PKL-08,Puneri Paltan,,3,3,3%,66.70%,33.30%,
PKL-08,Puneri Paltan,,4,10,10%,70.00%,20.00%,10.00%
PKL-08,Puneri Paltan,,5,18,17%,83.30%,5.60%,11.10%
PKL-08,Puneri Paltan,,6,25,24%,36.00%,40.00%,24.00%
PKL-08,Puneri Paltan,,7,44,43%,38.60%,45.50%,15.90%
PKL-08,Puneri Paltan,Pankaj Mohite,3,2,3%,100.00%,,
PKL-08,Puneri Paltan,,4,6,9%,33.30%,16.70%,50.00%
PKL-08,Puneri Paltan,,5,11,17%,63.60%,18.20%,18.20%
PKL-08,Puneri Paltan,,6,12,19%,8.30%,66.70%,25.00%
PKL-08,Puneri Paltan,,7,33,52%,48.50%,18.20%,33.30%
PKL-08,Puneri Paltan,Pawan Kumar,5,1,8%,100.00%,,
PKL-08,Puneri Paltan,,6,2,17%,100.00%,,
PKL-08,Puneri Paltan,,7,9,75%,22.20%,33.30%,44.40%
PKL-08,Puneri Paltan,Rahul Chaudhari,2,1,3%,,,100.00%
PKL-08,Puneri Paltan,,3,1,3%,100.00%,,
PKL-08,Puneri Paltan,,4,5,14%,20.00%,40.00%,40.00%
PKL-08,Puneri Paltan,,5,3,9%,66.70%,,33.30%
PKL-08,Puneri Paltan,,6,7,20%,71.40%,14.30%,14.30%
PKL-08,Puneri Paltan,,7,18,51%,33.30%,38.90%,27.80%
PKL-08,Puneri Paltan,Sanket Sawant,4,1,100%,100.00%,,
PKL-08,Puneri Paltan,Shubham Shelke,4,1,7%,,,100.00%
PKL-08,Puneri Paltan,Shubham Shelke,5,5,33%,40.00%,,60.00%
PKL-08,Puneri Paltan,,6,1,7%,,100.00%,
PKL-08,Puneri Paltan,,7,8,53%,50.00%,12.50%,37.50%
PKL-08,Puneri Paltan,Sombir,7,1,100%,,,100.00%
PKL-08,Puneri Paltan,Victor Obiero,6,1,100%,,,100.00%
PKL-08,Puneri Paltan,Vishal Bhardwaj,4,1,20%,100.00%,,
PKL-08,Puneri Paltan,,5,1,20%,100.00%,,
PKL-08,Puneri Paltan,,7,3,60%,33.30%,,66.70%
PKL-08,Puneri Paltan,Vishwas S,3,2,8%,50.00%,50.00%,
PKL-08,Puneri Paltan,,4,2,8%,,50.00%,50.00%
PKL-08,Puneri Paltan,,5,4,15%,25.00%,25.00%,50.00%
PKL-08,Puneri Paltan,,6,2,8%,,50.00%,50.00%
PKL-08,Puneri Paltan,,7,16,62%,31.30%,37.50%,31.30%
PKL-08,Telugu Titans,Adarsh T,2,12,8%,,100.00%,
PKL-08,Telugu Titans,,3,18,12%,22.20%,50.00%,27.80%
