Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Surjeet Singh,Right Cover,23,23
Bengal Warriors,Ran Singh,All Rounder,22,22
Bengal Warriors,Maninder Singh,Raider,22,22
Bengal Warriors,Ziaur Rahman,Left Cover,18,16
Bengal Warriors,Jang Kun Lee,Raider,18,18
Bengal Warriors,Baldev Singh,Right Corner,18,16
Bengal Warriors,Vijin Thangadurai,Right Cover,16,7
Bengal Warriors,Ravindra Ramesh Kumawat,All Rounder,12,12
Bengal Warriors,Mahesh Goud,Raider,10,10
Bengal Warriors,Adarsh T,Left Corner,10,4
Bengal Warriors,Amit Nagar,Raider,9,1
Bengal Warriors,Shrikant Tewthia,All Rounder,8,6
Bengal Warriors,Manoj Dhull,Right Corner,8,1
Bengal Warriors,Rakesh Narwal,Raider,6,1
Bengal Warriors,Bhupender Singh,All Rounder,4,0
Bengal Warriors,Mithin Kumar,Raider,3,0
Bengal Warriors,Amit Kumar,Raider,2,2
Bengal Warriors,Amaresh Mondal,Left Cover,2,0
Bengal Warriors,Ashish Chhokar,Raider,1,0
Bengaluru Bulls,Rohit Kumar,Raider,24,24
Bengaluru Bulls,Pawan Sehrawat,Raider,24,24
Bengaluru Bulls,Mahender Singh,Left Cover,24,23
Bengaluru Bulls,Ashish Kumar,Right Cover,24,22
Bengaluru Bulls,Kashiling Adake,Raider,20,19
Bengaluru Bulls,Raju Lal Choudhary,Right Corner,16,15
Bengaluru Bulls,Amit Sheoran,Defender,15,13
Bengaluru Bulls,Sandeep,Defender,10,10
Bengaluru Bulls,Sumit Singh,Raider,8,3
Bengaluru Bulls,Harish Naik,Raider,7,2
Bengaluru Bulls,Ajay,Defender,7,3
Bengaluru Bulls,Jasmer Singh Gulia,All Rounder,6,6
Bengaluru Bulls,Ankit,Defender,6,2
Bengaluru Bulls,Mahesh Maruti Magdum,All Rounder,4,0
Bengaluru Bulls,Anand V,Raider,3,1
Bengaluru Bulls,Nithesh B R,Right Corner,2,0
Bengaluru Bulls,Jawahar Vivek,Left Corner,2,1
Bengaluru Bulls,Gyung Tae Kim,All Rounder,1,0
Bengaluru Bulls,Wei Hung Lin,All Rounder,0,0
