player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,super-10s_player_name,player-super-tackles_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,player-tackle-points_player_name,high-5s_player_name,player-total-points_player_name,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,super-10s_match_played,player-super-tackles_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,player-tackle-points_match_played,high-5s_match_played,player-total-points_match_played,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,super-10s_position_name,player-super-tackles_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,player-tackle-points_position_name,high-5s_position_name,player-total-points_position_name,player-successful-tackles_team,player-avg-tackle-points_team,player-super-raids_team,player-raid-points_team,super-10s_team,player-super-tackles_team,player-successful-raids_team,player-dod-raid-points_team,player-tackle-points_team,high-5s_team,player-total-points_team,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,super-10s_team_name,player-super-tackles_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,player-tackle-points_team_name,high-5s_team_name,player-total-points_team_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,super-10s_team_full_name,player-super-tackles_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,player-tackle-points_team_full_name,high-5s_team_full_name,player-total-points_team_full_name,player-successful-tackles_rank,player-avg-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,super-10s_rank,player-super-tackles_rank,player-successful-raids_rank,player-dod-raid-points_rank,player-tackle-points_rank,high-5s_rank,player-total-points_rank,player-successful-tackles_value,player-avg-tackle-points_value,player-super-raids_value,player-raid-points_value,super-10s_value,player-super-tackles_value,player-successful-raids_value,player-dod-raid-points_value,player-tackle-points_value,high-5s_value,player-total-points_value,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,super-10s_points_per_match,player-super-tackles_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,player-tackle-points_points_per_match,high-5s_points_per_match,player-total-points_points_per_match,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,super-10s_team_id,player-super-tackles_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,player-tackle-points_team_id,high-5s_team_id,player-total-points_team_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,super-10s_position_id,player-super-tackles_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id,player-tackle-points_position_id,high-5s_position_id,player-total-points_position_id
Ajay Thakur,Ajay Thakur,,Ajay Thakur,,,Ajay Thakur,,Ajay Thakur,,Ajay Thakur,5.0,5.0,,5.0,,,5.0,,5.0,,5,Raider,Raider,,Raider,,,Raider,,Raider,,Raider,,,,,,,,,,,,DEL,DEL,,DEL,,,DEL,,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,135.0,146.0,,85.0,,,80.0,,150.0,,144,1.0,0.2,,4.0,,,3.0,,1.0,,5,0.2,0.04,,0.8,,,0.6,,0.2,,1.0,2.0,2.0,,2.0,,,2.0,,2.0,,2,8.0,8.0,,8.0,,,8.0,,8.0,,8
Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,Chandran Ranjit,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,19,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,70.0,104.0,22.0,25.0,29.0,67.0,26.0,48.0,72.0,,27,9.0,0.53,3.0,80.0,1.0,1.0,61.0,4.0,10.0,,90,0.4736842105263157,0.0278947368421052,0.1578947368421052,4.2105263157894735,0.0526315789473684,0.0526315789473684,3.210526315789474,0.2105263157894736,0.5263157894736842,,4.7368421052631575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,17.0,17.0,17.0,17.0,17.0,,17.0,17.0,17.0,,17,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,110.0,147.0,45.0,16.0,18.0,,16.0,7.0,117.0,,18,3.0,0.18,1.0,117.0,4.0,,100.0,31.0,3.0,,120,0.1764705882352941,0.0105882352941176,0.0588235294117647,6.882352941176471,0.2352941176470588,,5.882352941176471,1.8235294117647056,0.1764705882352941,,7.0588235294117645,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0
Dharmaraj Cheralathan,Dharmaraj Cheralathan,,,,,,,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,5.0,5.0,,,,,,,5.0,,5,Defender,Defender,,,,,,,Defender,,Defender,,,,,,,,,,,,JAI,JAI,,,,,,,JAI,,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,130.0,122.0,,,,,,,125.0,,176,2.0,0.4,,,,,,,2.0,,2,0.4,0.08,,,,,,,0.4,,0.4,3.0,3.0,,,,,,,3.0,,3,9.0,9.0,,,,,,,9.0,,9
Jeeva Kumar,Jeeva Kumar,,,,Jeeva Kumar,,,Jeeva Kumar,,Jeeva Kumar,21.0,21.0,,,,21.0,,,21.0,,21,Defender,Defender,,,,Defender,,,Defender,,Defender,,,,,,,,,,,,DEL,DEL,,,,DEL,,,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,44.0,60.0,,,,68.0,,,45.0,,96,22.0,1.1,,,,1.0,,,23.0,,23,1.0476190476190477,0.0523809523809523,,,,0.0476190476190476,,,1.0952380952380951,,1.0952380952380951,2.0,2.0,,,,2.0,,,2.0,,2,9.0,9.0,,,,9.0,,,9.0,,9
Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,24.0,24.0,,24.0,,24.0,24.0,,24.0,24.0,24,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,DEL,DEL,,DEL,,DEL,DEL,,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,12.0,21.0,,115.0,,47.0,106.0,,14.0,17.0,53,50.0,2.17,,1.0,,2.0,1.0,,52.0,2.0,53,2.0833333333333335,0.0904166666666666,,0.0416666666666666,,0.0833333333333333,0.0416666666666666,,2.1666666666666665,0.0833333333333333,2.2083333333333335,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,2,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0
,,,Rahul Chaudhari,,,Rahul Chaudhari,Rahul Chaudhari,,,Rahul Chaudhari,,,,7.0,,,7.0,7.0,,,7,,,,Raider,,,Raider,Raider,,,Raider,,,,,,,,,,,,,,,PUN,,,PUN,PUN,,,PUN,,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,,,Puneri Paltan,,,,58.0,,,59.0,58.0,,,116,,,,13.0,,,10.0,2.0,,,13,,,,1.8571428571428572,,,1.4285714285714286,0.2857142857142857,,,1.8571428571428572,,,,7.0,,,7.0,7.0,,,7,,,,8.0,,,8.0,8.0,,,8
,,,Rajesh Narwal,,,,,,,Rajesh Narwal,,,,3.0,,,,,,,3,,,,All Rounder,,,,,,,All Rounder,,,,,,,,,,,,,,,HAR,,,,,,,HAR,,,,Haryana Steelers,,,,,,,Haryana Steelers,,,,116.0,,,,,,,194,,,,1.0,,,,,,,1,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,28.0,,,,,,,28,,,,0.0,,,,,,,0
,,,Rishank Devadiga,,,Rishank Devadiga,,,,Rishank Devadiga,,,,1.0,,,1.0,,,,1,,,,Raider,,,Raider,,,,Raider,,,,,,,,,,,,,,,KOL,,,KOL,,,,KOL,,,,Bengal Warriors,,,Bengal Warriors,,,,Bengal Warriors,,,,117.0,,,107.0,,,,195,,,,1.0,,,1.0,,,,1,,,,1.0,,,1.0,,,,1.0,,,,4.0,,,4.0,,,,4,,,,8.0,,,8.0,,,,8
Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,Shrikant Jadhav,,Shrikant Jadhav,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,23,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,92.0,127.0,23.0,23.0,24.0,20.0,23.0,14.0,80.0,,22,5.0,0.35,2.0,92.0,2.0,3.0,72.0,21.0,8.0,,100,0.217391304347826,0.0152173913043478,0.0869565217391304,4.0,0.0869565217391304,0.1304347826086956,3.130434782608696,0.9130434782608696,0.3478260869565217,,4.3478260869565215,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8
