Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Amit Hooda,116,56,48%
Darshan J.,87,39,45%
C. Arun,68,31,46%
D. Pradap,43,20,47%
Vineet Kumar,39,14,36%
Ajay Thakur,23,9,39%
Vijin Thangadurai,18,3,17%
Anil Kumar,14,3,21%
Vijay Kumar,12,3,25%
K. Prapanjan,12,1,8%
Sanket Chavan,11,4,36%
Muruthu M,10,3,30%
M. Thivakaran,5,2,40%
Dong Geon Lee,3,0,0%
Chan Sik Park,3,0,0%
Rajesh Manokaran,2,0,0%
T. Prabhakaran,1,0,0%
Sujit Maharana,1,0,0%
Bhavani Rajput,1,0,0%
