Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Rinku Narwal,128,61,48%
Baldev Singh,113,61,54%
Jeeva Kumar,94,39,41%
Mohammad Esmaeil Nabi..,65,29,45%
Viraj Vishnu Landge,40,9,23%
Mayur Shivtarkar,28,7,25%
Adarsh T,16,7,44%
K. Prapanjan,12,4,33%
Naveen Narwal,9,1,11%
Maninder Singh,8,0,0%
Sukesh Hegde,6,3,50%
Mohammad Taghi Paein ..,6,1,17%
Sunil Manik Dubile,4,0,0%
Vijin Thangadurai,2,1,50%
Ravindra Ramesh Kumaw..,2,1,50%
Sourabh Tanaji Patil,1,0,0%
Rakesh Narwal,1,0,0%
Avinash A. R.,1,0,0%
Amit,1,0,0%
