Defender Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3
Defender Name,Total Tackles,Successful Tackles,
Arkam Shaikh,96,37,39%
Rinku Narwal,89,36,40%
Sourav Gulia,75,35,47%
Shankar Bhimraj Gadai,65,21,32%
Manuj,30,10,33%
Parteek Dhaiya,26,5,19%
Kapil,24,9,38%
Sandeep Kandola,21,6,29%
Sonu,13,5,38%
Baldev Singh,13,2,15%
Chandran Ranjit,12,4,33%
Vijin Thangadurai,9,1,11%
Rakesh Sangroya,9,2,22%
Dong Geon Lee,8,1,13%
Gaurav Chhikara,6,1,17%
Pardeep Kumar,4,0,0%
Mahendra Ganesh Rajput,4,0,0%
Priyank Chandel,2,0,0%
Sonu Singh,1,0,0%
Rohan Singh,1,0,0%
Purna Singh,1,0,0%
Mohammad Ghorbani,1,1,100%
Abinesh Nadarajan,1,0,0%
