Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Shadloui Chianeh,130,74,57%
Sunil,97,39,40%
Neeraj Kumar,78,27,35%
Monu Sandhu,47,21,45%
Sajin Chandrasekar,36,9,25%
Manish,30,6,20%
Thiyagarajan Yuvaraj,13,5,38%
Naveen Sharma,12,3,25%
Sagar Kumar,9,7,78%
Rohit Gulia,8,0,0%
Sachin Tanwar,6,1,17%
Sachin,5,2,40%
Shivam Chaudhari,3,0,0%
Ranjit Venkatramana Naik,3,2,67%
Daniel Omondi Odhiambo,2,0,0%
Anand Surendra Tomar,2,0,0%
Vishwas S,1,0,0%
Anuj Kumar,1,0,0%
Abdul Insamam S,1,0,0%
