Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Fazel Atrachali,108,56,52%
Sanket Sawant,78,30,38%
Sombir,72,33,46%
Abinesh Nadarajan,67,32,48%
Gaurav Khatri,36,18,50%
Aslam Mustafa Inamdar,31,11,35%
Mohit Goyat,30,16,53%
Mohammad Esmaeil Nabi..,29,11,38%
Pankaj Mohite,19,7,37%
Balasaheb Shahaji Jadhav,15,3,20%
Rakesh Bhalle Ram,12,1,8%
Badal Taqdir Singh,9,6,67%
Alankar Kaluram Patil,9,3,33%
Harsh Mahesh Lad,7,3,43%
Akash Santosh Shinde,7,3,43%
Govind Gurjar,6,5,83%
D Mahindraprasad,1,0,0%
Akash Chaudhary,1,0,0%
Aditya Tushar Shinde,1,0,0%
