season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total_touch_points_value,Total_bonus_points_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-raid-points_value,team-avg-points-scored_value,team-average-tackle-points_value,team-all-outs-conceded_per-match,team-super-raid_per-match,team-raid_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-all-outs-inflicted_per-match,team-successful-tackles_per-match
1,1,Bengaluru Bulls,16,8,6,7,,7,,,5,6,5,6,5,2,4,,4,2,2,30,,7,,,39,10,,,291,230,479,163,498,153,,40,18.19,31.13,10.19,1.875,0.438,0,2.438,0.625,0,0,18.188,14.375,29.938,10.188,31.125,2.5,9.563
1,2,Dabang Delhi K.C.,14,4,4,3,,8,,,8,7,6,5,7,5,6,,5,4,5,46,,5,,,31,10,,,285,247,471,134,456,124,,36,20.36,32.57,9.57,3.286,0.357,0,2.214,0.714,0,0,20.357,17.643,33.643,9.571,32.571,2.571,8.857
1,3,Jaipur Pink Panthers,16,3,1,6,,5,,,1,4,2,3,8,1,1,,1,1,1,30,,9,,,50,12,,,344,281,458,170,579,158,,58,21.5,36.19,10.63,1.875,0.563,0,3.125,0.75,0,0,21.5,17.563,28.625,10.625,36.188,3.625,9.875
1,4,Bengal Warriors,14,5,7,2,,4,,,6,2,7,7,2,6,7,,8,6,6,50,,11,,,32,16,,,283,220,515,122,430,106,,22,20.21,30.71,8.71,3.571,0.786,0,2.286,1.143,0,0,20.214,15.714,36.786,8.714,30.714,1.571,7.571
1,5,U Mumba,16,2,3,4,,1,,,4,5,1,1,3,3,2,,3,3,3,38,,12,,,39,12,,,347,282,499,157,550,145,,42,21.69,34.38,9.81,2.375,0.75,0,2.438,0.75,0,0,21.688,17.625,31.188,9.813,34.375,2.625,9.063
1,6,Patna Pirates,16,6,5,5,,2,,,3,1,4,4,4,4,3,,6,5,4,34,,12,,,42,18,,,316,257,487,142,504,124,,36,19.75,31.5,8.88,2.125,0.75,0,2.625,1.125,0,0,19.75,16.063,30.438,8.875,31.5,2.25,7.75
1,7,Puneri Paltan,14,7,8,1,,3,,,2,3,8,8,1,7,8,,7,7,8,52,,11,,,48,14,,,269,206,536,107,405,93,,24,19.21,28.93,7.64,3.714,0.786,0,3.429,1,0,0,19.214,14.714,38.286,7.643,28.929,1.714,6.643
1,8,Telugu Titans,14,1,2,8,,6,,,7,8,3,2,6,8,5,,2,8,7,28,,8,,,32,8,,,336,281,474,104,497,96,,50,24,35.5,7.43,2,0.571,0,2.286,0.571,0,0,24,20.071,33.857,7.429,35.5,3.571,6.857
2,1,Bengaluru Bulls,16,4,2,4,,3,,,1,8,2,2,5,4,2,,1,4,3,9,,10,,,81,6,,,251,202,457,165,507,158,,13,15.69,31.69,10.31,0.563,0.625,0,5.063,0.375,0,0,15.688,12.625,28.563,10.313,31.688,0.813,9.875
2,2,Dabang Delhi K.C.,14,5,5,2,,2,,,6,5,7,7,4,7,6,,8,7,6,12,,14,,,60,14,,,217,161,464,136,396,122,,4,15.5,28.29,9.71,0.857,1,0,4.286,1,0,0,15.5,11.5,33.143,9.714,28.286,0.286,8.714
