Bengal Warriors,,,,Bengaluru Bull,,,,Dabang Delhi ,,,,Gujarat Fortunegiant,,,,Harayana Steelers,,,,Jaipur Pink Panther,,,,Patna Pirates,,,,Puneri Paltan ,,,,Tamil Thailaiva,,,,Telugu Titan,,,,U Mumba ,,,,UP Yoddha ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids
Release,124,,,Release,121,,,Release,93,,,Release,85,,,Release,108,,,Release,87,,,Release,96,,,Release,84,,,Release,70,,,Release,79,,,Release,75,,,Release,100
Out Turn,34,,,Out Turn,29,,,Out Turn,30,,,Out Turn,29,,,Out Turn,29,,,Out Turn,21,,,Out Turn,20,,,Out Turn,29,,,Out Turn,32,,,Struggle,30,,,Struggle,30,,,Out Turn,27
Struggle,32,,,Struggle,25,,,Struggle,27,,,Struggle,25,,,Struggle,25,,,Struggle,19,,,Struggle,19,,,Struggle,14,,,Struggle,14,,,Out Turn,18,,,Out Turn,29,,,Struggle,26
Jump,6,,,Jump,18,,,Jump,20,,,Jump,11,,,Jump,10,,,Jump,4,,,Jump,13,,,Jump,10,,,Jump,9,,,Jump,5,,,Jump,12,,,Jump,6
Dubki,6,,,Dubki,10,,,Dubki,7,,,Create Gap,4,,,Dubki,2,,,Create Gap,4,,,Dubki,12,,,Dubki,5,,,In Turn,3,,,In Turn,4,,,Create Gap,7,,,In Turn,5
In Turn,5,,,In Turn,4,,,Create Gap,5,,,In Turn,2,,,Create Gap,2,,,Dubki,3,,,In Turn,5,,,In Turn,4,,,Create Gap,1,,,Create Gap,4,,,In Turn,5,,,Dubki,4
Create Gap,5,,,Create Gap,4,,,In Turn,4,,,Dubki,2,,,In Turn,0,,,In Turn,1,,,Create Gap,2,,,Create Gap,3,,,Dubki,0,,,Dubki,2,,,Dubki,3,,,Create Gap,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids
Running Hand Touch,84,,,Running Hand Touch,68,,,Running Hand Touch,61,,,Running Hand Touch,41,,,Running Hand Touch,58,,,Running Hand Touch,53,,,Running Hand Touch,53,,,Running Hand Touch,55,,,Running Hand Touch,74,,,Toe Touch,31,,,Running Hand Touch,67,,,Running Hand Touch,40
Hand Touch,26,,,Hand Touch,30,,,Hand Touch,49,,,Hand Touch,21,,,Hand Touch,34,,,Hand Touch,35,,,Hand Touch,31,,,Hand Touch,32,,,Hand Touch,35,,,Running Hand Touch,29,,,Hand Touch,36,,,Hand Touch,24
Toe Touch,18,,,Side Kick,10,,,Toe Touch,22,,,Defender self out,9,,,Toe Touch,19,,,Defender self out,6,,,Toe Touch,29,,,Defender self out,11,,,Defender self out,7,,,Running Kick,23,,,Toe Touch,16,,,Toe Touch,20
Defender self out,9,,,Defender self out,10,,,Defender self out,12,,,Toe Touch,14,,,Reverse Kick,18,,,Toe Touch,10,,,Defender self out,10,,,Toe Touch,12,,,Toe Touch,11,,,Hand Touch,19,,,Side Kick,9,,,Defender self out,9
Defender self out (lobby shirt pull),4,,,Toe Touch,10,,,Reverse Kick,10,,,Side Kick,9,,,Defender self out,8,,,Reverse Kick,3,,,Reverse Kick,10,,,Side Kick,8,,,Reverse Kick,5,,,Side Kick,11,,,Defender self out,6,,,Reverse Kick,7
Running Kick,5,,,Reverse Kick,8,,,Side Kick,6,,,Reverse Kick,6,,,Side Kick,12,,,Side Kick,2,,,Running Kick,5,,,Running Kick,3,,,Defender self out (lobby shirt pull),3,,,Reverse Kick,11,,,Running Kick,5,,,Side Kick,4
Leg Thrust,4,,,Defender self out (lobby shirt pull),6,,,Running Kick,6,,,Running Kick,2,,,Defender self out (lobby shirt pull),2,,,Defender self out (lobby shirt pull),1,,,Defender self out (lobby shirt pull),1,,,Reverse Kick,3,,,Leg Thrust,4,,,Defender self out,8,,,Defender self out (lobby shirt pull),2,,,Defender self out (lobby shirt pull),5
Reverse Kick,3,,,Running Kick,3,,,Defender self out (lobby shirt pull),3,,,Leg Thrust,2,,,Running Kick,0,,,,,,,Side Kick,1,,,,,,,Side Kick,1,,,Defender self out (lobby shirt pull),2,,,Leg Thrust,3,,,Running Kick,2
Side Kick,1,,,,,,,,,,,Defender self out (lobby shirt pull),0,,,Leg Thrust,1,,,,,,,,,,,,,,,Running Kick,2,,,Leg Thrust,1,,,Reverse Kick,1,,,Leg Thrust,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids
Block,43,,,Block,63,,,Dive,54,,,Dive,59,,,Dive,55,,,Dive,56,,,Thigh Hold,47,,,Thigh Hold,60,,,Dive,55,,,Thigh Hold,53,,,Dive,49,,,Dive,66
Thigh Hold,39,,,Thigh Hold,62,,,Block,40,,,Thigh Hold,53,,,Block,46,,,Thigh Hold,54,,,Block,44,,,Block,55,,,Thigh Hold,48,,,Block,49,,,Ankle Hold,45,,,Thigh Hold,43
Dive,31,,,Dive,48,,,Thigh Hold,33,,,Block,38,,,Thigh Hold,35,,,Block,46,,,Dive,40,,,Dive,45,,,Block,40,,,Dive,46,,,Block,34,,,Block,34
Ankle Hold,26,,,Ankle Hold,30,,,Ankle Hold,22,,,Push,31,,,Ankle Hold,26,,,Push,19,,,Ankle Hold,29,,,Ankle Hold,32,,,Push,30,,,Ankle Hold,34,,,Thigh Hold,31,,,Push,26
Push,17,,,Push,27,,,Push,19,,,Ankle Hold,31,,,Self-out,16,,,Ankle Hold,18,,,Push,16,,,Push,19,,,Self-out,27,,,Push,17,,,Push,25,,,Ankle Hold,24
Body Hold,14,,,Body Hold,19,,,Self-out,15,,,Self-out,14,,,Push,15,,,Self-out,14,,,Self-out,13,,,Self-out,17,,,Ankle Hold,24,,,Body Hold,14,,,Self-out,21,,,Self-out,13
Self-out,10,,,Self-out,14,,,Body Hold,13,,,Body Hold,9,,,Body Hold,13,,,Body Hold,10,,,Chain_def,10,,,Chain_def,9,,,Body Hold,12,,,Self-out,10,,,Body Hold,8,,,Body Hold,10
Chain_def,9,,,Chain_def,3,,,Chain_def,7,,,Chain_def,4,,,Chain_def,6,,,Chain_def,6,,,Body Hold,9,,,Body Hold,6,,,Chain_def,3,,,Chain_def,5,,,Chain_def,3,,,Chain_def,8
,,,,,,,,,,,,Follow,1,,,Follow,3,,,Raider self out,1,,,,,,,,,,,,,,,,,,,Follow,1,,,Follow,2
