Skill Type,Skill Name,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steelers,Jaipur Pink Panther,Patna Pirates,Puneri Paltan,Tamil Thalaiva,Telugu Titan,U Mumba,UP Yoddha
Counter Action Skill,Release,124,121,93,85,108,87,96,84,70,79,75,100
Counter Action Skill,Out Turn,34,29,30,29,29,21,20,29,32,18,29,27
Counter Action Skill,Struggle,32,25,27,25,25,19,19,14,14,30,30,26
Counter Action Skill,Jump,6,18,20,11,10,4,13,10,9,5,12,6
Counter Action Skill,Dubki,6,10,7,2,2,3,12,5,0,2,3,4
Counter Action Skill,In Turn,5,4,4,2,0,1,5,4,3,4,5,5
Counter Action Skill,Create Gap,5,4,5,4,2,4,2,3,1,4,7,1
Attacking Skill,Running Hand Touch,84,68,61,41,58,53,53,55,74,29,67,40
Attacking Skill,Hand Touch,26,30,49,21,34,35,31,32,35,19,36,24
Attacking Skill,Toe Touch,18,10,22,14,19,10,29,12,11,31,16,20
Attacking Skill,Defender self out,9,10,12,9,8,6,10,11,7,8,6,9
Attacking Skill,Defender self out (lobby shirt pull),4,6,3,0,2,1,1,,,3,2,5
Attacking Skill,Running Kick,5,3,6,2,0,,5,3,2,23,5,2
Attacking Skill,Leg Thrust,4,,,2,1,,,,4,1,3,2
Attacking Skill,Reverse Kick,3,8,10,6,18,3,10,3,5,11,1,7
Attacking Skill,Side Kick,1,10,6,9,12,2,1,8,1,11,9,4
Defensive Skill,Block,43,63,40,38,46,46,44,55,40,49,34,34
Defensive Skill,Thigh Hold,39,62,33,53,35,54,47,60,48,53,31,43
Defensive Skill,Dive,31,48,54,59,55,56,40,45,55,46,49,66
Defensive Skill,Ankle Hold,26,30,22,31,26,18,29,32,24,34,45,24
Defensive Skill,Push,17,27,19,31,15,19,16,19,30,17,25,26
Defensive Skill,Body Hold,14,19,13,9,13,10,9,6,12,14,8,10
Defensive Skill,Self-out,10,14,15,14,16,14,13,17,27,10,21,13
Defensive Skill,Chain_def,9,3,7,4,6,6,10,9,3,5,3,8
Defensive Skill,Follow,,,,1,3,,,,,,1,2
Defensive Skill,Raider self out,,,,,,,,,,,,
