match_played-all-outs-conceded,value-all-outs-conceded,team_id,team_name-all-outs-conceded,rank-all-outs-conceded,points_per_match-all-outs-conceded,match_played-all-outs-inflicted,value-all-outs-inflicted,team_name-all-outs-inflicted,rank-all-outs-inflicted,points_per_match-all-outs-inflicted,match_played-dod-raid-points,value-dod-raid-points,team_name-dod-raid-points,rank-dod-raid-points,points_per_match-dod-raid-points,match_played-super-tackles,value-super-tackles,team_name-super-tackles,rank-super-tackles,points_per_match-super-tackles,match_played-super-raid,value-super-raid,team_name-super-raid,rank-super-raid,points_per_match-super-raid,match_played-average-tackle-points,value-average-tackle-points,team_name-average-tackle-points,rank-average-tackle-points,points_per_match-average-tackle-points,match_played-tackle-points,value-tackle-points,team_name-tackle-points,rank-tackle-points,points_per_match-tackle-points,match_played-successful-tackles,value-successful-tackles,team_name-successful-tackles,rank-successful-tackles,points_per_match-successful-tackles,match_played-average-raid-points,value-average-raid-points,team_name-average-raid-points,rank-average-raid-points,points_per_match-average-raid-points,match_played-raid-points,value-raid-points,team_name-raid-points,rank-raid-points,points_per_match-raid-points,match_played-successful-raids,value-successful-raids,team_name-successful-raids,rank-successful-raids,points_per_match-successful-raids,match_played-avg-points-scored,value-avg-points-scored,team_name-avg-points-scored,rank-avg-points-scored,points_per_match-avg-points-scored,match_played-total-points-conceded,value-total-points-conceded,team_name-total-points-conceded,rank-total-points-conceded,points_per_match-total-points-conceded,match_played-successful-tackle-percent,value-successful-tackle-percent,team_name-successful-tackle-percent,rank-successful-tackle-percent,points_per_match-successful-tackle-percent,match_played-successful-tackles-per-match,value-successful-tackles-per-match,team_name-successful-tackles-per-match,rank-successful-tackles-per-match,points_per_match-successful-tackles-per-match,match_played-successful-raid-percent,value-successful-raid-percent,team_name-successful-raid-percent,rank-successful-raid-percent,points_per_match-successful-raid-percent,match_played-raid,value-raid,team_name-raid,rank-raid,points_per_match-raid,match_played-total-points,value-total-points,team_name-total-points,rank-total-points,points_per_match-total-points
22,53,8,Telugu Titans,1,2.409090909090909,22,19,Telugu Titans,12,0.8636363636363636,22,64,Telugu Titans,9,2.909090909090909,22,23,Telugu Titans,7,1.0454545454545454,22,12,Telugu Titans,7,0.5454545454545454,22,10.55,Telugu Titans,8,0.4795454545454545,22,232,Telugu Titans,9,10.545454545454543,22,209,Telugu Titans,9,9.5,22,18.77,Telugu Titans,10,0.8531818181818182,22,413,Telugu Titans,11,18.772727272727273,22,312,Telugu Titans,11,14.181818181818182,22,33.45,Telugu Titans,11,1.5204545454545455,22,979,Telugu Titans,1,44.5,22,34.72,Telugu Titans,11,1.578181818181818,22,9.5,Telugu Titans,9,0.4318181818181818,22,31.14,Telugu Titans,12,1.4154545454545455,22,1002,Telugu Titans,4,45.54545454545455,22,736,Telugu Titans,11,33.45454545454545
22,39,4,Bengal Warriors,2,1.7727272727272727,22,31,Bengal Warriors,8,1.4090909090909092,22,53,Bengal Warriors,12,2.409090909090909,22,12,Bengal Warriors,12,0.5454545454545454,22,12,Bengal Warriors,6,0.5454545454545454,22,9.27,Bengal Warriors,12,0.4213636363636363,22,204,Bengal Warriors,12,9.272727272727272,22,192,Bengal Warriors,12,8.727272727272727,22,22.91,Bengal Warriors,1,1.0413636363636365,22,504,Bengal Warriors,1,22.90909090909091,22,386,Bengal Warriors,4,17.545454545454547,22,37.27,Bengal Warriors,3,1.694090909090909,22,863,Bengal Warriors,4,39.22727272727273,22,33.86,Bengal Warriors,12,1.539090909090909,22,8.73,Bengal Warriors,12,0.3968181818181818,22,40.67,Bengal Warriors,1,1.8486363636363636,22,949,Bengal Warriors,12,43.13636363636363,22,820,Bengal Warriors,7,37.27272727272727
22,39,30,U.P. Yoddhas,3,1.7727272727272727,22,23,U.P. Yoddhas,11,1.0454545454545454,22,60,U.P. Yoddhas,11,2.727272727272727,22,24,U.P. Yoddhas,5,1.0909090909090908,22,10,U.P. Yoddhas,8,0.4545454545454545,22,10.18,U.P. Yoddhas,11,0.4627272727272727,22,224,U.P. Yoddhas,11,10.181818181818182,22,200,U.P. Yoddhas,10,9.090909090909092,22,19.73,U.P. Yoddhas,7,0.8968181818181818,22,434,U.P. Yoddhas,9,19.727272727272727,22,338,U.P. Yoddhas,9,15.363636363636363,22,33.77,U.P. Yoddhas,10,1.535,22,859,U.P. Yoddhas,5,39.04545454545455,22,36.83,U.P. Yoddhas,9,1.674090909090909,22,9.09,U.P. Yoddhas,10,0.4131818181818181,22,34.45,U.P. Yoddhas,9,1.5659090909090911,22,981,U.P. Yoddhas,6,44.59090909090909,22,743,U.P. Yoddhas,10,33.77272727272727
25,35,28,Haryana Steelers,4,1.4,25,31,Haryana Steelers,7,1.24,25,73,Haryana Steelers,6,2.92,25,33,Haryana Steelers,1,1.32,25,16,Haryana Steelers,3,0.64,25,13.16,Haryana Steelers,3,0.5264,25,329,Haryana Steelers,2,13.16,25,296,Haryana Steelers,2,11.84,25,19.68,Haryana Steelers,8,0.7872,25,492,Haryana Steelers,3,19.68,25,378,Haryana Steelers,5,15.12,25,36.8,Haryana Steelers,4,1.472,25,915,Haryana Steelers,2,36.6,25,43.66,Haryana Steelers,4,1.7464,25,11.84,Haryana Steelers,3,0.4736,25,34.74,Haryana Steelers,8,1.3896000000000002,25,1088,Haryana Steelers,1,43.52,25,920,Haryana Steelers,2,36.8
22,34,5,U Mumba,5,1.5454545454545454,22,23,U Mumba,10,1.0454545454545454,22,61,U Mumba,10,2.772727272727273,22,28,U Mumba,4,1.2727272727272727,22,10,U Mumba,9,0.4545454545454545,22,10.32,U Mumba,10,0.4690909090909091,22,227,U Mumba,10,10.318181818181818,22,199,U Mumba,11,9.045454545454543,22,22.09,U Mumba,2,1.0040909090909091,22,486,U Mumba,4,22.09090909090909,22,367,U Mumba,7,16.681818181818183,22,36.18,U Mumba,7,1.6445454545454543,22,875,U Mumba,3,39.77272727272727,22,35.16,U Mumba,10,1.598181818181818,22,9.05,U Mumba,11,0.4113636363636364,22,38.39,U Mumba,3,1.745,22,956,U Mumba,10,43.45454545454545,22,796,U Mumba,8,36.18181818181818
22,31,1,Bengaluru Bulls,6,1.4090909090909092,22,25,Bengaluru Bulls,9,1.1363636363636365,22,72,Bengaluru Bulls,8,3.272727272727273,22,19,Bengaluru Bulls,9,0.8636363636363636,22,16,Bengaluru Bulls,2,0.7272727272727273,22,11.18,Bengaluru Bulls,5,0.5081818181818182,22,246,Bengaluru Bulls,7,11.181818181818182,22,227,Bengaluru Bulls,6,10.318181818181818,22,18.45,Bengaluru Bulls,11,0.8386363636363636,22,406,Bengaluru Bulls,12,18.454545454545453,22,311,Bengaluru Bulls,12,14.136363636363637,22,33.36,Bengaluru Bulls,12,1.5163636363636364,22,801,Bengaluru Bulls,7,36.40909090909091,22,43.74,Bengaluru Bulls,3,1.9881818181818185,22,10.32,Bengaluru Bulls,4,0.4690909090909091,22,32.53,Bengaluru Bulls,11,1.4786363636363635,22,956,Bengaluru Bulls,11,43.45454545454545,22,734,Bengaluru Bulls,12,33.36363636363637
23,28,2,Dabang Delhi K.C.,7,1.2173913043478262,23,34,Dabang Delhi K.C.,3,1.4782608695652173,23,74,Dabang Delhi K.C.,5,3.217391304347826,23,18,Dabang Delhi K.C.,11,0.782608695652174,23,13,Dabang Delhi K.C.,4,0.5652173913043478,23,10.39,Dabang Delhi K.C.,9,0.4517391304347826,23,239,Dabang Delhi K.C.,8,10.391304347826088,23,221,Dabang Delhi K.C.,8,9.608695652173912,23,20.61,Dabang Delhi K.C.,4,0.8960869565217391,23,474,Dabang Delhi K.C.,5,20.60869565217391,23,390,Dabang Delhi K.C.,3,16.956521739130434,23,36.04,Dabang Delhi K.C.,8,1.5669565217391304,23,778,Dabang Delhi K.C.,9,33.82608695652174,23,39.12,Dabang Delhi K.C.,7,1.7008695652173913,23,9.61,Dabang Delhi K.C.,8,0.4178260869565217,23,40.0,Dabang Delhi K.C.,2,1.7391304347826086,23,975,Dabang Delhi K.C.,7,42.391304347826086,23,829,Dabang Delhi K.C.,6,36.04347826086956
24,27,6,Patna Pirates,8,1.125,24,34,Patna Pirates,4,1.4166666666666667,24,91,Patna Pirates,2,3.7916666666666665,24,24,Patna Pirates,6,1.0,24,10,Patna Pirates,10,0.4166666666666667,24,11.08,Patna Pirates,6,0.4616666666666666,24,266,Patna Pirates,4,11.083333333333334,24,242,Patna Pirates,4,10.083333333333334,24,20.63,Patna Pirates,3,0.8595833333333333,24,495,Patna Pirates,2,20.625,24,400,Patna Pirates,1,16.666666666666668,24,36.42,Patna Pirates,6,1.5175,24,838,Patna Pirates,6,34.916666666666664,24,38.66,Patna Pirates,8,1.6108333333333331,24,10.08,Patna Pirates,5,0.42,24,38.35,Patna Pirates,4,1.5979166666666669,24,1043,Patna Pirates,2,43.458333333333336,24,874,Patna Pirates,3,36.416666666666664
22,24,29,Tamil Thalaivas,9,1.0909090909090908,22,34,Tamil Thalaivas,5,1.5454545454545454,22,73,Tamil Thalaivas,7,3.3181818181818183,22,31,Tamil Thalaivas,2,1.4090909090909092,22,8,Tamil Thalaivas,12,0.3636363636363636,22,13.41,Tamil Thalaivas,2,0.6095454545454545,22,295,Tamil Thalaivas,3,13.409090909090908,22,264,Tamil Thalaivas,3,12.0,22,20.14,Tamil Thalaivas,6,0.9154545454545456,22,443,Tamil Thalaivas,8,20.136363636363637,22,365,Tamil Thalaivas,8,16.59090909090909,22,37.82,Tamil Thalaivas,2,1.719090909090909,22,800,Tamil Thalaivas,8,36.36363636363637,22,43.93,Tamil Thalaivas,2,1.9968181818181816,22,12.0,Tamil Thalaivas,2,0.5454545454545454,22,37.47,Tamil Thalaivas,7,1.703181818181818,22,974,Tamil Thalaivas,8,44.27272727272727,22,832,Tamil Thalaivas,5,37.81818181818182
23,23,31,Gujarat Giants,10,1.0,23,32,Gujarat Giants,6,1.391304347826087,23,83,Gujarat Giants,4,3.608695652173913,23,23,Gujarat Giants,8,1.0,23,18,Gujarat Giants,1,0.782608695652174,23,10.83,Gujarat Giants,7,0.4708695652173913,23,249,Gujarat Giants,6,10.826086956521738,23,226,Gujarat Giants,7,9.826086956521738,23,18.35,Gujarat Giants,12,0.7978260869565218,23,422,Gujarat Giants,10,18.347826086956523,23,332,Gujarat Giants,10,14.434782608695652,23,34.13,Gujarat Giants,9,1.483913043478261,23,770,Gujarat Giants,10,33.47826086956522,23,41.77,Gujarat Giants,5,1.8160869565217392,23,9.83,Gujarat Giants,7,0.4273913043478261,23,34.09,Gujarat Giants,10,1.4821739130434783,23,974,Gujarat Giants,9,42.34782608695652,23,785,Gujarat Giants,9,34.130434782608695
