match_played,value,team_id,team_name,rank,points_per_match
23,89,5,U Mumba,1,3.869565217391304
25,86,30,U.P. Yoddha,2,3.44
22,85,8,Telugu Titans,3,3.8636363636363638
23,85,4,Bengal Warriors,4,3.6956521739130435
22,75,3,Jaipur Pink Panthers,5,3.409090909090909
25,74,31,Gujarat Giants,6,2.96
24,73,1,Bengaluru Bulls,7,3.0416666666666665
24,73,2,Dabang Delhi K.C.,8,3.0416666666666665
22,72,7,Puneri Paltan,9,3.272727272727273
22,67,29,Tamil Thalaivas,10,3.0454545454545454
22,54,6,Patna Pirates,11,2.4545454545454546
22,44,28,Haryana Steelers,12,2.0
