match_played,value,team_id,team_name,rank,points_per_match
23,41,5,U Mumba,1,1.7826086956521738
24,37,1,Bengaluru Bulls,2,1.5416666666666667
25,36,31,Gujarat Giants,3,1.44
24,34,2,Dabang Delhi K.C.,4,1.4166666666666667
22,30,6,Patna Pirates,5,1.3636363636363635
25,26,30,U.P. Yoddha,6,1.04
23,23,4,Bengal Warriors,7,1.0
22,22,3,Jaipur Pink Panthers,8,1.0
22,20,29,Tamil Thalaivas,9,0.9090909090909091
22,18,8,Telugu Titans,10,0.8181818181818182
22,16,28,Haryana Steelers,11,0.7272727272727273
22,14,7,Puneri Paltan,12,0.6363636363636364
