match_played,value,team_id,team_name,rank,points_per_match
24,27,30,U.P. Yoddhas,1,1.125
24,26,1,Bengaluru Bulls,2,1.0833333333333333
22,22,5,U Mumba,3,1.0
23,22,7,Puneri Paltan,4,0.9565217391304348
23,22,31,Gujarat Giants,5,0.9565217391304348
22,19,28,Haryana Steelers,6,0.8636363636363636
22,17,8,Telugu Titans,7,0.7727272727272727
24,17,6,Patna Pirates,8,0.7083333333333334
22,15,29,Tamil Thalaivas,9,0.6818181818181818
22,12,4,Bengal Warriors,10,0.5454545454545454
24,11,2,Dabang Delhi K.C.,11,0.4583333333333333
22,10,3,Jaipur Pink Panthers,12,0.45454545454545453
