team_id,team-total-points-conceded_team_name,team-successful-raids_team_name,team-super-raid_team_name,team-successful-tackles_team_name,team-avg-points-scored_team_name,team-average-tackle-points_team_name,team-tackle-points_team_name,team-dod-raid-points_team_name,team-all-outs-conceded_team_name,team-super-tackles_team_name,team-average-raid-points_team_name,team-all-outs-inflicted_team_name,team-total-points_team_name,team-raid-points_team_name,team-total-points-conceded_match_played,team-successful-raids_match_played,team-super-raid_match_played,team-successful-tackles_match_played,team-avg-points-scored_match_played,team-average-tackle-points_match_played,team-tackle-points_match_played,team-dod-raid-points_match_played,team-all-outs-conceded_match_played,team-super-tackles_match_played,team-average-raid-points_match_played,team-all-outs-inflicted_match_played,team-total-points_match_played,team-raid-points_match_played,team-total-points-conceded_rank,team-successful-raids_rank,team-super-raid_rank,team-successful-tackles_rank,team-avg-points-scored_rank,team-average-tackle-points_rank,team-tackle-points_rank,team-dod-raid-points_rank,team-all-outs-conceded_rank,team-super-tackles_rank,team-average-raid-points_rank,team-all-outs-inflicted_rank,team-total-points_rank,team-raid-points_rank,team-total-points-conceded_value,team-successful-raids_value,team-super-raid_value,team-successful-tackles_value,team-avg-points-scored_value,team-average-tackle-points_value,team-tackle-points_value,team-dod-raid-points_value,team-all-outs-conceded_value,team-super-tackles_value,team-average-raid-points_value,team-all-outs-inflicted_value,team-total-points_value,team-raid-points_value,team-total-points-conceded_points_per_match,team-successful-raids_points_per_match,team-super-raid_points_per_match,team-successful-tackles_points_per_match,team-avg-points-scored_points_per_match,team-average-tackle-points_points_per_match,team-tackle-points_points_per_match,team-dod-raid-points_points_per_match,team-all-outs-conceded_points_per_match,team-super-tackles_points_per_match,team-average-raid-points_points_per_match,team-all-outs-inflicted_points_per_match,team-total-points_points_per_match,team-raid-points_points_per_match
1,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,200,200,200,200,200,200,200,200,200,200,200,200,200,200,4,2,3,4,4,9,4,7,3,6,5,2,2,2,6647,3109,115,1822,33.77,9.89,1978,639,252,154,19.58,265,6755,3916,33.235,15.545,0.575,9.11,0.16885,0.04945,9.89,3.195,1.26,0.77,0.0978999999999999,1.325,33.775,19.58
2,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,196,196,196,196,196,196,196,196,196,196,196,196,196,196,3,3,7,7,7,11,7,6,2,7,4,6,5,3,6756,3099,94,1664,33.2,9.23,1810,643,273,142,19.6,240,6508,3841,34.46938775510204,15.81122448979592,0.4795918367346938,8.489795918367347,0.1693877551020408,0.0470918367346938,9.23469387755102,3.2806122448979593,1.3928571428571428,0.7244897959183674,0.1,1.2244897959183674,33.204081632653065,19.596938775510203
3,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,195,195,195,195,195,195,195,195,195,195,195,195,195,195,8,5,4,5,8,7,5,3,8,4,11,5,6,6,6156,2917,98,1776,33.11,10.06,1961,710,211,182,18.59,247,6457,3626,31.56923076923077,14.95897435897436,0.5025641025641026,9.107692307692307,0.1697948717948718,0.0515897435897435,10.056410256410256,3.641025641025641,1.082051282051282,0.9333333333333332,0.0953333333333333,1.2666666666666666,33.11282051282051,18.594871794871796
4,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,195,195,195,195,195,195,195,195,195,195,195,195,195,195,5,4,1,8,11,12,8,5,4,9,6,7,7,4,6565,2986,120,1622,32.58,8.98,1752,643,246,129,19.45,228,6354,3793,33.666666666666664,15.312820512820512,0.6153846153846154,8.317948717948719,0.167076923076923,0.046051282051282,8.984615384615385,3.2974358974358973,1.2615384615384615,0.6615384615384615,0.0997435897435897,1.1692307692307693,32.58461538461538,19.45128205128205
5,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,197,197,197,197,197,197,197,197,197,197,197,197,197,197,7,6,8,3,9,2,3,4,6,3,10,4,4,5,6270,2907,94,1873,33.08,10.44,2056,654,234,183,18.64,249,6516,3672,31.82741116751269,14.756345177664974,0.4771573604060913,9.50761421319797,0.1679187817258883,0.052994923857868,10.436548223350254,3.3197969543147208,1.1878172588832487,0.9289340101522844,0.0946192893401015,1.263959390862944,33.076142131979694,18.639593908629443
6,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,204,204,204,204,204,204,204,204,204,204,204,204,204,204,1,1,2,2,1,3,2,2,7,1,1,1,1,1,6775,3264,118,1915,34.96,10.34,2110,763,228,192,20.07,299,7131,4094,33.21078431372549,16.0,0.5784313725490197,9.387254901960784,0.1713725490196078,0.0506862745098039,10.34313725490196,3.7401960784313726,1.1176470588235294,0.9411764705882352,0.0983823529411764,1.4656862745098038,34.955882352941174,20.068627450980394
7,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,199,199,199,199,199,199,199,199,199,199,199,199,199,199,6,7,6,1,6,1,1,1,5,5,12,3,3,8,6396,2903,95,1987,33.25,10.88,2166,805,238,175,18.03,255,6616,3587,32.14070351758794,14.587939698492464,0.4773869346733668,9.984924623115578,0.1670854271356784,0.0546733668341708,10.884422110552764,4.045226130653266,1.1959798994974875,0.8793969849246231,0.0906030150753769,1.2814070351758795,33.246231155778894,18.025125628140703
8,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,192,192,192,192,192,192,192,192,192,192,192,192,192,192,2,8,5,6,12,10,6,8,1,2,9,8,8,7,6758,2877,96,1669,32.15,9.7,1863,620,279,190,18.8,198,6173,3609,35.197916666666664,14.984375,0.5,8.692708333333334,0.1674479166666666,0.0505208333333333,9.703125,3.2291666666666665,1.453125,0.9895833333333334,0.0979166666666666,1.03125,32.151041666666664,18.796875
28,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,137,137,137,137,137,137,137,137,137,137,137,137,137,137,10,10,10,9,3,4,10,12,11,11,2,11,11,10,4772,2148,79,1298,34.18,10.34,1416,404,176,118,19.93,158,4682,2731,34.832116788321166,15.67883211678832,0.5766423357664233,9.474452554744524,0.2494890510948905,0.0754744525547445,10.335766423357663,2.948905109489051,1.284671532846715,0.8613138686131386,0.1454744525547445,1.1532846715328466,34.175182481751825,19.934306569343065
29,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,134,134,134,134,134,134,134,134,134,134,134,134,134,134,11,12,12,12,10,5,12,9,10,10,8,12,12,12,4680,2073,43,1253,32.93,10.26,1375,470,182,121,19.05,143,4413,2553,34.92537313432836,15.470149253731345,0.3208955223880597,9.350746268656716,0.2457462686567164,0.0765671641791044,10.261194029850746,3.5074626865671643,1.3582089552238803,0.9029850746268656,0.1421641791044776,1.0671641791044777,32.93283582089552,19.05223880597015
