id,result,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
1692,W,24/07/19,8,HYD,33,2,DEL,34,,Dabang Delhi K.C. Won by 1 Pts,2
1693,W,25/07/19,2,DEL,30,29,CHE,29,,Dabang Delhi K.C. Won by 1 Pts,2
1698,W,28/07/19,2,DEL,41,28,HAR,21,,Dabang Delhi K.C. Won by 20 Pts,2
1704,L,01/08/19,31,GUJ,31,2,DEL,26,,Gujarat Giants Won by 5 Pts,2
1711,W,05/08/19,2,DEL,35,3,JAI,24,,Dabang Delhi K.C. Won by 11 Pts,2
1719,W,10/08/19,7,PUNE,30,2,DEL,32,,Dabang Delhi K.C. Won by 2 Pts,2
1730,,17/08/19,4,KOL,30,2,DEL,30,,,2
1740,W,24/08/19,2,DEL,33,1,BLR,31,,Dabang Delhi K.C. Won by 2 Pts,2
1743,W,25/08/19,2,DEL,36,30,UP,27,,Dabang Delhi K.C. Won by 9 Pts,2
1747,W,28/08/19,2,DEL,40,5,MUM,24,,Dabang Delhi K.C. Won by 16 Pts,2
1750,W,30/08/19,2,DEL,38,6,PAT,35,,Dabang Delhi K.C. Won by 3 Pts,2
1757,W,04/09/19,3,JAI,44,2,DEL,46,,Dabang Delhi K.C. Won by 2 Pts,2
1763,L,07/09/19,2,DEL,25,28,HAR,47,,Haryana Steelers Won by 22 Pts,2
1764,W,08/09/19,2,DEL,50,29,CHE,34,,Dabang Delhi K.C. Won by 16 Pts,2
1775,W,15/09/19,2,DEL,34,31,GUJ,30,,Dabang Delhi K.C. Won by 4 Pts,2
1778,W,16/09/19,8,HYD,29,2,DEL,37,,Dabang Delhi K.C. Won by 8 Pts,2
1789,,23/09/19,2,DEL,39,1,BLR,39,,,2
1792,W,26/09/19,6,PAT,39,2,DEL,43,,Dabang Delhi K.C. Won by 4 Pts,2
1797,W,29/09/19,7,PUNE,40,2,DEL,60,,Dabang Delhi K.C. Won by 20 Pts,2
1799,L,30/09/19,4,KOL,42,2,DEL,33,,Bengal Warriorz Won by 9 Pts,2
1806,L,05/10/19,30,UP,50,2,DEL,33,,UP Yoddhas Won by 17 Pts,2
1815,,11/10/19,2,DEL,37,5,MUM,37,,,2
1819,W,16/10/19,2,DEL,44,1,BLR,38,,Dabang Delhi K.C. Won by 6 Pts,2
1821,L,19/10/19,2,DEL,34,4,KOL,39,,Bengal Warriorz Won by 5 Pts,2
1691,W,24/07/19,30,UP,17,4,KOL,48,,Bengal Warriorz Won by 31 Pts,4
1697,L,27/07/19,3,JAI,27,4,KOL,25,,Jaipur Pink Panthers Won by 2 Pts,4
1701,W,29/07/19,4,KOL,43,7,PUNE,23,,Bengal Warriorz Won by 20 Pts,4
1708,L,03/08/19,4,KOL,42,1,BLR,43,,Bengaluru Bulls Won by 1 Pts,4
1716,W,09/08/19,4,KOL,32,5,MUM,30,,Bengal Warriorz Won by 2 Pts,4
1722,,12/08/19,4,KOL,29,8,HYD,29,,,4
1725,W,14/08/19,31,GUJ,26,4,KOL,28,,Bengal Warriorz Won by 2 Pts,4
1730,,17/08/19,4,KOL,30,2,DEL,30,,,4
1737,W,22/08/19,4,KOL,35,6,PAT,26,,Bengal Warriorz Won by 9 Pts,4
1744,L,26/08/19,4,KOL,33,28,HAR,36,,Haryana Steelers Won by 3 Pts,4
1748,W,29/08/19,4,KOL,35,29,CHE,26,,Bengal Warriorz Won by 9 Pts,4
1753,L,01/09/19,30,UP,32,4,KOL,29,,UP Yoddhas Won by 3 Pts,4
1762,,07/09/19,4,KOL,25,31,GUJ,25,,,4
1765,W,08/09/19,4,KOL,42,7,PUNE,39,,Bengal Warriorz Won by 3 Pts,4
1769,W,11/09/19,4,KOL,29,5,MUM,26,,Bengal Warriorz Won by 3 Pts,4
1772,W,12/09/19,4,KOL,42,1,BLR,40,,Bengal Warriorz Won by 2 Pts,4
1781,W,19/09/19,4,KOL,48,28,HAR,36,,Bengal Warriorz Won by 12 Pts,4
1787,W,22/09/19,3,JAI,40,4,KOL,41,,Bengal Warriorz Won by 1 Pts,4
1790,W,25/09/19,8,HYD,39,4,KOL,40,,Bengal Warriorz Won by 1 Pts,4
1799,W,30/09/19,4,KOL,42,2,DEL,33,,Bengal Warriorz Won by 9 Pts,4
1808,L,06/10/19,4,KOL,41,6,PAT,69,,Patna Pirates Won by 28 Pts,4
1812,W,09/10/19,4,KOL,33,29,CHE,29,,Bengal Warriorz Won by 4 Pts,4
1820,W,16/10/19,4,KOL,37,5,MUM,35,,Bengal Warriorz Won by 2 Pts,4
1821,W,19/10/19,2,DEL,34,4,KOL,39,,Bengal Warriorz Won by 5 Pts,4
1691,L,24/07/19,30,UP,17,4,KOL,48,,Bengal Warriorz Won by 31 Pts,30
1694,L,26/07/19,30,UP,19,31,GUJ,44,,Gujarat Giants Won by 25 Pts,30
1703,W,31/07/19,5,MUM,23,30,UP,27,,UP Yoddhas Won by 4 Pts,30
1705,,02/08/19,8,HYD,20,30,UP,20,,,30
1713,,07/08/19,30,UP,28,29,CHE,28,,,30
1717,L,09/08/19,6,PAT,41,30,UP,20,,Patna Pirates Won by 21 Pts,30
1723,W,12/08/19,30,UP,35,1,BLR,33,,UP Yoddhas Won by 2 Pts,30
1724,L,14/08/19,30,UP,33,28,HAR,36,,Haryana Steelers Won by 3 Pts,30
1734,W,19/08/19,30,UP,31,3,JAI,24,,UP Yoddhas Won by 7 Pts,30
1743,L,25/08/19,2,DEL,36,30,UP,27,,Dabang Delhi K.C. Won by 9 Pts,30
1745,W,26/08/19,30,UP,35,7,PUNE,30,,UP Yoddhas Won by 5 Pts,30
1753,W,01/09/19,30,UP,32,4,KOL,29,,UP Yoddhas Won by 3 Pts,30
1760,W,06/09/19,6,PAT,29,30,UP,41,,UP Yoddhas Won by 12 Pts,30
1766,W,09/09/19,30,UP,33,31,GUJ,26,,UP Yoddhas Won by 7 Pts,30
1777,W,16/09/19,3,JAI,32,30,UP,38,,UP Yoddhas Won by 6 Pts,30
1779,L,18/09/19,5,MUM,39,30,UP,36,,U Mumba Won by 3 Pts,30
1785,W,21/09/19,30,UP,42,29,CHE,22,,UP Yoddhas Won by 20 Pts,30
1795,W,28/09/19,28,HAR,30,30,UP,37,,UP Yoddhas Won by 7 Pts,30
1806,W,05/10/19,30,UP,50,2,DEL,33,,UP Yoddhas Won by 17 Pts,30
1809,W,06/10/19,30,UP,43,7,PUNE,39,,UP Yoddhas Won by 4 Pts,30
1813,L,09/10/19,30,UP,36,8,HYD,41,,Telugu Titans Won by 5 Pts,30
1816,W,11/10/19,30,UP,45,1,BLR,33,,UP Yoddhas Won by 12 Pts,30
1817,L,14/10/19,30,UP,45,1,BLR,48,,Bengaluru Bulls Won by 3 Pts,30
1685,W,20/07/19,8,HYD,25,5,MUM,31,,U Mumba Won by 6 Pts,5
1689,L,22/07/19,5,MUM,23,3,JAI,42,,Jaipur Pink Panthers Won by 19 Pts,5
1696,W,27/07/19,5,MUM,33,7,PUNE,23,,U Mumba Won by 10 Pts,5
1699,L,28/07/19,5,MUM,26,1,BLR,30,,Bengaluru Bulls Won by 4 Pts,5
1703,L,31/07/19,5,MUM,23,30,UP,27,,UP Yoddhas Won by 4 Pts,5
1706,W,02/08/19,5,MUM,32,31,GUJ,20,,U Mumba Won by 12 Pts,5
1716,L,09/08/19,4,KOL,32,5,MUM,30,,Bengal Warriorz Won by 2 Pts,5
1727,W,16/08/19,5,MUM,34,6,PAT,30,,U Mumba Won by 4 Pts,5
1733,L,19/08/19,5,MUM,27,28,HAR,30,,Haryana Steelers Won by 3 Pts,5
1739,W,23/08/19,29,CHE,24,5,MUM,29,,U Mumba Won by 5 Pts,5
1747,L,28/08/19,2,DEL,40,5,MUM,24,,Dabang Delhi K.C. Won by 16 Pts,5
1752,W,31/08/19,5,MUM,47,3,JAI,21,,U Mumba Won by 26 Pts,5
1759,,05/09/19,7,PUNE,33,5,MUM,33,,,5
1771,W,10/09/19,8,HYD,27,5,MUM,41,,U Mumba Won by 14 Pts,5
1769,L,11/09/19,4,KOL,29,5,MUM,26,,Bengal Warriorz Won by 3 Pts,5
1779,W,18/09/19,5,MUM,39,30,UP,36,,U Mumba Won by 3 Pts,5
1786,W,22/09/19,5,MUM,31,31,GUJ,25,,U Mumba Won by 6 Pts,5
1793,L,27/09/19,5,MUM,33,1,BLR,35,,Bengaluru Bulls Won by 2 Pts,5
1800,W,30/09/19,29,CHE,32,5,MUM,36,,U Mumba Won by 4 Pts,5
