,Player_Name,Tournament,Team,Price,Status
0,pardeep narwal,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
1,pardeep narwal,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
2,pardeep narwal,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
3,pardeep narwal,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
4,pardeep narwal,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
5,rahul chaudhari,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
6,rahul chaudhari,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
7,rahul chaudhari,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
8,rahul chaudhari,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
9,rahul chaudhari,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
10,maninder singh,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
11,maninder singh,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
12,maninder singh,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
13,maninder singh,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
14,maninder singh,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
15,deepak niwas hooda,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
16,deepak niwas hooda,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
17,deepak niwas hooda,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
18,deepak niwas hooda,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
19,deepak niwas hooda,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
20,pawan kumar sehrawat,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
21,pawan kumar sehrawat,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
22,pawan kumar sehrawat,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
23,pawan kumar sehrawat,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
24,pawan kumar sehrawat,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
25,naveen kumar,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
26,naveen kumar,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
27,naveen kumar,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
28,naveen kumar,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
29,naveen kumar,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
30,sachin,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
31,sachin,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
32,sachin,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
33,sachin,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
34,sachin,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
35,ajay thakur,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
36,ajay thakur,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
37,ajay thakur,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
38,ajay thakur,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
39,ajay thakur,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
40,sandeep narwal,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
41,sandeep narwal,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
42,sandeep narwal,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
43,sandeep narwal,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
44,sandeep narwal,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
45,manjeet chhillar,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
46,manjeet chhillar,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
47,manjeet chhillar,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
48,manjeet chhillar,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
49,manjeet chhillar,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
50,vikas kandola,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
51,vikas kandola,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
52,vikas kandola,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
53,vikas kandola,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
