Player_Name,Tournament,Team,Price,Status
Pardeep Narwal,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Pardeep Narwal,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Pardeep Narwal,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Pardeep Narwal,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Pardeep Narwal,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Rahul Chaudhari,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Rahul Chaudhari,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Rahul Chaudhari,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Rahul Chaudhari,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Rahul Chaudhari,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Maninder Singh,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Maninder Singh,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Maninder Singh,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Maninder Singh,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Maninder Singh,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Deepak Niwas Hooda,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Deepak Niwas Hooda,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Deepak Niwas Hooda,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Deepak Niwas Hooda,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Deepak Niwas Hooda,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Pawan Kumar Sehrawat,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Pawan Kumar Sehrawat,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Pawan Kumar Sehrawat,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Pawan Kumar Sehrawat,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Pawan Kumar Sehrawat,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Naveen Kumar,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Naveen Kumar,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Naveen Kumar,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Naveen Kumar,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Naveen Kumar,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Sachin,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Sachin,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Sachin,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Sachin,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Sachin,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Ajay Thakur,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Ajay Thakur,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Ajay Thakur,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Ajay Thakur,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Ajay Thakur,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Sandeep Narwal,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Sandeep Narwal,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Sandeep Narwal,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Sandeep Narwal,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Sandeep Narwal,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Manjeet Chhillar,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
Manjeet Chhillar,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
Manjeet Chhillar,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
Manjeet Chhillar,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
Manjeet Chhillar,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
Vikas Kandola,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Vikas Kandola,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Vikas Kandola,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Vikas Kandola,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Vikas Kandola,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Po Surjeet Singh,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Po Surjeet Singh,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Po Surjeet Singh,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Po Surjeet Singh,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Po Surjeet Singh,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Rishank Devadiga,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Rishank Devadiga,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Rishank Devadiga,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Rishank Devadiga,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Rishank Devadiga,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Shrikant Jadhav,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Shrikant Jadhav,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Shrikant Jadhav,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Shrikant Jadhav,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Shrikant Jadhav,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Fazel Atrachali,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Fazel Atrachali,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Fazel Atrachali,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Anup Kumar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Anup Kumar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
Anup Kumar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
Kashiling Adake,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
Kashiling Adake,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
Kashiling Adake,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
Kashiling Adake,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
