,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,"Pro Kabaddi League Season 4, 2016",W,4,06/25/2016 8:00:00 ,Puneri Paltan beat Telugu Titans (28-24),06/25/2016 8:00:00 ,Completed,4,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",182,League,Match 1,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,28,true,Telugu Titans,24,false,Puneri Paltan,Manjeet Chhillar,69,6,,Sonu Narwal,190,5,Raider,Joginder Singh Narwal,194,3,,Ajay Thakur,26,3,,Ravinder Pahal,157,3,,Sandeep Narwal,142,6,,Vinod Kumar,215,5,,Rahul Chaudhari,81,4,,S Mahalingam,391,2,All Rounder,Jasmer Singh Gulia,51,1,,,False,False
1,"Pro Kabaddi League Season 4, 2016",W,4,06/25/2016 9:00:00 ,U Mumba beat Jaipur Pink Panthers (36-34),06/25/2016 9:00:00 ,Completed,2,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",183,League,Match 2,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,U Mumba,36,true,Jaipur Pink Panthers,34,false,U Mumba,Rakesh Kumar,88,12,Raider,Rishank Devadiga,94,5,,Sunil,207,2,,Surjeet Singh,322,2,,Anup Kumar,29,2,,Shabeer Bappu,105,9,,Ran Singh,160,4,,Ajay Kumar,389,3,,Amit Hooda,212,3,,Tushar Patil,242,2,,,False,False
2,"Pro Kabaddi League Season 4, 2016",W,4,06/26/2016 8:00:00 ,Bengaluru Bulls beat Bengal Warriors (24-23),06/26/2016 8:00:00 ,Completed,1,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",184,League,Match 3,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Bengaluru Bulls,24,true,Bengal Warriors,23,false,Bengaluru Bulls,Rohit Kumar,326,7,,Surender Nada,146,5,Defender,Mohit Chhillar,71,3,,Deepak Kumar Dahiya,174,2,,Pawan Kumar Kadian,156,1,,Jang Kun Lee,12,5,,Monu Goyat,388,5,,Girish Maruti Ernak,161,3,,Nilesh Shinde,73,3,Defender,Nitin Madane,75,2,Raider,,False,False
3,"Pro Kabaddi League Season 4, 2016",W,4,06/26/2016 9:00:00 ,Puneri Paltan beat U Mumba (41-19),06/26/2016 9:00:00 ,Completed,22,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",185,League,Match 4,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,41,true,U Mumba,19,false,Puneri Paltan,Ajay Thakur,26,12,,Manjeet Chhillar,69,7,,Joginder Singh Narwal,194,4,,Deepak Niwas Hooda,41,3,,Somvir Shekhar,109,2,Defender,Anup Kumar,29,9,,Rakesh Kumar,88,2,Raider,Rishank Devadiga,94,2,,Vikash Kumar,380,2,Raider,Sunil,207,1,,,False,False
4,"Pro Kabaddi League Season 4, 2016",W,4,06/27/2016 8:00:00 ,Bengal Warriors beat Dabang Delhi K.C. (31-23),06/27/2016 8:00:00 ,Completed,8,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",186,League,Match 5,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Bengal Warriors,31,true,Dabang Delhi,23,false,Bengal Warriors,Ravi Dalal,92,6,Raider,Nilesh Shinde,73,4,Defender,Nitin Madane,75,3,Raider,Girish Maruti Ernak,161,3,,Monu Goyat,388,3,,Meraj Sheykh,251,9,,Anil Kumar,386,3,,Selvamani K,264,2,,Kashiling Adake,58,2,,Deepak Narwal,211,1,,,False,False
5,"Pro Kabaddi League Season 4, 2016",W,4,06/27/2016 9:00:00 ,Patna Pirates beat Puneri Paltan (30-24),06/27/2016 9:00:00 ,Completed,6,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",187,League,Match 6,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,24,false,Patna Pirates,30,true,Patna Pirates,Nitin Tomar,320,7,,Deepak Niwas Hooda,41,6,,Manjeet Chhillar,69,3,,Ravinder Pahal,157,3,,Sonu Narwal,190,2,Raider,Surjeet Singh,119,7,,Pardeep Narwal,197,7,,Dharmaraj Cheralathan,42,5,,Rajesh Mondal,85,3,,Fazel Atrachali,259,2,,,False,False
6,"Pro Kabaddi League Season 4, 2016",Tied,4,06/28/2016 8:00:00 ,Match Tied,06/28/2016 8:00:00 ,Completed,0,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",188,League,Match 7,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Puneri Paltan,27,false,Dabang Delhi,27,false,Unknown,Deepak Niwas Hooda,41,7,,Manjeet Chhillar,69,7,,Sonu Narwal,190,3,Raider,Joginder Singh Narwal,194,3,,Nitin Tomar,320,2,,Kashiling Adake,58,5,,Sachin Shingade,165,5,,Deepak Narwal,211,5,,Meraj Sheykh,251,4,,Selvamani K,264,4,,,False,False
7,"Pro Kabaddi League Season 4, 2016",W,4,06/29/2016 8:00:00 ,Jaipur Pink Panthers beat Telugu Titans (28-24),06/29/2016 8:00:00 ,Completed,4,3,kabaddi,Sawai Mansingh Stadium,189,League,Match 8,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Jaipur Pink Panthers,28,true,Telugu Titans,24,false,Jaipur Pink Panthers,Rajesh Narwal,86,8,,Jasvir Singh,52,3,,Ran Singh,160,3,,Amit Hooda,212,3,,Mahipal Narwal,67,2,Defender,Sandeep Narwal,142,6,,Nilesh Salunke,293,4,,Vinoth Kumar,172,4,,Vinod Kumar,215,3,,S Mahalingam,391,2,All Rounder,,False,False
8,"Pro Kabaddi League Season 4, 2016",W,4,06/29/2016 9:00:00 ,Patna Pirates beat U Mumba (36-34),06/29/2016 9:00:00 ,Completed,2,3,kabaddi,Sawai Mansingh Stadium,190,League,Match 9,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,U Mumba,34,false,Patna Pirates,36,true,Patna Pirates,Rishank Devadiga,94,11,,Anup Kumar,29,6,,Rakesh Kumar,88,3,Raider,Sunil,207,3,,Surjeet Singh,322,3,,Pardeep Narwal,197,18,,Kuldeep Singh,252,5,,Bajirao Hodage,164,4,,Fazel Atrachali,259,2,,Surjeet Singh,119,1,,,False,False
9,"Pro Kabaddi League Season 4, 2016",Tied,4,06/30/2016 8:00:00 ,Match Tied,06/30/2016 8:00:00 ,Completed,0,3,kabaddi,Sawai Mansingh Stadium,191,League,Match 10,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Jaipur Pink Panthers,28,false,Bengaluru Bulls,28,false,Unknown,Jasvir Singh,52,9,,Rajesh Narwal,86,6,,Mahipal Narwal,67,3,Defender,Shabeer Bappu,105,2,,Ran Singh,160,2,,Rohit Kumar,326,6,,Vinod Kumar,387,5,,Mohit Chhillar,71,4,,Pawan Kumar Kadian,156,2,,Manoj Kumar,70,2,Defender,,False,False
10,"Pro Kabaddi League Season 4, 2016",W,4,07/01/2016 8:00:00 ,U Mumba beat Dabang Delhi K.C. (27-25),07/01/2016 8:00:00 ,Completed,2,3,kabaddi,Sawai Mansingh Stadium,192,League,Match 11,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,U Mumba,27,true,Dabang Delhi,25,false,U Mumba,Rishank Devadiga,94,8,,Surender Singh,234,3,,Rakesh Kumar,88,3,Raider,Sunil,207,3,,Anup Kumar,29,3,,Kashiling Adake,58,7,,Sachin Shingade,165,5,,Selvamani K,264,5,,Sanket Chavan,360,2,Defender,Deepak Narwal,211,1,,,False,False
11,"Pro Kabaddi League Season 4, 2016",W,4,07/01/2016 9:00:00 ,Jaipur Pink Panthers beat Bengal Warriors (36-33),07/01/2016 9:00:00 ,Completed,3,3,kabaddi,Sawai Mansingh Stadium,193,League,Match 12,pkl,"Pro Kabaddi League Season 4, 2016",4,+05:30,Jaipur Pink Panthers,36,true,Bengal Warriors,33,false,Jaipur Pink Panthers,Jasvir Singh,52,13,,Shabeer Bappu,105,10,,Rajesh Narwal,86,3,,Tushar Patil,242,3,,Amit Hooda,212,2,,Monu Goyat,388,8,,Nitin Madane,75,8,Raider,Shrikant Jadhav,106,5,,Girish Maruti Ernak,161,4,,Nilesh Shinde,73,3,Defender,,False,False
