,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,win_by_coin_toss,extra_time,golden_raid,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type
0,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-20 19:30+05:30,U Mumba Won by 6 Pts,2019-07-20 19:30+05:30,Match Completed,6,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1685,League,Match 1,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,25,false,U Mumba,31,true,U Mumba,Rakesh Gowda,3046,4,Raider,Rajnish ,2290,8,Raider,Farhad Milaghardan,482,3,Defender,Vishal Bharadwaj,3083,2,defender,Siddharth Desai,2026,5,Raider,Fazel Atrachali,259,4,defender,Abhishek Singh,2028,10,Raider,Rohit Baliyan,261,4,Raider,,False,False,,,,,,,,
1,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-20 20:30+05:30,Bengaluru Bulls Won by 2 Pts,2019-07-20 20:30+05:30,Match Completed,2,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1686,League,Match 2,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengaluru Bulls,34,true,Patna Pirates,32,false,Bengaluru Bulls,Sumit Singh,3104,4,raider,Rohit Kumar,326,4,raider,Vijay Kumar,768,0,Defender,Amit Sheoran,3115,5,Defender,Pawan Kumar,318,9,raider,Vikash Jaglan,121,4,all-rounder,Jang Lee,12,1,Raider,Neeraj Kumar,3107,2,Defender,,False,False,Hadi Oshtorak,249,3,All Rounder,Mohammad Mahalli,3175,9,Raider
2,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-21 19:30+05:30,Gujarat Giants Won by 18 Pts,2019-07-21 19:30+05:30,Match Completed,18,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1687,League,Match 3,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Bengaluru Bulls,24,false,Gujarat Giants,42,true,Gujarat Giants,Mahender Singh,769,4,Defender,Rohit Kumar,326,4,raider,Pawan Kumar,318,8,raider,,,,,,,,,Ankit ,3227,0,Defender,Abolfazel Maghsodlo,300,0,Raider,Sunil Kumar,368,6,Defender,,False,False,Sonu GFG,3128,5,Raider,More G B,772,6,Raider
3,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-21 20:30+05:30,Tamil Thalaivas Won by 13 Pts,2019-07-21 20:30+05:30,Match Completed,13,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1688,League,Match 4,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,26,false,Tamil Thalaivas,39,true,Tamil Thalaivas,Kamal Singh ,2307,2, ,Farhad Milaghardan,482,3,Defender,Vishal Bharadwaj,3083,2,defender,Siddharth Desai,2026,6,Raider,Abozar Mighani,489,2,Defender,Rahul Chaudhari,81,12,Raider,Mohit Chhillar,71,4,Defender,V Ajith Kumar,3053,3,Raider,,False,False,Ajay Thakur,26,4,Raider,Ajeet ,3111,2,Defender
4,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-22 19:30+05:30,Jaipur Pink Panthers Won by 19 Pts,2019-07-22 19:30+05:30,Match Completed,19,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1689,League,Match 5,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U Mumba,23,false,Jaipur Pink Panthers,42,true,Jaipur Pink Panthers,Athul M S,376,2,Raider,Abhishek Singh,2028,7,Raider,Sandeep Narwal,142,1,all-rounder,Harendra Kumar,3138,0,Defender,Dong Geon Lee,522,6,Raider,Vishal ,3159,3,defender,Sandeep Dhull,290,1,Defender,Deepak Hooda,41,11,all-rounder,,False,False,Deepak Narwal,211,6,Raider,Sachin Narwal,3154,2,All Rounder
5,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-22 20:30:20.000 +05:30,Haryana Steelers Won by 10 Pts,2019-07-22 20:30:20.000 +05:30,Match Completed,10,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1690,League,Match 6,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Puneri Paltan,24,false,Haryana Steelers,34,true,Haryana Steelers,Hadi Tajik,301,0,defender,Jadhav Shahaji,3011,3,Defender,Girish Maruti Ernak,161,1,Defender,Shubham Shinde,3103,3,Defender - Right corner,Pawan Kumar,156,10,Raider,Parveen ,3100,4,Defender - Left Cover,Selvamani K ,264,3,raider,Kuldeep Singh (732),732,3,All Rounder,,False,False,Naveen ,2357,14,Raider,,,,
6,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-24 19:30+05:30,Bengal Warriors Won by 31 Pts,2019-07-24 19:30+05:30,Match Completed,31,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1691,League,Match 7,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,17,false,Bengal Warriors,48,true,Bengal Warriors,Nitesh Kumar,3088,3,Defender,Sumit ,3240,0,Defender,Amit ,3126,2,defender,Monu Goyat,388,6,Raider,,,,,Baldev Singh,621,7,Defender - Right Corner,Mohammad Nabibakhsh,3176,10,All Rounder,Naveen Narwal,3220,0,Defender,,False,False,Jeeva Kumar,54,3,Defender,Maninder Singh,143,9,raider
7,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-24 20:30+05:30,Dabang Delhi K.C. Won by 1 Pts,2019-07-24 20:30+05:30,Match Completed,1,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1692,League,Match 8,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Telugu Titans,33,false,Dabang Delhi K.C.,34,true,Dabang Delhi K.C.,Farhad Milaghardan,482,1,Defender,Vishal Bharadwaj,3083,4,defender,Suraj Desai,3058,18,All Rounder,Abozar Mighani,489,0,Defender,C.Arun ,191,0,Defender,Vijay ,3081,1,all-rounder,Anil Kumar,311,0, ,Joginder Narwal,194,4,Defender,,False,False,Naveen Kumar,2296,14,Raider,Vishal Mane,123,0,Defender
8,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-25 19:30+05:30,Dabang Delhi K.C. Won by 1 Pts,2019-07-25 19:30+05:30,Match Completed,1,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1693,League,Match 9,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,Dabang Delhi K.C.,30,true,Tamil Thalaivas,29,false,Dabang Delhi K.C.,Sombir ,3000,0,Defender,Joginder Narwal,194,4,Defender,Naveen Kumar,2296,8,Raider,Vishal Mane,123,2,Defender,Chandran Ranjit,36,1,Raider,Rahul Chaudhari,81,7,Raider,Mohit Chhillar,71,2,Defender,Shabeer Bappu,105,0,Defender,,False,False,Ran Singh,160,1,All Rounder,,,,
9,"Pro Kabaddi League Season 7, 2019",W,11,2019-07-26 19:30+05:30,Gujarat Giants Won by 25 Pts,2019-07-26 19:30+05:30,Match Completed,25,13,kabaddi,"Gachibowli Indoor Stadium, Hyderabad",1694,League,Match 10,pkl,"Pro Kabaddi League Season 7, 2019",11,+05:30,U.P. Yoddha,19,false,Gujarat Giants,44,true,Gujarat Giants,Mohsen Maghsoudlou,567,0,all-rounder,Shrikant Jadhav,106,5,raider,,,,,,,,,,,,,Vinod Kumar,764,0,Raider,Parvesh Bhainswal,357,6,defender,Abolfazel Maghsodlo,300,0,Raider,,False,False,Sunil Kumar,368,2,Defender,Ruturaj Koravi,2023,0,Defender
