player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4947,Ashu Malik,23,228,2,,DEL,1,8,Raider,Dabang Delhi K.C.,9.91304347826087
2024,Arjun Deshwal,23,212,3,,JAI,2,8,Raider,Jaipur Pink Panthers,9.217391304347826
318,Pawan Sehrawat,21,156,8,,HYD,3,8,Raider,Telugu Titans,7.428571428571429
143,Maninder Singh,21,153,4,,KOL,4,8,Raider,Bengal Warriors,7.285714285714286
757,Sachin,22,142,6,,PAT,5,8,Raider,Patna Pirates,6.454545454545454
5093,Narender,21,137,29,,CHE,6,8,Raider,Tamil Thalaivas,6.523809523809524
3032,Guman Singh,18,129,5,,MUM,7,8,Raider,U Mumba,7.166666666666667
3054,Vinay,23,127,28,,HAR,8,8,Raider,Haryana Steelers,5.521739130434782
5185,Nitin Kumar,20,125,4,,KOL,9,0,Right Raider,Bengal Warriors,6.25
4960,Aslam Mustafa Inamdar,23,119,7,,PUN,10,0,All-rounder,Puneri Paltan,5.173913043478261
3097,Ajinkya Pawar,21,110,29,,CHE,11,8,Raider,Tamil Thalaivas,5.238095238095238
5252,Amirmohammad Zafardanesh,20,106,5,,MUM,12,0,All-Rounder,U Mumba,5.3
4022,Mohit Goyat,22,103,7,,PUN,13,8,Raider,Puneri Paltan,4.681818181818182
197,Pardeep Narwal,17,99,30,,U.P.,14,8,Raider,U.P. Yoddhas,5.823529411764706
5124,Parteek Dahiya,20,93,31,,GUJ,15,8,Raider,Gujarat Giants,4.65
4108,Shivam Patare,23,90,28,,HAR,16,0,Left Raider,Haryana Steelers,3.9130434782608696
3966,Rakesh,21,88,31,,GUJ,17,8,Raider,Gujarat Giants,4.190476190476191
763,Manjeet,22,85,6,,PAT,18,8,Raider,Patna Pirates,3.8636363636363638
4193,Sudhakar M ,19,82,6,,PAT,19,8,Raider,Patna Pirates,4.315789473684211
4944,Bharat,18,81,1,,BLR,20,8,Raider,Bengaluru Bulls,4.5
3233,Pankaj Mohite,22,74,7,,PUN,21,8,Raider,Puneri Paltan,3.3636363636363638
5163,Gagana Gowda,13,70,30,,U.P.,22,0,Right Raider,U.P. Yoddhas,5.384615384615385
4179,Sushil,16,68,1,,BLR,23,8,Raider,Bengaluru Bulls,4.25
3241,Surender Gill,10,65,30,,U.P.,24,8,Raider,U.P. Yoddhas,6.5
3053,V Ajith Kumar,19,64,3,,JAI,25,8,Raider,Jaipur Pink Panthers,3.3684210526315788
3128,Sonu,18,63,31,,GUJ,26,8,Raider,Gujarat Giants,3.5
5282,Sandeep Kumar ,20,63,6,,PAT,27,8,Raider,Patna Pirates,3.15
2026,Siddharth Desai,17,59,28,,HAR,28,8,Raider,Haryana Steelers,3.4705882352941178
2296,Naveen Kumar,6,55,2,,DEL,29,8,Raider,Dabang Delhi K.C.,9.166666666666666
106,Shrikant Jadhav,15,55,4,,KOL,30,8,Raider,Bengal Warriors,3.6666666666666665
366,Vikash Kandola,19,55,1,,BLR,31,8,Raider,Bengaluru Bulls,2.8947368421052633
660,Bhavani Rajput,20,49,3,,JAI,32,8,Raider,Jaipur Pink Panthers,2.45
4183,Meetu Sharma,22,44,2,,DEL,33,8,Raider,Dabang Delhi K.C.,2.0
3965,Manjeet,20,44,2,,DEL,34,8,Raider,Dabang Delhi K.C.,2.2
5138,Akshit ,10,44,1,,BLR,35,0,Left Raider,Bengaluru Bulls,4.4
4959,Akash Shinde,13,43,7,,PUN,36,8,Raider,Puneri Paltan,3.3076923076923075
5197,Robin Chaudhary,18,40,8,,HYD,37,0,Right Raider,Telugu Titans,2.2222222222222223
3023,Rohit Gulia,16,40,31,,GUJ,38,0,All-Rounder,Gujarat Giants,2.5
5157,Prafull Zaware,19,35,8,,HYD,39,0,Left Raider,Telugu Titans,1.8421052631578947
3081,Vijay Malik,14,30,30,,U.P.,40,0,All-Rounder,U.P. Yoddhas,2.142857142857143
5046,Visvanth V,18,29,5,,MUM,41,0,All- Rounder,U Mumba,1.6111111111111112
5153,Vishal Chahal ,10,28,29,,CHE,42,0,Right Raider,Tamil Thalaivas,2.8
4757,Vishwas S,16,28,4,,KOL,43,8,Raider,Bengal Warriors,1.75
4191,Sanjeevi S ,17,28,8,,HYD,44,0,All- Rounder,Telugu Titans,1.6470588235294117
5002,Jai Bhagwan,13,27,5,,MUM,45,8,Raider,U Mumba,2.076923076923077
5118,Mahipal,7,25,30,,U.P.,46,8,Raider,U.P. Yoddhas,3.5714285714285716
36,Chandran Ranjit,4,24,28,,HAR,47,8,Raider,Haryana Steelers,6.0
5121,Anil Kumar,14,23,30,,U.P.,48,8,Raider,U.P. Yoddhas,1.6428571428571428
4925,Mohammadreza Chiyaneh,24,21,7,,PUN,49,0,All-Rounder,Puneri Paltan,0.875
3970,Himanshu Narwal,6,19,29,,CHE,50,8,Raider,Tamil Thalaivas,3.1666666666666665
2290,Rajnish,7,19,8,,HYD,51,8,Raider,Telugu Titans,2.7142857142857144
3038,Neeraj Narwal,12,19,1,,BLR,52,8,Raider,Bengaluru Bulls,1.5833333333333333
5117,Pranay Rane,12,19,5,,MUM,53,8,Raider,U Mumba,1.5833333333333333
5155,Nitin Singh,9,18,29,,CHE,54,8,Raider,Tamil Thalaivas,2.0
5146,Vishal Tate,3,17,28,,HAR,55,0,Right Raider,Haryana Steelers,5.666666666666667
3154,Sachin Narwal,4,17,1,,BLR,56,0,All-Rounder,Bengaluru Bulls,4.25
219,K. Prapanjan,12,16,28,,HAR,57,8,Raider,Haryana Steelers,1.3333333333333333
3028,Ashish,18,14,28,,HAR,58,0,All-Rounder,Haryana Steelers,0.7777777777777778
5116,Aditya Shinde,12,14,7,,PUN,59,8,Raider,Puneri Paltan,1.1666666666666667
5251,Alireza Mirzaeian,9,14,5,,MUM,60,8,Raider,U Mumba,1.5555555555555556
5145,Nitin ,9,13,31,,GUJ,61,8,Raider,Gujarat Giants,1.4444444444444444
5018,Heidarali Ekrami,10,13,5,,MUM,62,8,Raider,U Mumba,1.3
4970,Shivam,5,13,5,,MUM,63,8,Raider,U Mumba,2.6
4106,Tejas Patil,5,13,28,,HAR,64,8,Raider,Haryana Steelers,2.6
5094,Jatin,6,12,29,,CHE,65,8,Raider,Tamil Thalaivas,2.0
3161,Himanshu,16,11,29,,CHE,66,0,Defender - Left Corner,Tamil Thalaivas,0.6875
5148,Abhijeet Malik,5,10,3,,JAI,67,8,Raider,Jaipur Pink Panthers,2.0
4961,Shubham Shelke,5,9,3,,JAI,68,8,Raider,Jaipur Pink Panthers,1.8
4963,Himanshu Singh,7,9,29,,CHE,69,8,Raider,Tamil Thalaivas,1.2857142857142858
5225,Ghanshyam Magar,5,9,28,,HAR,70,8,Raider,Haryana Steelers,1.8
5158,Omkar Patil,10,9,8,,HYD,71,0,Right Raider,Telugu Titans,0.9
3176,Mohammad Nabibakhsh,21,8,31,,GUJ,72,0,All-Rounder,Gujarat Giants,0.38095238095238093
3082,Monu,13,7,1,,BLR,73,8,Raider,Bengaluru Bulls,0.5384615384615384
5180,Masanamuthu Lakshnanan,4,7,29,,CHE,74,0,Right Raider,Tamil Thalaivas,1.75
5200,Rohit Yadav,5,7,5,,MUM,75,0,Left Raider,U Mumba,1.4
5164,Shivam Chaudhary,8,6,30,,U.P.,76,0,Left Raider,U.P. Yoddhas,0.75
5039,Shankar Gadai,15,6,8,,HYD,77,0,All-Rounder,Telugu Titans,0.4
3090,Rakshith ,4,6,1,,BLR,78,0,Defender-Right Cover,Bengaluru Bulls,1.5
4723,Rohit,5,6,6,,PAT,79,0,All-Rounder,Patna Pirates,1.2
3103,Shubham Shinde,22,5,4,,KOL,80,0,Defender - Right Corner,Bengal Warriors,0.22727272727272727
81,Rahul Chaudhari,4,5,3,,JAI,81,8,Raider,Jaipur Pink Panthers,1.25
121,Vikash Jaglan,5,5,31,,GUJ,82,0,All- Rounder,Gujarat Giants,1.0
647,Gulveer Singh,3,5,30,,U.P.,83,8,Raider,U.P. Yoddhas,1.6666666666666667
5143,Manu ,11,4,2,,DEL,84,0,Left Raider,Dabang Delhi K.C.,0.36363636363636365
5134,Aditya S. Shinde,16,3,4,,KOL,85,0,Defender - Left Corner,Bengal Warriors,0.1875
5107,Anuj Kumar,1,3,6,,PAT,86,8,Raider,Patna Pirates,3.0
3527,Jagdeep ,2,3,31,,GUJ,87,0,Right Raider,Gujarat Giants,1.5
3180,Amirhossein Mohammad Maleki,1,3,3,,JAI,88,8,Raider,Jaipur Pink Panthers,3.0
3174,Daniel Odhiambo,2,2,6,,PAT,89,0,All-Rounder,Patna Pirates,1.0
3240,Sumit,22,2,30,,U.P.,90,0,Defender - Left Corner,U.P. Yoddhas,0.09090909090909091
