player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
769,Mahender Singh,21,9,1,,BLR,1,9,Defender,Bengaluru Bulls,0.42857142857142855
3083,Vishal Bharadwaj,19,9,8,,HYD,2,9,defender,Telugu Titans,0.47368421052631576
3088,Nitesh Kumar,23,8,30,,U.P.,3,9,Defender,U.P. Yoddha,0.34782608695652173
3159,Vishal ,16,8,3,,JAI,4,9,defender,Jaipur Pink Panthers,0.5
3082,Monu ,21,7,6,,PAT,5,8,Raider,Patna Pirates,0.3333333333333333
3011,Jadhav Shahaji,19,7,7,,PUN,6,9,Defender,Puneri Paltan,0.3684210526315789
249,Hadi Oshtorak,22,7,6,,PAT,7,0,All Rounder,Patna Pirates,0.3181818181818182
290,Sandeep Dhull,22,7,3,,JAI,8,9,Defender,Jaipur Pink Panthers,0.3181818181818182
322,Surjeet Singh,21,7,7,,PUN,9,9,Defender,Puneri Paltan,0.3333333333333333
368,Sunil Kumar,18,6,31,,GUJ,10,9,Defender,Gujarat Giants,0.3333333333333333
3228,Saurabh Nandal,23,6,1,,BLR,11,9,Defender,Bengaluru Bulls,0.2608695652173913
259,Fazel Atrachali,24,5,5,,MUM,12,9,defender,U Mumba,0.20833333333333334
142,Sandeep Narwal,24,5,5,,MUM,13,0,All Rounder,U Mumba,0.20833333333333334
621,Baldev Singh,24,5,4,,KOL,14,0,Defender - Right Corner,Bengal Warriors,0.20833333333333334
240,Ravi Kumar,21,5,28,,HAR,15,9,Defender,Haryana Steelers,0.23809523809523808
3107,Neeraj Kumar,22,5,6,,PAT,16,9,Defender,Patna Pirates,0.22727272727272727
3065,Nitin Rawal,16,4,3,,JAI,17,0,All Rounder,Jaipur Pink Panthers,0.25
3084,Rinku Narwal,23,4,4,,KOL,18,9,Defender,Bengal Warriors,0.17391304347826086
194,Joginder Narwal,22,4,2,,DEL,19,9,Defender,Dabang Delhi K.C.,0.18181818181818182
42,Dharmaraj Cheralathan,19,4,28,,HAR,20,9,Defender,Haryana Steelers,0.21052631578947367
347,Sagar B Krishna,14,4,7,,PUN,21,0,All Rounder,Puneri Paltan,0.2857142857142857
357,Parvesh Bhainswal,22,3,31,,GUJ,22,9,defender,Gujarat Giants,0.13636363636363635
489,Abozar Mighani,18,3,8,,HYD,23,9,Defender,Telugu Titans,0.16666666666666666
212,Amit Hooda,16,3,3,,JAI,24,9,Defender,Jaipur Pink Panthers,0.1875
71,Mohit Chhillar,18,3,29,,CHE,25,9,Defender,Tamil Thalaivas,0.16666666666666666
191,C.Arun ,22,3,8,,HYD,26,9,Defender,Telugu Titans,0.13636363636363635
160,Ran Singh,21,3,29,,CHE,27,0,All Rounder,Tamil Thalaivas,0.14285714285714285
161,Girish Maruti Ernak,17,3,7,,PUN,28,9,Defender,Puneri Paltan,0.17647058823529413
3115,Amit Sheoran,24,3,1,,BLR,29,9,Defender,Bengaluru Bulls,0.125
579,Jaideep ,22,3,6,,PAT,30,9,Defender,Patna Pirates,0.13636363636363635
613,Sunil Siddhgavali,14,3,3,,JAI,31,9,defender,Jaipur Pink Panthers,0.21428571428571427
772,More G B,19,3,31,,GUJ,32,8,Raider,Gujarat Giants,0.15789473684210525
