player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4925,Mohammadreza Chiyaneh,24,10,6,,PAT,1,0,All-Rounder,Patna Pirates,0.4166666666666667
3236,Sagar,22,8,29,,CHE,2,0,Defender - Right Corner,Tamil Thalaivas,0.36363636363636365
4184,Jaideep,22,5,28,,HAR,3,0,Defender - Left Cover,Haryana Steelers,0.22727272727272727
3000,Sombir,19,5,7,,PUN,4,9,Defender,Puneri Paltan,0.2631578947368421
161,Girish Maruti Ernak,19,4,31,,GUJ,5,0,Defender - Left Corner,Gujarat Giants,0.21052631578947367
290,Sandeep Dhull,19,4,3,,JAI,6,0,Defender - Left Corner,Jaipur Pink Panthers,0.21052631578947367
3240,Sumit,24,4,30,,U.P.,7,0,Defender - Left Corner,U.P. Yoddhas,0.16666666666666666
3964,Rinku,22,4,5,,MUM,8,0,Defender - Right Corner,U Mumba,0.18181818181818182
3106,Sunil,22,4,6,,PAT,9,0,Defender - Right Corner,Patna Pirates,0.18181818181818182
4192,Abinesh Nadarajan,22,3,7,,PUN,10,0,Defender - Right Cover,Puneri Paltan,0.13636363636363635
3107,Neeraj Kumar,23,2,6,,PAT,11,0,Defender - Right Cover,Patna Pirates,0.08695652173913043
3126,Amit Nirwal,16,2,4,,KOL,12,9,Defender,Bengal Warriors,0.125
3083,Vishal Bhardwaj,20,2,7,,PUN,13,9,Defender,Puneri Paltan,0.1
3088,Nitesh Kumar,24,2,30,,U.P.,14,9,Defender,U.P. Yoddhas,0.08333333333333333
248,Sandeep Kandola,16,2,8,,HYD,15,9,Defender,Telugu Titans,0.125
259,Fazel Atrachali,22,2,5,,MUM,16,9,Defender,U Mumba,0.09090909090909091
69,Manjeet Chhillar,24,2,2,,DEL,17,0,All Rounder,Dabang Delhi K.C.,0.08333333333333333
146,Surender Nada,21,2,28,,HAR,18,0,Defender - Left Corner,Haryana Steelers,0.09523809523809523
769,Mahender Singh,20,2,1,,BLR,19,0,Defender - Left Cover,Bengaluru Bulls,0.1
322,Surjeet Singh,20,2,29,,CHE,20,0,Defender - Right Cover,Tamil Thalaivas,0.1
357,Parvesh Bhainswal,23,2,31,,GUJ,21,0,Defender - Left Cover,Gujarat Giants,0.08695652173913043
368,Sunil Kumar,23,2,31,,GUJ,22,9,Defender,Gujarat Giants,0.08695652173913043
4954,Mohit,22,2,28,,HAR,23,0,Defender - Right Cover,Haryana Steelers,0.09090909090909091
4966,Muhammed Shihas,8,2,8,,HYD,24,0,Defender - Left Corner,Telugu Titans,0.25
3228,Saurabh Nandal,24,2,1,,BLR,25,0,Defender - Left Corner,Bengaluru Bulls,0.08333333333333333
4972,Aman,23,1,1,,BLR,26,0,Defender - Left Corner,Bengaluru Bulls,0.043478260869565216
4949,Krishan,21,1,2,,DEL,27,9,Defender,Dabang Delhi K.C.,0.047619047619047616
489,Abozar Mighani,22,1,4,,KOL,28,9,Defender,Bengal Warriors,0.045454545454545456
757,Sachin,23,1,6,,PAT,29,8,Raider,Patna Pirates,0.043478260869565216
772,More G B,15,1,1,,BLR,30,8,Raider,Bengaluru Bulls,0.06666666666666667
3004,Akash Choudhary,17,1,8,,HYD,31,9,Defender,Telugu Titans,0.058823529411764705
160,Ran Singh,14,1,4,,KOL,32,0,All Rounder,Bengal Warriors,0.07142857142857142
232,Sachin Vittala,7,1,4,,KOL,33,0,Defender - Left Corner,Bengal Warriors,0.14285714285714285
318,Pawan Sehrawat,24,1,1,,BLR,34,8,Raider,Bengaluru Bulls,0.041666666666666664
320,Nitin Tomar,18,1,7,,PUN,35,8,Raider,Puneri Paltan,0.05555555555555555
3103,Shubham Shinde,19,1,6,,PAT,36,0,Defender - Right Corner,Patna Pirates,0.05263157894736842
3239,Ashu Singh,23,1,30,,U.P.,37,0,Defender - Right Cover,U.P. Yoddhas,0.043478260869565216
3159,Vishal,21,1,3,,JAI,38,0,Defender - Left Cover,Jaipur Pink Panthers,0.047619047619047616
4769,Sahul Kumar,18,1,3,,JAI,39,0,Defender - Right Corner,Jaipur Pink Panthers,0.05555555555555555
4186,Rahul Sethpal,18,1,5,,MUM,40,0,Defender - Right Corner,U Mumba,0.05555555555555555
4022,Mohit Goyat,21,1,7,,PUN,41,8,Raider,Puneri Paltan,0.047619047619047616
3343,Sajin C,23,1,6,,PAT,42,0,All-Rounder,Patna Pirates,0.043478260869565216
