player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
318,Pawan Sehrawat,24,244,1,,BLR,1,8,Raider,Bengaluru Bulls,10.166666666666666
2024,Arjun Deshwal,22,221,3,,JAI,2,8,Raider,Jaipur Pink Panthers,10.045454545454545
143,Maninder Singh,22,192,4,,KOL,3,8,Raider,Bengal Warriors,8.727272727272727
2296,Naveen Kumar,17,180,2,,DEL,4,8,Raider,Dabang Delhi K.C.,10.588235294117647
2028,Abhishek Singh,22,144,5,,MUM,5,8,Raider,U Mumba,6.545454545454546
366,Vikash Kandola,22,143,28,,HAR,6,8,Raider,Haryana Steelers,6.5
757,Sachin,23,142,6,,PAT,7,8,Raider,Patna Pirates,6.173913043478261
3241,Surender Gill,23,140,30,,U.P.,8,8,Raider,U.P. Yoddhas,6.086956521739131
197,Pardeep Narwal,24,139,30,,U.P.,9,8,Raider,U.P. Yoddhas,5.791666666666667
4022,Mohit Goyat,21,136,7,,PUN,10,8,Raider,Puneri Paltan,6.476190476190476
4960,Aslam Inamdar,23,135,7,,PUN,11,8,Raider,Puneri Paltan,5.869565217391305
763,Manjeet,20,130,29,,CHE,12,8,Raider,Tamil Thalaivas,6.5
3053,V Ajith Kumar,20,128,5,,MUM,13,8,Raider,U Mumba,6.4
3081,Vijay,23,119,2,,DEL,14,0,All-Rounder,Dabang Delhi K.C.,5.173913043478261
3966,Rakesh,22,112,31,,GUJ,15,8,Raider,Gujarat Giants,5.090909090909091
41,Deepak Hooda,17,100,3,,JAI,16,0,All-Rounder,Jaipur Pink Panthers,5.882352941176471
4944,Bharat,23,95,1,,BLR,17,8,Raider,Bengaluru Bulls,4.130434782608695
2322,Ankit Beniwal,21,85,8,,HYD,18,8,Raider,Telugu Titans,4.0476190476190474
2290,Rajnish,13,83,8,,HYD,19,8,Raider,Telugu Titans,6.384615384615385
3097,Ajinkya Pawar,18,81,29,,CHE,20,8,Raider,Tamil Thalaivas,4.5
3032,Guman Singh,19,75,6,,PAT,21,8,Raider,Patna Pirates,3.9473684210526314
155,Prashanth Kumar Rai,23,73,6,,PAT,22,8,Raider,Patna Pirates,3.1739130434782608
106,Shrikant Jadhav,23,72,30,,U.P.,23,8,Raider,U.P. Yoddhas,3.130434782608696
3176,Mohammad Nabibakhsh,20,66,4,,KOL,24,0,All-Rounder,Bengal Warriors,3.3
4183,Meetu,16,65,28,,HAR,25,8,Raider,Haryana Steelers,4.0625
36,Chandran Ranjit,19,61,1,,BLR,26,8,Raider,Bengaluru Bulls,3.210526315789474
388,Monu Goyat,14,61,6,,PAT,27,8,Raider,Patna Pirates,4.357142857142857
389,Ajay Kumar,17,61,31,,GUJ,28,8,Raider,Gujarat Giants,3.588235294117647
204,Rakesh Narwal,16,57,31,,GUJ,29,8,Raider,Gujarat Giants,3.5625
3095,Adarsh T,21,55,8,,HYD,30,0,Defender - Left Corner,Telugu Titans,2.619047619047619
4939,Pardeep Kumar,17,54,31,,GUJ,31,8,Raider,Gujarat Giants,3.176470588235294
163,Mahendra Rajput,17,47,31,,GUJ,32,8,Raider,Gujarat Giants,2.764705882352941
3054,Vinay,15,46,28,,HAR,33,8,Raider,Haryana Steelers,3.066666666666667
3028,Ashish,15,43,28,,HAR,34,8,Raider,Haryana Steelers,2.8666666666666667
3023,Rohit Gulia,15,43,28,,HAR,35,0,All-Rounder,Haryana Steelers,2.8666666666666667
111,Sukesh Hegde,15,43,4,,KOL,36,8,Raider,Bengal Warriors,2.8666666666666667
4947,Ashu Malik,22,38,2,,DEL,37,8,Raider,Dabang Delhi K.C.,1.7272727272727273
320,Nitin Tomar,18,36,7,,PUN,38,8,Raider,Puneri Paltan,2.0
660,Bhavani Rajput,21,33,29,,CHE,39,8,Raider,Tamil Thalaivas,1.5714285714285714
3031,Galla Raju,13,31,8,,HYD,40,8,Raider,Telugu Titans,2.3846153846153846
3038,Neeraj Narwal,19,31,2,,DEL,41,8,Raider,Dabang Delhi K.C.,1.631578947368421
3161,Himanshu,10,30,29,,CHE,42,0,Defender - Left Corner,Tamil Thalaivas,3.0
3046,Rakesh Gowda,13,28,8,,HYD,43,8,Raider,Telugu Titans,2.1538461538461537
4970,Shivam,15,25,5,,MUM,44,8,Raider,U Mumba,1.6666666666666667
2026,Siddharth Desai,3,21,8,,HYD,45,8,Raider,Telugu Titans,7.0
376,Athul MS,13,19,29,,CHE,46,8,Raider,Tamil Thalaivas,1.4615384615384615
142,Sandeep Narwal,24,18,2,,DEL,47,0,All Rounder,Dabang Delhi K.C.,0.75
219,K. Prapanjan,7,16,29,,CHE,48,8,Raider,Tamil Thalaivas,2.2857142857142856
3233,Pankaj Mohite,7,16,7,,PUN,49,8,Raider,Puneri Paltan,2.2857142857142856
4222,Rohit Tomar,5,15,30,,U.P.,50,8,Raider,U.P. Yoddhas,3.0
4723,Rohit,12,12,4,,KOL,51,0,All-Rounder,Bengal Warriors,1.0
211,Deepak Narwal,10,12,1,,BLR,52,8,Raider,Bengaluru Bulls,1.2
2025,Ajinkya Kapre,13,12,5,,MUM,53,0,All-Rounder,U Mumba,0.9230769230769231
3070,Brijendra Singh Chaudhary,7,12,3,,JAI,54,0,All Rounder,Jaipur Pink Panthers,1.7142857142857142
4675,Akash Pikalmunde,7,11,4,,KOL,55,8,Raider,Bengal Warriors,1.5714285714285714
3154,Sachin Narwal,7,11,3,,JAI,56,0,All-Rounder,Jaipur Pink Panthers,1.5714285714285714
3151,Manoj Gowda,6,10,4,,KOL,57,0,All-Rounder,Bengal Warriors,1.6666666666666667
567,Mohsen Maghsoudlou,11,10,5,,MUM,58,0,All-Rounder,U Mumba,0.9090909090909091
81,Rahul Chaudhari,7,10,7,,PUN,59,8,Raider,Puneri Paltan,1.4285714285714286
326,Rohit Kumar,8,10,8,,HYD,60,8,Raider,Telugu Titans,1.25
2357,Naveen,11,9,3,,JAI,61,8,Raider,Jaipur Pink Panthers,0.8181818181818182
3082,Monu,15,9,6,,PAT,62,8,Raider,Patna Pirates,0.6
4757,Vishwas S,4,9,7,,PUN,63,8,Raider,Puneri Paltan,2.25
4959,Akash Shinde,3,9,7,,PUN,64,8,Raider,Puneri Paltan,3.0
3965,Manjeet,5,8,2,,DEL,65,8,Raider,Dabang Delhi K.C.,1.6
3094,Ravindra Kumavat,5,7,4,,KOL,66,8,Raider,Bengal Warriors,1.4
522,Dong Geon Lee,9,6,1,,BLR,67,8,Raider,Bengaluru Bulls,0.6666666666666666
371,Amit Nagar,7,5,3,,JAI,68,8,Raider,Jaipur Pink Panthers,0.7142857142857143
3177,Mohammad Taghi Paein Mahali,7,5,30,,U.P.,69,8,Raider,U.P. Yoddhas,0.7142857142857143
4801,Ankit,4,5,30,,U.P.,70,8,Raider,U.P. Yoddhas,1.25
4925,Mohammadreza Chiyaneh,24,5,6,,PAT,71,0,All-Rounder,Patna Pirates,0.20833333333333334
4186,Rahul Sethpal,18,5,5,,MUM,72,0,Defender - Right Corner,U Mumba,0.2777777777777778
4963,Himanshu Singh,6,5,29,,CHE,73,8,Raider,Tamil Thalaivas,0.8333333333333334
3180,Amirhossein Mohammad Maleki,2,4,3,,JAI,74,8,Raider,Jaipur Pink Panthers,2.0
264,Selvamani K,3,4,6,,PAT,75,8,Raider,Patna Pirates,1.3333333333333333
