player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4925,Mohammadreza Chiyaneh,24,86,6,,PAT,1,0,All-Rounder,Patna Pirates,3.5833333333333335
3236,Sagar,22,74,29,,CHE,2,0,Defender - Right Corner,Tamil Thalaivas,3.3636363636363638
3228,Saurabh Nandal,24,63,1,,BLR,3,0,Defender - Left Corner,Bengaluru Bulls,2.625
4184,Jaideep,22,61,28,,HAR,4,0,Defender - Left Cover,Haryana Steelers,2.772727272727273
3240,Sumit,24,59,30,,U.P.,5,0,Defender - Left Corner,U.P. Yoddhas,2.4583333333333335
3000,Sombir,19,54,7,,PUN,6,9,Defender,Puneri Paltan,2.8421052631578947
3964,Rinku,22,53,5,,MUM,7,0,Defender - Right Corner,U Mumba,2.409090909090909
3088,Nitesh Kumar,24,53,30,,U.P.,8,9,Defender,U.P. Yoddhas,2.2083333333333335
3107,Neeraj Kumar,23,52,6,,PAT,9,0,Defender - Right Cover,Patna Pirates,2.260869565217391
290,Sandeep Dhull,19,52,3,,JAI,10,0,Defender - Left Corner,Jaipur Pink Panthers,2.736842105263158
4972,Aman,23,51,1,,BLR,11,0,Defender - Left Corner,Bengaluru Bulls,2.217391304347826
69,Manjeet Chhillar,24,50,2,,DEL,12,0,All Rounder,Dabang Delhi K.C.,2.0833333333333335
322,Surjeet Singh,20,49,29,,CHE,13,0,Defender - Right Cover,Tamil Thalaivas,2.45
259,Fazel Atrachali,22,48,5,,MUM,14,9,Defender,U Mumba,2.1818181818181817
3106,Sunil,22,48,6,,PAT,15,0,Defender - Right Corner,Patna Pirates,2.1818181818181817
357,Parvesh Bhainswal,23,46,31,,GUJ,16,0,Defender - Left Cover,Gujarat Giants,2.0
161,Girish Maruti Ernak,19,45,31,,GUJ,17,0,Defender - Left Corner,Gujarat Giants,2.3684210526315788
4769,Sahul Kumar,18,43,3,,JAI,18,0,Defender - Right Corner,Jaipur Pink Panthers,2.388888888888889
3239,Ashu Singh,23,42,30,,U.P.,19,0,Defender - Right Cover,U.P. Yoddhas,1.826086956521739
3083,Vishal Bhardwaj,20,42,7,,PUN,20,9,Defender,Puneri Paltan,2.1
146,Surender Nada,21,41,28,,HAR,21,0,Defender - Left Corner,Haryana Steelers,1.9523809523809523
248,Sandeep Kandola,16,40,8,,HYD,22,9,Defender,Telugu Titans,2.5
489,Abozar Mighani,22,40,4,,KOL,23,9,Defender,Bengal Warriors,1.8181818181818181
3159,Vishal,21,39,3,,JAI,24,0,Defender - Left Cover,Jaipur Pink Panthers,1.8571428571428572
4954,Mohit,22,39,28,,HAR,25,0,Defender - Right Cover,Haryana Steelers,1.7727272727272727
4192,Abinesh Nadarajan,22,38,7,,PUN,26,0,Defender - Right Cover,Puneri Paltan,1.7272727272727273
142,Sandeep Narwal,24,37,2,,DEL,27,0,All Rounder,Dabang Delhi K.C.,1.5416666666666667
368,Sunil Kumar,23,35,31,,GUJ,28,9,Defender,Gujarat Giants,1.5217391304347827
160,Ran Singh,14,34,4,,KOL,29,0,All Rounder,Bengal Warriors,2.4285714285714284
769,Mahender Singh,20,31,1,,BLR,30,0,Defender - Left Cover,Bengaluru Bulls,1.55
3343,Sajin C,23,30,6,,PAT,31,0,All-Rounder,Patna Pirates,1.3043478260869565
4965,Sahil Gulia,18,30,29,,CHE,32,0,Defender - Left Corner,Tamil Thalaivas,1.6666666666666667
4186,Rahul Sethpal,18,29,5,,MUM,33,0,Defender - Right Corner,U Mumba,1.6111111111111112
3126,Amit Nirwal,16,29,4,,KOL,34,9,Defender,Bengal Warriors,1.8125
3004,Akash Choudhary,17,29,8,,HYD,35,9,Defender,Telugu Titans,1.7058823529411764
194,Joginder Narwal,19,29,2,,DEL,36,0,Defender - Left Corner,Dabang Delhi K.C.,1.5263157894736843
3086,Surinder Singh,21,28,8,,HYD,37,9,Defender,Telugu Titans,1.3333333333333333
