match_played,value,team_id,team_name,rank,points_per_match
24,331,7,Puneri Paltan,1,13.791666666666666
25,296,28,Haryana Steelers,2,11.84
22,264,29,Tamil Thalaivas,3,12.0
24,242,6,Patna Pirates,4,10.083333333333334
23,229,3,Jaipur Pink Panthers,5,9.956521739130435
22,227,1,Bengaluru Bulls,6,10.318181818181818
23,226,31,Gujarat Giants,7,9.826086956521738
23,221,2,Dabang Delhi K.C.,8,9.608695652173912
22,209,8,Telugu Titans,9,9.5
22,200,30,U.P. Yoddhas,10,9.090909090909092
22,199,5,U Mumba,11,9.045454545454545
22,192,4,Bengal Warriors,12,8.727272727272727
