match_played,value,team_id,team_name,rank,points_per_match
24,102,7,Puneri Paltan,1,4.25
24,91,6,Patna Pirates,2,3.7916666666666665
23,84,3,Jaipur Pink Panthers,3,3.652173913043478
23,83,31,Gujarat Giants,4,3.608695652173913
23,74,2,Dabang Delhi K.C.,5,3.217391304347826
25,73,28,Haryana Steelers,6,2.92
22,73,29,Tamil Thalaivas,7,3.3181818181818183
22,72,1,Bengaluru Bulls,8,3.272727272727273
22,64,8,Telugu Titans,9,2.909090909090909
22,61,5,U Mumba,10,2.772727272727273
22,60,30,U.P. Yoddhas,11,2.727272727272727
22,53,4,Bengal Warriors,12,2.409090909090909
