match_played,value,team_id,team_name,rank,points_per_match
24,46,7,Puneri Paltan,1,1.9166666666666667
23,35,3,Jaipur Pink Panthers,2,1.5217391304347827
23,34,2,Dabang Delhi K.C.,3,1.4782608695652173
24,34,6,Patna Pirates,4,1.4166666666666667
22,34,29,Tamil Thalaivas,5,1.5454545454545454
23,32,31,Gujarat Giants,6,1.391304347826087
25,31,28,Haryana Steelers,7,1.24
22,31,4,Bengal Warriors,8,1.4090909090909092
22,25,1,Bengaluru Bulls,9,1.1363636363636365
22,23,5,U Mumba,10,1.0454545454545454
22,23,30,U.P. Yoddhas,11,1.0454545454545454
22,19,8,Telugu Titans,12,0.8636363636363636
