match_played,value,team_id,team_name,rank,points_per_match
25,1088,28,Haryana Steelers,1,43.52
24,1043,6,Patna Pirates,2,43.458333333333336
24,1022,7,Puneri Paltan,3,42.583333333333336
22,1002,8,Telugu Titans,4,45.54545454545455
23,984,3,Jaipur Pink Panthers,5,42.78260869565217
22,981,30,U.P. Yoddhas,6,44.59090909090909
23,975,2,Dabang Delhi K.C.,7,42.391304347826086
22,974,29,Tamil Thalaivas,8,44.27272727272727
23,974,31,Gujarat Giants,9,42.34782608695652
22,956,5,U Mumba,10,43.45454545454545
22,956,1,Bengaluru Bulls,11,43.45454545454545
22,949,4,Bengal Warriors,12,43.13636363636363
